accession,organism,taxonomy id,source,ncbi_id,ensembl_gene_id,reason
NP_001073248.1,Bos taurus,9913,ncbi,531733,ENSBTAG00070035786,ok
NP_001102761.1,Rattus norvegicus,10116,ncbi,500987,ENSRNOG00000074924,ok
NP_034566.1,Mus musculus,10090,ncbi,15270,ENSMUSG00000049932,ok
NP_783589.1,Mus musculus,10090,ncbi,319163,ENSMUSG00000060081,ok
NP_001192525.1,Bos taurus,9913,ncbi,506900,ENSBTAG00070005783,ok
XP_005640150.1,Canis lupus familiaris,9615,ncbi,488268,ENSCAFG00845025853,ok
XP_003478913.1,Cavia porcellus,10141,ncbi,100713054,ENSCPOG00000034514,ok
XP_004847876.1,Heterocephalus glaber,10181,ncbi,101713332,ENSHGLG00000020875,ok
NP_001180653.1,Macaca mulatta,9544,ncbi,695551,,ncbi_only_no_ensembl
NP_835489.1,Mus musculus,10090,ncbi,319191,ENSMUSG00000071516,ok
XP_008246690.1,Oryctolagus cuniculus,9986,ncbi,103345138,,ncbi_only_no_ensembl
NP_068612.2,Rattus norvegicus,10116,ncbi,64646,ENSRNOG00000064520,ok
XP_003356618.1,Sus scrofa,9823,ncbi,100622387,ENSSSCG00000046222,ok
NP_001268460.1,Mus musculus,10090,ncbi,624957,ENSMUSG00000083616,ok
NP_001268459.1,Mus musculus,10090,ncbi,624153,ENSMUSG00000082482,ok
NP_001096135.1,Mus musculus,10090,ncbi,100039319,ENSMUSG00000067441,ok
XP_011215272.1,Ailuropoda melanoleuca,9646,ncbi,100484819,ENSAMEG00000028929,ok
NP_001069373.1,Bos taurus,9913,ncbi,528006,ENSBTAG00070035097,ok
XP_003514308.1,Cricetulus griseus,10029,ncbi,100764913,ENSCGRG00015020193,ok
XP_003515491.1,Cricetulus griseus,10029,ncbi,100763078,ENSCGRG00015032712,ok
XP_003421752.1,Loxodonta africana,9785,ncbi,100670474,ENSLAFG00000039377,ok
NP_001180843.1,Macaca mulatta,9544,ncbi,703044,ENSMMUG00000059127,ok
XP_003282204.1,Nomascus leucogenys,61853,ncbi,100595043,ENSNLEG00000038558,ok
NP_083864.1,Mus musculus,10090,ncbi,76383,ENSMUSG00000100200,ok
NP_080903.1,Mus musculus,10090,ncbi,68231,ENSMUSG00000062651,ok
XP_002927211.2,Ailuropoda melanoleuca,9646,ncbi,100467516,ENSAMEG00000019676,ok
NP_001071426.1,Bos taurus,9913,ncbi,523631,ENSBTAG00070035166,ok
XP_548938.1,Canis lupus familiaris,9615,ncbi,491818,,ncbi_only_no_ensembl
XP_548947.1,Canis lupus familiaris,9615,ncbi,491827,,ncbi_only_no_ensembl
XP_003469395.1,Cavia porcellus,10141,ncbi,100722162,,ncbi_only_no_ensembl
XP_003469399.1,Cavia porcellus,10141,ncbi,100724929,ENSCPOG00000006352,ok
XP_003508207.1,Cricetulus griseus,10029,ncbi,100762832,ENSCGRG00015006278,ok
EHB10563.1,Heterocephalus glaber,10181,ncbi,101710567,ENSHGLG00000021333,ok
XP_002719866.1,Oryctolagus cuniculus,9986,ncbi,100357425,ENSOCUG00000031664,ok
XP_002720052.1,Oryctolagus cuniculus,9986,ncbi,100338182,ENSOCUG00000035605,ok
XP_003360303.2,Sus scrofa,9823,ncbi,100520991,ENSSSCG00000055323,ok
XP_003484147.1,Sus scrofa,9823,ncbi,100736633,,ncbi_only_no_ensembl
XP_002913536.1,Ailuropoda melanoleuca,9646,ncbi,100471991,,ncbi_only_no_ensembl
XP_005641297.1,Canis lupus familiaris,9615,ncbi,100688661,,ncbi_only_no_ensembl
XP_003508203.1,Cricetulus griseus,10029,ncbi,100761382,ENSCGRG00015006285,ok
EHH30639.1,Macaca mulatta,9544,ncbi,697665,,ncbi_only_no_ensembl
XP_003317470.2,Pan troglodytes,9598,ncbi,738500,ENSPTRG00045048981,ok
NP_001128070.1,Rattus norvegicus,10116,ncbi,367734,ENSRNOG00000089464,ok
XP_003135058.1,Sus scrofa,9823,ncbi,100525672,,ncbi_only_no_ensembl
NP_080372.1,Mus musculus,10090,ncbi,67334,ENSMUSG00000040456,ok
XP_010995375.1,Camelus dromedarius,9838,ncbi,105103477,,ncbi_only_no_ensembl
XP_013966888.1,Canis lupus familiaris,9615,ncbi,106558405,,ncbi_only_no_ensembl
XP_015107649.1,Vicugna pacos,30538,ncbi,107035107,,ncbi_only_no_ensembl
