accession,species_name,hgnc_id,vgnc_id,ncbi_id,ensembl_gene_id,source,reason,gene_name
XP_011215280.1,Ailuropoda melanoleuca,,,,,ncbi_accession,protein_not_found,
XP_008992112.1,Callithrix jacchus,,,,,ncbi_accession,protein_not_found,
XP_007634672.1,Cricetulus griseus,,,,,ncbi_accession,protein_not_found,
XP_003422330.1,Loxodonta africana,,,,,ncbi_accession,protein_not_found,
XP_004088806.1,Nomascus leucogenys,,,,,ncbi_accession,protein_not_found,
XP_009448979.1,Pan troglodytes,,,,,ncbi_accession,protein_not_found,
XP_002763866.2,Callithrix jacchus,,,,,ncbi_accession,protein_not_found,
EHB05905.1,Heterocephalus glaber,,,,,ncbi_accession,gene_link_not_found,
XP_001145032.1,Pan troglodytes,,,,,ncbi_accession,protein_not_found,
XP_003135571.1,Sus scrofa,,,,,ncbi_accession,protein_not_found,
Q9D4U4,Mus musculus,,,,,ncbi_accession,protein_not_found,
XP_875023.2,Bos taurus,,,,,ncbi_accession,protein_not_found,
EHB04253.1,Heterocephalus glaber,,,,,ncbi_accession,gene_link_not_found,
EHB17227.1,Heterocephalus glaber,,,,,ncbi_accession,gene_link_not_found,
EHB10562.1,Heterocephalus glaber,,,,,ncbi_accession,gene_link_not_found,
HISTDB_H2A_Q_2,Ammotragus lervia,,,,,ncbi_accession,protein_not_found,
XP_010950849.1,Camelus bactrianus,,,,,ncbi_accession,protein_not_found,
HISTDB_H2A_Q_7,Giraffa tippelskirchi,,,,,ncbi_accession,protein_not_found,
HISTDB_H2A_Q_9,Okapia johnstoni,,,,,ncbi_accession,protein_not_found,
ELK02218.1,Pteropus alecto,,,,,ncbi_accession,gene_link_not_found,
