species	slug	status	reason	id_col	canonical_rule	allow_partial_splits	rows_total_scanned	rows_after_filter	matched_genes_total	matched_genes_clustered	matched_genes_variant	all_rows	all_cols	canonical_rows	canonical_cols	variant_rows	variant_cols	processed_tsv	map_tsv	all_png	all_svg	canonical_png	canonical_svg	variant_png	variant_svg	raw_expr_tsv
Callithrix jacchus	callithrix_jacchus	skipped	no_ensembl_ids_in_merged_v4	vgnc_id	canonical_like	True	0	0	0	0	0	0	0	0	0	0	0									C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\Callithrix_jacchus_expr_advanced_all_conditions.tsv
Canis lupus familiaris	canis_lupus_familiaris	success		vgnc_id	canonical_like	True	2500031	2695	24	15	9	24	58	15	58	9	58	CURATED_SET\BioAnalyze\data\processed\canis_lupus_familiaris\canis_lupus_familiaris_expr_advanced_H2A_present_gold.tsv	CURATED_SET\BioAnalyze\data\processed\canis_lupus_familiaris\canis_lupus_familiaris_h2a_canonical_variant_map.tsv	CURATED_SET\BioAnalyze\figures\heatmaps\species\canis_lupus_familiaris\h2a_canis_lupus_familiaris_all.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\canis_lupus_familiaris\h2a_canis_lupus_familiaris_all.svg	CURATED_SET\BioAnalyze\figures\heatmaps\species\canis_lupus_familiaris\h2a_canis_lupus_familiaris_clustered.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\canis_lupus_familiaris\h2a_canis_lupus_familiaris_clustered.svg	CURATED_SET\BioAnalyze\figures\heatmaps\species\canis_lupus_familiaris\h2a_canis_lupus_familiaris_variants.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\canis_lupus_familiaris\h2a_canis_lupus_familiaris_variants.svg	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\Canis_lupus_familiaris_expr_advanced_all_conditions.tsv
Cavia porcellus	cavia_porcellus	success		vgnc_id	canonical_like	True	554916	56	2	1	1	2	15	1	15	1	15	CURATED_SET\BioAnalyze\data\processed\cavia_porcellus\cavia_porcellus_expr_advanced_H2A_present_gold.tsv	CURATED_SET\BioAnalyze\data\processed\cavia_porcellus\cavia_porcellus_h2a_canonical_variant_map.tsv	CURATED_SET\BioAnalyze\figures\heatmaps\species\cavia_porcellus\h2a_cavia_porcellus_all.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\cavia_porcellus\h2a_cavia_porcellus_all.svg	CURATED_SET\BioAnalyze\figures\heatmaps\species\cavia_porcellus\h2a_cavia_porcellus_clustered.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\cavia_porcellus\h2a_cavia_porcellus_clustered.svg	CURATED_SET\BioAnalyze\figures\heatmaps\species\cavia_porcellus\h2a_cavia_porcellus_variants.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\cavia_porcellus\h2a_cavia_porcellus_variants.svg	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\Cavia_porcellus_expr_advanced_all_conditions.tsv
Equus caballus	equus_caballus	success		vgnc_id	canonical_like	True	1374146	1260	21	14	7	21	26	14	26	7	26	CURATED_SET\BioAnalyze\data\processed\equus_caballus\equus_caballus_expr_advanced_H2A_present_gold.tsv	CURATED_SET\BioAnalyze\data\processed\equus_caballus\equus_caballus_h2a_canonical_variant_map.tsv	CURATED_SET\BioAnalyze\figures\heatmaps\species\equus_caballus\h2a_equus_caballus_all.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\equus_caballus\h2a_equus_caballus_all.svg	CURATED_SET\BioAnalyze\figures\heatmaps\species\equus_caballus\h2a_equus_caballus_clustered.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\equus_caballus\h2a_equus_caballus_clustered.svg	CURATED_SET\BioAnalyze\figures\heatmaps\species\equus_caballus\h2a_equus_caballus_variants.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\equus_caballus\h2a_equus_caballus_variants.svg	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\Equus_caballus_expr_advanced_all_conditions.tsv
Felis catus	felis_catus	success		vgnc_id	canonical_like	True	371952	391	23	13	10	23	12	13	12	10	12	CURATED_SET\BioAnalyze\data\processed\felis_catus\felis_catus_expr_advanced_H2A_present_gold.tsv	CURATED_SET\BioAnalyze\data\processed\felis_catus\felis_catus_h2a_canonical_variant_map.tsv	CURATED_SET\BioAnalyze\figures\heatmaps\species\felis_catus\h2a_felis_catus_all.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\felis_catus\h2a_felis_catus_all.svg	CURATED_SET\BioAnalyze\figures\heatmaps\species\felis_catus\h2a_felis_catus_clustered.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\felis_catus\h2a_felis_catus_clustered.svg	CURATED_SET\BioAnalyze\figures\heatmaps\species\felis_catus\h2a_felis_catus_variants.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\felis_catus\h2a_felis_catus_variants.svg	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\Felis_catus_expr_advanced_all_conditions.tsv
Heterocephalus glaber	heterocephalus_glaber	success		vgnc_id	canonical_like	True	777866	74	2	1	1	2	13	1	13	1	13	CURATED_SET\BioAnalyze\data\processed\heterocephalus_glaber\heterocephalus_glaber_expr_advanced_H2A_present_gold.tsv	CURATED_SET\BioAnalyze\data\processed\heterocephalus_glaber\heterocephalus_glaber_h2a_canonical_variant_map.tsv	CURATED_SET\BioAnalyze\figures\heatmaps\species\heterocephalus_glaber\h2a_heterocephalus_glaber_all.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\heterocephalus_glaber\h2a_heterocephalus_glaber_all.svg	CURATED_SET\BioAnalyze\figures\heatmaps\species\heterocephalus_glaber\h2a_heterocephalus_glaber_clustered.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\heterocephalus_glaber\h2a_heterocephalus_glaber_clustered.svg	CURATED_SET\BioAnalyze\figures\heatmaps\species\heterocephalus_glaber\h2a_heterocephalus_glaber_variants.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\heterocephalus_glaber\h2a_heterocephalus_glaber_variants.svg	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\Heterocephalus_glaber_expr_advanced_all_conditions.tsv
Macaca mulatta	macaca_mulatta	success		vgnc_id	canonical_like	True	1525752	1189	20	12	8	20	28	12	28	8	28	CURATED_SET\BioAnalyze\data\processed\macaca_mulatta\macaca_mulatta_expr_advanced_H2A_present_gold.tsv	CURATED_SET\BioAnalyze\data\processed\macaca_mulatta\macaca_mulatta_h2a_canonical_variant_map.tsv	CURATED_SET\BioAnalyze\figures\heatmaps\species\macaca_mulatta\h2a_macaca_mulatta_all.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\macaca_mulatta\h2a_macaca_mulatta_all.svg	CURATED_SET\BioAnalyze\figures\heatmaps\species\macaca_mulatta\h2a_macaca_mulatta_clustered.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\macaca_mulatta\h2a_macaca_mulatta_clustered.svg	CURATED_SET\BioAnalyze\figures\heatmaps\species\macaca_mulatta\h2a_macaca_mulatta_variants.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\macaca_mulatta\h2a_macaca_mulatta_variants.svg	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\Macaca_mulatta_expr_advanced_all_conditions.tsv
Mus musculus	mus_musculus	success		vgnc_id	canonical_like	True	37842739	5453	9	2	7	9	350	2	350	7	350	CURATED_SET\BioAnalyze\data\processed\mus_musculus\mus_musculus_expr_advanced_H2A_present_gold.tsv	CURATED_SET\BioAnalyze\data\processed\mus_musculus\mus_musculus_h2a_canonical_variant_map.tsv	CURATED_SET\BioAnalyze\figures\heatmaps\species\mus_musculus\h2a_mus_musculus_all.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\mus_musculus\h2a_mus_musculus_all.svg	CURATED_SET\BioAnalyze\figures\heatmaps\species\mus_musculus\h2a_mus_musculus_clustered.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\mus_musculus\h2a_mus_musculus_clustered.svg	CURATED_SET\BioAnalyze\figures\heatmaps\species\mus_musculus\h2a_mus_musculus_variants.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\mus_musculus\h2a_mus_musculus_variants.svg	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\Mus_musculus_expr_advanced_all_conditions.tsv
Oryctolagus cuniculus	oryctolagus_cuniculus	partial	missing_clustered_split	vgnc_id	canonical_like	True	833382	73	2	0	2	2	21	0	0	2	21	CURATED_SET\BioAnalyze\data\processed\oryctolagus_cuniculus\oryctolagus_cuniculus_expr_advanced_H2A_present_gold.tsv	CURATED_SET\BioAnalyze\data\processed\oryctolagus_cuniculus\oryctolagus_cuniculus_h2a_canonical_variant_map.tsv	CURATED_SET\BioAnalyze\figures\heatmaps\species\oryctolagus_cuniculus\h2a_oryctolagus_cuniculus_all.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\oryctolagus_cuniculus\h2a_oryctolagus_cuniculus_all.svg			CURATED_SET\BioAnalyze\figures\heatmaps\species\oryctolagus_cuniculus\h2a_oryctolagus_cuniculus_variants.png	CURATED_SET\BioAnalyze\figures\heatmaps\species\oryctolagus_cuniculus\h2a_oryctolagus_cuniculus_variants.svg	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\Oryctolagus_cuniculus_expr_advanced_all_conditions.tsv
Rattus norvegicus	rattus_norvegicus	skipped	no_h2a_rows_after_join	vgnc_id	canonical_like	True	1515451	0	0	0	0	0	0	0	0	0	0									C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\Rattus_norvegicus_expr_advanced_all_conditions.tsv
