species	species_slug	gene_id	gene_name	anatomical_entity_name	expression	call_quality	expression_score	affymetrix_expression_score	est_expression_score	in_situ_hybridization_expression_score	rna_seq_expression_score	single_cell_rna_seq_expression_score	active_sources	active_source_count	source_class	heatmap_qualifying	overall_equals_rnaseq_score
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	male germ cell	present	silver quality	96.45	96.45					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	sperm	absent	silver quality	81.05	81.05					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	oocyte	present	gold quality	79.61	79.61					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	epithelial cell of pancreas	present	silver quality	88.81	88.81					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	male germ line stem cell (sensu Vertebrata) in testis	present	gold quality	79.89					79.89	single-cell RNA-Seq	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	granulocyte	present	gold quality	75.59				75.59		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	endothelial cell	present	silver quality	81.09	81.09					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	type B pancreatic cell	absent	silver quality	95.87	95.87					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	monocyte	present	gold quality	71.64				71.64		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	secondary oocyte	present	gold quality	80.51	80.51					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	primordial germ cell in gonad	present	gold quality	85.60					85.60	single-cell RNA-Seq	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	leukocyte	present	gold quality	80.73				80.73		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	mononuclear cell	present	gold quality	71.62	70.91			71.64		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	mononuclear cell	absent	gold quality	74.60	74.60					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	pancreatic ductal cell	absent	silver quality	78.13	78.13					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	bone marrow cell	present	silver quality	76.35	76.35					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	bone marrow cell	present	silver quality	76.21	76.21					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	bone marrow cell	present	silver quality	76.26	76.26					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	bone marrow cell	present	silver quality	76.77	76.77					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	bone marrow cell	absent	gold quality	76.44	76.44					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	bone marrow cell	present	silver quality	75.02	76.45			74.50		Affymetrix|RNA-Seq	2	multi_source	no	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	stromal cell of endometrium	present	gold quality	74.97				74.97		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	bronchial epithelial cell	present	gold quality	74.78	74.78					Affymetrix	1	non_rna_only	yes	not_applicable
