gene_name	tissue	legacy_variant	mean_nTPM	median_nTPM	max_nTPM	min_nTPM	n_obs	source_row_ids	source_gene_ids	source_accessions	source_protein_accessions
H2AC1	adipose tissue	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413152	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	adrenal gland	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413153	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	amygdala	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413154	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	breast	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413155	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	caudate	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413156	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	cerebellum	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413157	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	cerebral cortex	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413158	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	cervix	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413159	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	colon	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413160	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	endometrium	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413161	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	esophagus	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413162	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	fallopian tube	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413163	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	heart muscle	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413164	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	hippocampus	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413165	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	hypothalamus	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413166	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	kidney	cH2A.1_(Homo_sapiens)	0.2	0.2	0.2	0.2	1	413167	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	liver	cH2A.1_(Homo_sapiens)	0.1	0.1	0.1	0.1	1	413168	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	lung	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413169	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	nucleus accumbens	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413170	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	ovary	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413171	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	pancreas	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413172	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	pituitary gland	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413173	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	prostate	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413174	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	putamen	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413175	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	retina	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413176	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	salivary gland	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413177	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	skeletal muscle	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413178	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	skin	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413179	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	small intestine	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413180	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	spinal cord	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413181	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	spleen	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413182	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	stomach	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413183	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	substantia nigra	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413184	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	testis	cH2A.1_(Homo_sapiens)	5.5	5.5	5.5	5.5	1	413185	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	thyroid gland	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413186	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	urinary bladder	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413187	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC1	vagina	cH2A.1_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	413188	ENSG00000164508	NP_734466.1	NP_734466.1
H2AC11	adipose tissue	cH2A.5_(Homo_sapiens)	0.2	0.2	0.2	0.2	1	601234	ENSG00000196787	NP_066408.1	NP_066408.1
H2AC11	adrenal gland	cH2A.5_(Homo_sapiens)	0.2	0.2	0.2	0.2	1	601235	ENSG00000196787	NP_066408.1	NP_066408.1
H2AC11	amygdala	cH2A.5_(Homo_sapiens)	0.1	0.1	0.1	0.1	1	601236	ENSG00000196787	NP_066408.1	NP_066408.1
H2AC11	breast	cH2A.5_(Homo_sapiens)	0.1	0.1	0.1	0.1	1	601237	ENSG00000196787	NP_066408.1	NP_066408.1
H2AC11	caudate	cH2A.5_(Homo_sapiens)	0.1	0.1	0.1	0.1	1	601238	ENSG00000196787	NP_066408.1	NP_066408.1
H2AC11	cerebellum	cH2A.5_(Homo_sapiens)	0.0	0.0	0.0	0.0	1	601239	ENSG00000196787	NP_066408.1	NP_066408.1
H2AC11	cerebral cortex	cH2A.5_(Homo_sapiens)	0.1	0.1	0.1	0.1	1	601240	ENSG00000196787	NP_066408.1	NP_066408.1
H2AC11	cervix	cH2A.5_(Homo_sapiens)	0.3	0.3	0.3	0.3	1	601241	ENSG00000196787	NP_066408.1	NP_066408.1
H2AC11	colon	cH2A.5_(Homo_sapiens)	0.6	0.6	0.6	0.6	1	601242	ENSG00000196787	NP_066408.1	NP_066408.1
H2AC11	endometrium	cH2A.5_(Homo_sapiens)	0.1	0.1	0.1	0.1	1	601243	ENSG00000196787	NP_066408.1	NP_066408.1
H2AC11	esophagus	cH2A.5_(Homo_sapiens)	0.6	0.6	0.6	0.6	1	601244	ENSG00000196787	NP_066408.1	NP_066408.1
H2AC11	fallopian tube	cH2A.5_(Homo_sapiens)	0.1	0.1	0.1	0.1	1	601245	ENSG00000196787	NP_066408.1	NP_066408.1
