legacy_variant	all_genes	source_gene_count	source_row_count	source_tissue_count	expressed_genes	expressed_gene_count	nonzero_tissue_count
cH2A.10_(Homo_sapiens)	H2AC21	1	37	37	H2AC21	1	22
cH2A.11_(Homo_sapiens)	H2AC25	1	37	37	H2AC25	1	37
cH2A.1_(Homo_sapiens)	H2AC1	1	37	37	H2AC1	1	3
cH2A.2_(Homo_sapiens)	H2AC4;H2AC8	2	74	37	H2AC4;H2AC8	2	37
cH2A.3_(Homo_sapiens)	H2AC6	1	37	37	H2AC6	1	37
cH2A.4_(Homo_sapiens)	H2AC7	1	37	37	H2AC7	1	34
cH2A.5_(Homo_sapiens)	H2AC11;H2AC13;H2AC15;H2AC16;H2AC17	5	185	37	H2AC11;H2AC13;H2AC15;H2AC16;H2AC17	5	37
cH2A.6_(Homo_sapiens)	H2AC12	1	37	37	H2AC12	1	23
cH2A.7_(Homo_sapiens)	H2AC14	1	37	37	H2AC14	1	14
cH2A.8_(Homo_sapiens)	H2AC18;H2AC19	2	2	1	H2AC19	1	1
cH2A.9_(Homo_sapiens)	H2AC20	1	37	37	H2AC20	1	37
