tissue	expressed_gene_count	genes
liver	15	H2AC1;H2AC11;H2AC12;H2AC13;H2AC14;H2AC15;H2AC16;H2AC17;H2AC20;H2AC21;H2AC25;H2AC4;H2AC6;H2AC7;H2AC8
adipose tissue	14	H2AC11;H2AC12;H2AC13;H2AC14;H2AC15;H2AC16;H2AC17;H2AC20;H2AC21;H2AC25;H2AC4;H2AC6;H2AC7;H2AC8
colon	14	H2AC11;H2AC12;H2AC13;H2AC14;H2AC15;H2AC16;H2AC17;H2AC20;H2AC21;H2AC25;H2AC4;H2AC6;H2AC7;H2AC8
esophagus	14	H2AC11;H2AC12;H2AC13;H2AC14;H2AC15;H2AC16;H2AC17;H2AC20;H2AC21;H2AC25;H2AC4;H2AC6;H2AC7;H2AC8
lung	14	H2AC11;H2AC12;H2AC13;H2AC14;H2AC15;H2AC16;H2AC17;H2AC20;H2AC21;H2AC25;H2AC4;H2AC6;H2AC7;H2AC8
skin	14	H2AC11;H2AC12;H2AC13;H2AC14;H2AC15;H2AC16;H2AC17;H2AC20;H2AC21;H2AC25;H2AC4;H2AC6;H2AC7;H2AC8
small intestine	14	H2AC11;H2AC12;H2AC13;H2AC14;H2AC15;H2AC16;H2AC17;H2AC20;H2AC21;H2AC25;H2AC4;H2AC6;H2AC7;H2AC8
spinal cord	14	H2AC11;H2AC12;H2AC13;H2AC14;H2AC15;H2AC16;H2AC17;H2AC20;H2AC21;H2AC25;H2AC4;H2AC6;H2AC7;H2AC8
spleen	14	H2AC11;H2AC12;H2AC13;H2AC14;H2AC15;H2AC16;H2AC17;H2AC20;H2AC21;H2AC25;H2AC4;H2AC6;H2AC7;H2AC8
stomach	14	H2AC11;H2AC12;H2AC13;H2AC14;H2AC15;H2AC16;H2AC17;H2AC20;H2AC21;H2AC25;H2AC4;H2AC6;H2AC7;H2AC8
testis	14	H2AC1;H2AC11;H2AC12;H2AC13;H2AC14;H2AC15;H2AC16;H2AC17;H2AC20;H2AC25;H2AC4;H2AC6;H2AC7;H2AC8
vagina	14	H2AC11;H2AC12;H2AC13;H2AC14;H2AC15;H2AC16;H2AC17;H2AC20;H2AC21;H2AC25;H2AC4;H2AC6;H2AC7;H2AC8
cervix	13	H2AC11;H2AC12;H2AC13;H2AC14;H2AC15;H2AC17;H2AC20;H2AC21;H2AC25;H2AC4;H2AC6;H2AC7;H2AC8
kidney	12	H2AC1;H2AC11;H2AC13;H2AC15;H2AC16;H2AC17;H2AC20;H2AC21;H2AC25;H2AC6;H2AC7;H2AC8
salivary gland	12	H2AC11;H2AC12;H2AC13;H2AC15;H2AC16;H2AC17;H2AC20;H2AC21;H2AC25;H2AC6;H2AC7;H2AC8
amygdala	11	H2AC11;H2AC12;H2AC15;H2AC16;H2AC17;H2AC20;H2AC25;H2AC4;H2AC6;H2AC7;H2AC8
prostate	11	H2AC11;H2AC12;H2AC13;H2AC15;H2AC17;H2AC20;H2AC21;H2AC25;H2AC6;H2AC7;H2AC8
thyroid gland	11	H2AC11;H2AC12;H2AC13;H2AC15;H2AC17;H2AC20;H2AC21;H2AC25;H2AC6;H2AC7;H2AC8
urinary bladder	11	H2AC11;H2AC12;H2AC13;H2AC15;H2AC17;H2AC20;H2AC21;H2AC25;H2AC6;H2AC7;H2AC8
breast	10	H2AC11;H2AC12;H2AC15;H2AC17;H2AC20;H2AC21;H2AC25;H2AC6;H2AC7;H2AC8
heart muscle	10	H2AC11;H2AC12;H2AC13;H2AC15;H2AC17;H2AC20;H2AC25;H2AC6;H2AC7;H2AC8
ovary	10	H2AC11;H2AC12;H2AC13;H2AC15;H2AC20;H2AC21;H2AC25;H2AC6;H2AC7;H2AC8
adrenal gland	9	H2AC11;H2AC13;H2AC15;H2AC17;H2AC20;H2AC25;H2AC6;H2AC7;H2AC8
caudate	9	H2AC11;H2AC13;H2AC15;H2AC17;H2AC20;H2AC25;H2AC6;H2AC7;H2AC8
hippocampus	9	H2AC11;H2AC13;H2AC15;H2AC17;H2AC20;H2AC25;H2AC6;H2AC7;H2AC8
hypothalamus	9	H2AC11;H2AC13;H2AC15;H2AC17;H2AC20;H2AC25;H2AC6;H2AC7;H2AC8
pancreas	9	H2AC11;H2AC12;H2AC15;H2AC20;H2AC21;H2AC25;H2AC6;H2AC7;H2AC8
cerebral cortex	8	H2AC11;H2AC15;H2AC17;H2AC20;H2AC25;H2AC6;H2AC7;H2AC8
endometrium	8	H2AC11;H2AC14;H2AC15;H2AC20;H2AC25;H2AC6;H2AC7;H2AC8
fallopian tube	8	H2AC11;H2AC12;H2AC15;H2AC20;H2AC25;H2AC6;H2AC7;H2AC8
skeletal muscle	8	H2AC11;H2AC15;H2AC17;H2AC20;H2AC21;H2AC25;H2AC6;H2AC8
substantia nigra	8	H2AC11;H2AC15;H2AC17;H2AC20;H2AC25;H2AC6;H2AC7;H2AC8
cerebellum	7	H2AC15;H2AC20;H2AC21;H2AC25;H2AC4;H2AC6;H2AC8
nucleus accumbens	7	H2AC11;H2AC15;H2AC20;H2AC25;H2AC6;H2AC7;H2AC8
pituitary gland	7	H2AC11;H2AC15;H2AC20;H2AC25;H2AC6;H2AC7;H2AC8
putamen	7	H2AC11;H2AC15;H2AC20;H2AC25;H2AC6;H2AC7;H2AC8
retina	7	H2AC11;H2AC15;H2AC19;H2AC20;H2AC25;H2AC6;H2AC8
