gene_name,species_dir,species_name,ensembl_gene_id,tissue,cell_mean_score,cell_std_score,cell_n,cell_status,map_label,class,expression_score,agg_expression_score
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,adipose tissue,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,adrenal cortex,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,adrenal gland,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,adult mammalian kidney,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,blood,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,bone marrow,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,brain,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,cardiac muscle of left ventricle,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,cartilage tissue,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,cerebellum,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,cerebral cortex,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,colon,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,frontal cortex,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,granulocyte,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,hair follicle,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,head,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,heart,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,heart left ventricle,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,heart right ventricle,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,hypothalamus,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,jejunum,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,keratinocyte,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,kidney,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,large intestine,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,left cardiac atrium,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,liver,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,lung,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
