tissue,bos_taurus,canis_lupus_familiaris,cavia_porcellus,equus_caballus,felis_catus,heterocephalus_glaber,human,macaca_mulatta,mus_musculus,oryctolagus_cuniculus,pan_troglodytes,sus_scrofa
adult mammalian kidney,,0.0,,0.0,29.0,,48.8,,0.0,,,
liver,,0.0,,38.97,0.0,,40.175,,57.8,,,
testis,,0.0,,75.44,22.295,,46.428,,76.43928571428572,,,
zone of skin,,0.0,,0.0,0.0,,35.120000000000005,,0.0,,,
bone marrow,,0.0,,0.0,,,42.76,,0.0,,,
brain,,0.0,,,0.0,,33.96,,40.78,,,
cerebellum,,0.0,,33.3,,,47.28333333333333,,49.775,,,
prefrontal cortex,,0.0,,38.93,0.0,,39.72,,,,,
spleen,,0.0,,,0.0,,49.69272727272728,,28.52,,,
adrenal gland,,0.0,,,,,38.78,,0.0,,,
blood,,0.0,,0.0,,,48.315625,,,,,
cerebral cortex,,0.0,,,,,33.98,,0.0,,,
colon,,0.0,,,,,39.59,,0.0,,,
frontal cortex,,0.0,,,,,36.150000000000006,,0.0,,,
granulocyte,,0.0,,,,,0.0,,0.0,,,
heart,,0.0,,,,,40.26,,33.72,,,
hypothalamus,,0.0,,,,,33.015,,0.0,,,
kidney,,0.0,,,,,36.17,,0.0,,,
lung,,0.0,,,,,31.98,,0.0,,,
multicellular organism,,,,20.71,,,38.34,,25.15,,,
muscle tissue,,,,29.6,,,39.02,,0.0,,,
ovary,,0.0,,,,,41.086666666666666,,0.0,,,
pancreas,,0.0,,,,,33.24,,0.0,,,
placenta,,0.0,,,,,31.1,,0.0,,,
skeletal muscle tissue,,0.0,,,,,41.925,,0.0,,,
stomach,,0.0,,,,,36.71428571428572,,0.0,,,
urinary bladder,,0.0,,,,,47.015,,0.0,,,
Ammon's horn,,,,,,,35.932500000000005,,26.28,,,
adipose tissue,,0.0,,,,,39.105,,,,,
cerebellar cortex,,,,,,,38.38,,0.0,,,
cortex of kidney,,,,,,,0.0,,0.0,,,
cortical plate,,,,,,,0.0,,0.0,,,
duodenum,,,,,,,45.05,,0.0,,,
embryo,,,,0.0,23.16,,,,,,,
endometrium,,,,0.0,,,27.77,,,,,
esophagus,,,,,,,39.98,,0.0,,,
ganglionic eminence,,,,,,,0.0,,0.0,,,
heart left ventricle,,0.0,,,,,41.64,,,,,
hindlimb stylopod muscle,,,,,,,0.0,,0.0,,,
intestine,,,,,,,39.12,,0.0,,,
islet of Langerhans,,,,,,,0.0,,0.0,,,
jejunum,,0.0,,,,,,,0.0,,,
leukocyte,,,,0.0,,,0.0,,,,,
lymph node,,0.0,,,,,0.0,,,,,
metanephros cortex,,0.0,,,,,0.0,,,,,
olfactory bulb,,0.0,,,,,,,0.0,,,
pituitary gland,,0.0,,,,,36.858,,,,,
primary visual cortex,,,,,,,0.0,,0.0,,,
retina,,0.0,,0.0,,,,,,,,
saliva-secreting gland,,0.0,,,,,34.74,,,,,
small intestine,,0.0,,,,,39.045,,,,,
smooth muscle tissue,,0.0,,,,,0.0,,,,,
spinal cord,,0.0,,0.0,,,,,,,,
superior frontal gyrus,,,,,,,0.0,,0.0,,,
temporal lobe,,0.0,,,,,0.0,,,,,
thymus,,0.0,,,,,,,0.0,,,
