tissue,bos_taurus,canis_lupus_familiaris,felis_catus,human,macaca_mulatta,mus_musculus,pan_troglodytes
testis,58.906666666666666,23.59,35.96333333333333,74.38,59.330000000000005,67.905,81.945
adult mammalian kidney,44.17,35.35,,46.895,47.31,53.635000000000005,41.98
liver,36.2125,30.51,20.21,40.521428571428565,41.730000000000004,60.87571428571429,
cortex of kidney,45.1,,,30.56,37.52,47.43,26.08
kidney,,22.31,,35.42,38.7,51.0,
multicellular organism,,,,23.16,32.71666666666667,46.95,20.67
heart,,16.9,,,,44.53375,
lung,,,,24.643333333333334,,49.932500000000005,
metanephros cortex,45.03,,,35.54,,,
spermatid,,,,,68.8,93.44,
spermatocyte,,,,,88.12,96.45,
adrenal gland,,,,,,58.675,
animal zygote,,,,,,99.43,
blastoderm cell in morula,,,,,,72.47,
body of pancreas,,,,33.29,,,
bone marrow,,,,,,64.63,
brain,,,,,,25.56,
cerebellar cortex,,,,,,44.94,
cerebellum,,,,,,37.78,
colon,,,,,,58.16,
embryonic brain,,,,,,38.12,
embryonic cell in blastocyst,,,,,,64.88,
embryonic facial prominence,,,,,,57.285,
epiblast (generic),,,,,,78.58,
eyeball of camera-type eye,,,32.03,,,,
forebrain,,,,,,52.525,
forelimb bud,,,,,,60.4,
head,,27.49,,,,,
heart left ventricle,,,,22.92,,,
hindbrain,,,,,,53.92,
hindlimb bud,,,,,,52.745,
hindlimb stylopod muscle,,,,,,48.52,
intestine,,,,,,51.065,
left cardiac atrium,,47.84,,,,,
left testis,,,,70.285,,,
limb,,,,,,52.8725,
male germ line stem cell (sensu Vertebrata) in testis,,,,92.96,,,
material anatomical entity,,,,23.16,,,
mesodermal cell in embryo,,,,,,72.18,
midbrain,,,,,,54.84,
neural tube,,,,,,50.48,
pancreas,,,,31.475,,,
placenta,,,,,,52.435,
prefrontal cortex,,,15.91,,,,
primary oocyte,,,,,,99.71,
primary visual cortex,,,,,,37.495,
primordial germ cell in gonad,,,,81.3,,,
right lobe of liver,,,,44.495,,,
right testis,,,,68.348,,,
secondary oocyte,,,,,,99.61,
semen,80.95,,,,,,
spleen,,,,,,65.28999999999999,
stomach,,,,,,56.595,
striatum,,,,,,52.19,
superior frontal gyrus,,,,,,59.86,
thymus,,,,,,48.97,
urinary bladder,,,,,,58.695,
white adipose tissue,,,,,,58.224999999999994,
yolk sac,,,,,,57.715,
zone of skin,,,,,,60.91,
