tissue,bos_taurus,canis_lupus_familiaris,equus_caballus,human,macaca_mulatta,sus_scrofa
testis,49.2425,31.3475,45.4225,66.72461538461538,63.32666666666666,86.02
blood,44.25,60.98,48.964,69.79942857142858,,58.120000000000005
colon,28.98,35.21,,59.79764705882353,45.92,58.925
liver,30.316666666666666,40.876666666666665,,57.458,52.074999999999996,60.125
adipose tissue,29.79,,,42.38375,47.58,56.64
cerebral cortex,,43.025,,50.21333333333334,45.7,44.97
heart,,42.02333333333333,,53.513333333333335,46.4025,66.02
multicellular organism,26.69,,52.01,48.25,42.3,
muscle tissue,30.346666666666664,,39.8675,49.31,,42.33
ovary,35.33,74.97,,75.20599999999999,,56.19333333333333
spleen,,48.22,,54.814166666666665,43.815,58.080000000000005
adrenal gland,40.31,45.865,,51.1,,
adult mammalian kidney,34.0,40.224999999999994,,47.9775,,
bone marrow,,66.63,94.42,63.36,,
brain,,51.455,,42.25875,34.615,
duodenum,52.3625,,,62.415,,56.584999999999994
endometrium,28.11,,29.63,56.905,,
kidney,32.85,35.43,,63.52,,
leukocyte,44.81,,50.13,76.08,,
lung,,45.949999999999996,,61.1390909090909,,59.545
mammary gland,37.81,45.52,,42.82,,
pituitary gland,40.629999999999995,51.605000000000004,,34.19,,
prefrontal cortex,,52.85,,45.4925,32.38,
spinal cord,,41.05,62.1875,48.915,,
subcutaneous adipose tissue,51.06,,,40.9825,,42.4
thymus,48.85,69.82,,76.51,,
uterus,30.98,,,49.614999999999995,,45.37
zone of skin,,46.84285714285714,28.85,40.534285714285716,,
adrenal cortex,,50.045,,48.33,,
caecum,91.06,,,,,61.71
cerebellum,,46.875,79.93,,,
dorsolateral prefrontal cortex,,,,42.35333333333333,54.46,
forebrain,,,,59.53,,69.1
frontal cortex,,46.99666666666667,,43.68833333333333,,
gall bladder,46.785,,,51.1,,
granulocyte,,60.79,,65.7,,
heart left ventricle,,52.245000000000005,,49.85999999999999,,
hindlimb stylopod muscle,,,,54.66,32.63,
hypothalamus,,40.83,,44.334,,
ileum,86.425,,,,,68.015
jejunum,50.785,42.19,,,,
large intestine,,52.06,,53.09,,
longissimus thoracis muscle,28.735,,,,,46.62875
material anatomical entity,,,,48.26,,39.005
olfactory segment of nasal mucosa,,,,48.1,35.03,
omental fat pad,35.39,,,43.51555555555555,,
oocyte,58.78,,,,,61.94
pancreas,,52.175,,41.935,,
placenta,,51.64,,60.27,,
right lobe of liver,,,,51.26833333333334,,44.725
skeletal muscle tissue,27.195,66.325,,,,
small intestine,,30.94,,51.445,,
smooth muscle tissue,,74.47,,50.47,,
stomach,,33.965,,66.73583333333333,,
temporal lobe,,81.36,,41.92,,
thyroid gland,,42.51,,45.45066666666666,,
tongue,42.15,77.96,,,,
tonsil,,,,51.68,,67.5
Ammon's horn,,,,43.751999999999995,,
Brodmann (1909) area 9,,,,46.705,,
C1 segment of cervical spinal cord,,,,52.333333333333336,,
adenohypophysis,,,,51.03,,
adipose tissue of abdominal region,,,,45.33,,
adrenal tissue,,,,80.61666666666667,,
amniotic fluid,,,,81.58,,
amygdala,,,,40.27,,
anatomical system,,,,48.27,,
anterior cingulate cortex,,,,37.45,,
anterior segment of eyeball,47.24,,,,,
aorta,,,,54.32,,
