tissue,bos_taurus,canis_lupus_familiaris,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa
liver,39.02285714285715,35.696666666666665,23.13,41.035714285714285,43.903333333333336,38.66,53.26333333333334
brain,33.66,16.05,76.52,22.680000000000003,32.519999999999996,,
spleen,46.832,41.335,,44.434000000000005,,64.72,77.968
testis,58.612,,12.78,31.560000000000002,60.586666666666666,,94.05
cerebral cortex,44.16,,,23.27,,25.39,82.47
colon,44.03,,,55.437777777777775,42.62,,96.47999999999999
frontal cortex,42.075,,,27.15,,25.37,54.26
multicellular organism,42.77,,,30.3,33.11,28.799999999999997,
adipose tissue,42.948,,,33.169999999999995,,,88.63
adult mammalian kidney,,,,46.945,40.865,,61.14
bone marrow,56.21,,,75.65,,99.63,
cortex of kidney,42.29,,,25.76,,33.14,
duodenum,54.3525,,,41.59,,,97.285
heart,,,,66.356,,44.61,61.48
lung,34.656666666666666,,,59.012857142857136,,,65.99000000000001
lymph node,47.5,,,46.47,,75.25,
ovary,52.03666666666667,,,23.1,,,91.06666666666666
prefrontal cortex,,,,32.925,35.4525,26.46,
skeletal muscle tissue,40.59666666666667,,,,,45.68,78.27000000000001
stomach,,45.87,,61.16166666666667,,,87.15
subcutaneous adipose tissue,48.7,,,26.98,,,67.54
thymus,49.87,43.06,,,,99.15,
Ammon's horn,53.89,,,29.730000000000004,,,
adrenal gland,49.54,,,40.39,,,
blood,43.405,,,51.14666666666667,,,
caecum,63.156666666666666,,,,,,96.97
corpus callosum,,,,52.97,,,53.85
endometrium,42.3725,,,37.37,,,
fibroblast,,,,,36.21,59.585,
heart left ventricle,,,,38.065,,,69.11500000000001
hindlimb stylopod muscle,,,,46.81,41.9,,
hypothalamus,43.836666666666666,,,39.28,,,
ileum,61.477999999999994,,,,,,98.85
jejunum,48.105000000000004,49.61,,,,,
kidney,33.48,,,81.15,,,
longissimus thoracis muscle,39.7675,,,,,,70.15333333333334
metanephros cortex,41.95,,,,,,59.620000000000005
monocyte,45.01,,,47.31,,,
muscle tissue,38.24,,,37.61,,,
pituitary gland,44.94,,,,,,62.26
placenta,41.525,,,43.96,,,
pons,51.69,,,,,,44.84
right lobe of liver,,,,41.165,,,80.36500000000001
saliva-secreting gland,45.91,,,26.74,,,
small intestine,,35.405,,33.980000000000004,,,
spermatid,50.05,,,,60.38,,
tongue,54.31,36.95,,,,,
tonsil,,,,57.095,,,98.61
uterus,41.49666666666667,,,,,,69.0
zone of skin,,42.6475,,27.36,,,
C1 segment of cervical spinal cord,,,,39.02,,,
abomasum,52.64000000000001,,,,,,
adenohypophysis,46.045,,,,,,
adrenal tissue,,,,91.45666666666666,,,
ampulla of uterine tube,40.66,,,,,,
amygdala,,,,,,,54.91
anterior cingulate cortex,,,,23.41,,,
anterior segment of eyeball,54.88,,,,,,
aorta,42.68,,,,,,
ascending aorta,,,,27.820000000000004,,,
body of stomach,,,,34.78,,,
body of uterus,,,,26.12,,,
bone marrow cell,,,,98.35,,,
brainstem,,,,,,,57.31999999999999
calcaneal tendon,,,,73.255,,,
caudate nucleus,,,,26.91,,,
cerebellum,60.325,,,,,,
colonic epithelium,,,,68.83,,,
conceptus,98.11,,,,,,
corpus epididymis,48.97,,,,,,
cortical plate,,,,45.1,,,
cumulus cell,60.52,,,,,,
descending colon,63.620000000000005,,,,,,
descending thoracic aorta,,,,39.435,,,
diaphragm,58.935,,,,,,
digestive system secreted substance,53.76,,,,,,
dorsal plus ventral thalamus,,,,,,,51.12
dorsal thalamus,43.76,,,,,,
dorsolateral prefrontal cortex,,,,,,30.5,
ectocervix,,,,64.05,,,
embryo,,,20.14,,,,
embryonic head,,,36.19,,,,
epididymis,,,,,,,68.81
esophagogastric junction muscularis propria,,,,25.5225,,,
esophagus,,,,34.085,,,
esophagus mucosa,,,,45.76,,,
eyeball of camera-type eye,,,26.81,,,,
fallopian tube,,,,26.32,,,
floor plate of diencephalon,53.45,,,,,,
forebrain,,,,,,,91.0
forelimb bud,,,,,,,53.27
gall bladder,54.635000000000005,,,,,,
ganglionic eminence,,,,54.84,,,
gluteal muscle,45.17,,,,,,
granulosa cell,62.96,,,,,,
hair follicle,,38.68,,,,,
head,,30.324999999999996,,,,,
hindlimb bud,,,,,,,56.16
hippocampal formation,,,,,,,75.03
ileocecal valve,58.45,,,,,,
intercostal muscle,41.75,,,,,,
intestine,,,,79.6375,,,
isthmus of fallopian tube,49.105000000000004,,,,,,
large intestine,,41.82,,,,,
left adrenal gland,,,,32.97,,,
left adrenal gland cortex,,,,34.0,,,
left coronary artery,,,,36.370000000000005,,,
left lobe of thyroid gland,,,,19.76,,,
left ovary,,,,29.46,,,
leukocyte,49.41,,,,,,
longissimus muscle,70.75666666666666,,,,,,
lower esophagus muscularis layer,,,,25.036666666666665,,,
male germ line stem cell (sensu Vertebrata) in testis,,,,89.57,,,
mammary gland,63.255,,,,,,
material anatomical entity,,,,,,,51.275000000000006
mesenteric lymph node,,,,,,,98.25999999999999
midbrain,50.32,,,,,,
milk,40.635,,,,,,
minor salivary gland,,,,29.655,,,
mucosa of transverse colon,,,,58.84,,,
muscle layer of sigmoid colon,,,,27.052,,,
muscle of leg,,,,32.95,,,
myometrium,,,,30.665,,,
nasopharynx,49.95,,,,,,
neurohypophysis,43.97,,,,,,
neutrophil,72.14,,,,,,
occipital lobe,,19.72,,,,,
olfactory segment of nasal mucosa,,,,30.68,,,
omental fat pad,,,,31.785,,,
omentum,,,,,,,91.27
oocyte,69.3,,,,,,
pancreas,,,,26.94,,,
penis,,,,,,,97.15
pharyngeal tonsil,50.24,,,,,,
pigment epithelium of eye,46.400000000000006,,,,,,
primordial germ cell in gonad,,,,72.75,,,
psoas major muscle,,,,,,,42.59
retina,55.29,,,,,,
retropharyngeal lymph node,46.5,,,,,,
right adrenal gland,,,,41.81,,,
right atrium auricular region,,,,44.21,,,
rumen,75.69666666666667,,,,,,
rumen epithelium,62.0,,,,,,
rumen papilla,59.46,,,,,,
ruminant reticulum,55.82,,,,,,
scapular muscle,33.51,,,,,,
semitendinosus,47.23333333333333,,,,,,
skin of abdomen,,,,32.64666666666667,,,
skin of leg,,,,24.259999999999998,,,
small intestine Peyer's patch,,,,35.44857142857143,,,
spermatocyte,,,,,56.52,,
spiral colon,95.79,,,,,,
substantia nigra,,,,32.52,,,
superior frontal gyrus,,,,,,25.169999999999998,
sural nerve,,,,74.16,,,
surface of tongue,55.455,,,,,,
temporal cortex,52.38,,,,,,
theca cell,62.2,,,,,,
thoracic aorta,,,,26.93,,,
thyroid gland,,38.67,,,,,
tibial artery,,,,48.72,,,
trachea,45.29,,,,,,
transverse colon,,,,38.12375,,,
upper lobe of left lung,,,,32.36,,,
ureter,50.915,,,,,,
urethra,41.379999999999995,,,,,,
urinary bladder,,,,33.965,,,
uterine cervix,,,,34.67,,,
uterine tube infundibulum,51.11,,,,,,
vagina,,,,33.012,,,
ventricular zone,,,,46.89,,,
vermiform appendix,,,,41.1,,,
