tissue,bos_taurus,canis_lupus_familiaris,felis_catus,human,macaca_mulatta
liver,46.125,41.18,36.92,53.1625,41.50833333333333
adult mammalian kidney,,37.46,29.04,55.50909090909091,47.72
brain,,29.509999999999998,61.339999999999996,46.702,42.489999999999995
prefrontal cortex,,24.67,22.99,53.565,42.68000000000001
testis,57.60666666666666,15.66,,54.56166666666667,34.74
adipose tissue,33.01,38.41,,39.705,
blood,47.31,77.26,,59.37529411764706,
cerebral cortex,,28.92,,43.635,47.36
heart,,27.55,,64.24454545454546,39.05
multicellular organism,28.96,,,46.86,36.43
spleen,,54.07,18.32,47.8125,
zone of skin,36.23,40.42,,31.975,
bone marrow,,50.15,,66.41,
cerebellar cortex,,,,51.535,48.13333333333333
cerebellum,,,,58.595,49.384
colon,33.01,,,58.612,
dorsolateral prefrontal cortex,,,,39.965,48.84
duodenum,50.33,,,42.82,
frontal cortex,,40.205,,49.66090909090909,
gall bladder,44.505,,,54.96,
heart left ventricle,,41.07,,59.62352941176471,
hindlimb stylopod muscle,,,,38.41,53.41
kidney,,29.06,,72.77,
lung,,23.14,,62.97428571428571,
mammary gland,33.49,38.97,,,
olfactory segment of nasal mucosa,,,,36.51,33.65
ovary,,83.86,,55.086666666666666,
pancreas,,66.89,,38.545,
pituitary gland,,32.62,,55.083000000000006,
placenta,37.705,,,47.91,
primary visual cortex,,,,79.42500000000001,34.38
small intestine,,44.56,,41.5,
subcutaneous adipose tissue,39.123333333333335,,,40.97727272727273,
superior frontal gyrus,,,,55.64333333333334,38.1
temporal lobe,,67.89,,47.1875,
thyroid gland,,51.38,,52.52076923076923,
urinary bladder,,35.35,,45.808,
uterus,28.384999999999998,,,47.0,
Ammon's horn,,,,50.43666666666667,
Brodmann (1909) area 9,,,,39.55571428571428,
C1 segment of cervical spinal cord,,,,55.17777777777778,
abomasum,51.31333333333333,,,,
adenohypophysis,,,,51.444,
adrenal gland,,,,45.81,
adrenal tissue,,,,75.39333333333333,
amygdala,,,,37.26833333333334,
anterior cingulate cortex,,,,42.385555555555555,
apex of heart,,,,55.85,
ascending aorta,,,,52.45700000000001,
body of pancreas,,,,40.82833333333333,
body of stomach,,,,41.31363636363636,
body of uterus,,,,50.186,
bone marrow cell,,,,84.77,
caecum,59.42000000000001,,,,
calcaneal tendon,,,,71.148,
caudate nucleus,,,,50.0875,
central nervous system,,,,45.02,
cerebellar hemisphere,,,,52.455,
cerebellar vermis,,,,78.695,
conceptus,96.36,,,,
corpus callosum,,,,54.68,
cortex of kidney,,,,45.11,
cortical plate,,,,46.975,
cumulus cell,42.27,,,,
descending colon,91.4,,,,
descending thoracic aorta,,,,51.31666666666666,
diaphragm,46.82,,,,
dorsal plus ventral thalamus,,,,91.35,
dorsal root ganglion,,,,89.74,
ectocervix,,,,53.1275,
endocervix,,,,50.71333333333333,
endometrium,,,,40.935,
endometrium epithelium,,,,88.31,
epithelium of bronchus,,,,88.61,
esophagogastric junction muscularis propria,,,,43.019999999999996,
esophagus,,,,43.307500000000005,
esophagus mucosa,,,,41.42111111111111,
eyeball of camera-type eye,,,26.14,,
fallopian tube,,,,48.27,
fibroblast,,,,,43.73
frontal pole,,,,85.315,
fundus of stomach,,,,46.31,
ganglionic eminence,,,,52.66,
gastrocnemius,,,,53.178999999999995,
gluteal muscle,41.08,,,,
granulocyte,,67.9,,,
head,,26.49,,,
hypothalamus,,,,43.699999999999996,
ileocecal valve,30.04,,,,
ileum,59.792500000000004,,,,
intestine,,,,66.745,
intramuscular adipose tissue,32.78,,,,
islet of Langerhans,,,,43.22,
jejunum,39.795,,,,
large intestine,,39.79,,,
layer of synovial tissue,,,,84.04,
left adrenal gland,,,,47.08375,
left adrenal gland cortex,,,,50.238,
left coronary artery,,,,55.52,
left lobe of thyroid gland,,,,50.61363636363637,
left ovary,,,,58.903999999999996,
left testis,,,,53.27,
left uterine tube,,,,50.91,
leukocyte,49.076666666666675,,,,
longissimus muscle,60.38333333333333,,,,
longissimus thoracis muscle,34.795,,,,
lower esophagus,,,,43.775000000000006,
lower esophagus muscularis layer,,,,46.98363636363637,
lymph node,,,,53.88,
male germ line stem cell (sensu Vertebrata) in testis,,,,93.63,
metanephros cortex,,,,32.11,
middle frontal gyrus,,,,86.59,
milk,37.265,,,,
minor salivary gland,,,,45.92375,
mitral valve,,51.905,,,
monocyte,,,,62.25,
mucosa of stomach,,,,46.66,
mucosa of transverse colon,,,,53.75,
muscle layer of sigmoid colon,,,,46.18285714285714,
muscle of leg,,,,51.385,
myometrium,,,,51.644285714285715,
neutrophil,61.27,,,,
nucleus accumbens,,,,49.425555555555555,
occipital lobe,,67.47,,,
omental fat pad,,,,41.96888888888889,
oocyte,79.44,,,,
paraflocculus,,,,87.37,
pharyngeal tonsil,34.75,,,,
popliteal artery,,,,61.16,
prostate gland,,,,70.20764705882353,
putamen,,,,41.274,
quadriceps femoris,,,,85.99428571428572,
rectum,,,,36.44,
right adrenal gland,,,,49.9725,
right adrenal gland cortex,,,,45.94333333333333,
right atrium auricular region,,,,50.61272727272728,
right coronary artery,,,,54.42,
right frontal lobe,,,,39.8975,
right hemisphere of cerebellum,,,,53.83,
right lobe of liver,,,,46.675,
