gene_name,species_dir,species_name,ensembl_gene_id,tissue,cell_mean_score,cell_std_score,cell_n,cell_status,map_label,class,expression_score,agg_expression_score
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,adipose tissue,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,adrenal cortex,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,adrenal gland,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,adult mammalian kidney,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,blood,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,bone marrow,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,brain,16.02,0.0,1,present_gold,H2AC16:VGNC:83727,clustered,16.02,16.02
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,cardiac muscle of left ventricle,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,cartilage tissue,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,cerebellum,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,cerebral cortex,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,colon,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,frontal cortex,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,granulocyte,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,hair follicle,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,head,27.57,0.0,1,present_gold,H2AC16:VGNC:83727,clustered,27.57,27.57
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,heart,19.64,0.0,1,present_gold,H2AC16:VGNC:83727,clustered,19.64,19.64
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,heart left ventricle,58.59,0.0,1,present_gold,H2AC16:VGNC:83727,clustered,58.59,58.59
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,heart right ventricle,46.64,0.0,1,present_gold,H2AC16:VGNC:83727,clustered,46.64,46.64
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,hypothalamus,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,jejunum,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,keratinocyte,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,large intestine,69.51,0.0,1,present_gold,H2AC16:VGNC:83727,clustered,69.51,69.51
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,left cardiac atrium,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,liver,22.87,0.0,1,present_gold,H2AC16:VGNC:83727,clustered,22.87,22.87
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,lung,30.12,12.600642840744278,2,present_gold,H2AC16:VGNC:83727,clustered,30.12,30.12
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,lymph node,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,mammary gland,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,metanephros cortex,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,mitral valve,37.21,0.0,1,present_gold,H2AC16:VGNC:83727,clustered,37.21,37.21
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,mucosa of urinary bladder,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,nose,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,occipital cortex,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,occipital lobe,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,olfactory bulb,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,ovary,32.27,0.0,1,present_gold,H2AC16:VGNC:83727,clustered,32.27,32.27
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,pancreas,57.87,0.0,1,present_gold,H2AC16:VGNC:83727,clustered,57.87,57.87
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,pituitary gland,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,placenta,53.24,0.0,1,present_gold,H2AC16:VGNC:83727,clustered,53.24,53.24
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,prefrontal cortex,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,renal medulla,37.09,0.0,1,present_gold,H2AC16:VGNC:83727,clustered,37.09,37.09
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,retina,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,right cardiac atrium,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,saliva-secreting gland,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,skeletal muscle tissue,34.63,0.0,1,present_gold,H2AC16:VGNC:83727,clustered,34.63,34.63
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,small intestine,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,smooth muscle tissue,47.16,0.0,1,present_gold,H2AC16:VGNC:83727,clustered,47.16,47.16
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,spinal cord,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
