tissue,canis_lupus_familiaris,equus_caballus,human,macaca_mulatta
liver,22.87,,47.1025,49.99666666666667
multicellular organism,,33.18,32.68,30.563333333333333
blood,,43.1825,63.15111111111111,
bone marrow,,66.21,80.67500000000001,
brain,16.02,,32.307500000000005,
cerebellum,,48.419999999999995,28.92,
colon,,,54.05111111111111,42.2
endometrium,,57.18,32.4,
heart,19.64,,61.928,
heart left ventricle,58.59,,32.938,
lung,30.12,,59.970000000000006,
olfactory segment of nasal mucosa,,,52.21,52.59
placenta,53.24,,35.36,
prefrontal cortex,,31.51,34.04,
spinal cord,,36.315,42.49,
spleen,46.14,,48.31727272727273,
testis,,33.375,28.0,
thyroid gland,41.33,,27.75,
zone of skin,,33.92,28.43,
Ammon's horn,,,37.489999999999995,
Brodmann (1909) area 9,,,24.27,
C1 segment of cervical spinal cord,,,46.35,
adipose tissue,,,29.055,
adrenal gland,,,39.07,
adrenal tissue,,,88.45333333333333,
adult mammalian kidney,,,46.96,
amygdala,,,24.564999999999998,
anterior cingulate cortex,,,25.19666666666667,
ascending aorta,,,33.12666666666667,
body of stomach,,,34.14222222222222,
bone marrow cell,,,98.29,
calcaneal tendon,,,66.438,
caudate nucleus,,,31.473333333333333,
central nervous system,,,27.07,
cerebellar cortex,,,25.56,
cerebellar hemisphere,,,29.1,
cerebral cortex,,,27.595,
chorionic villus,,40.23,,
colonic epithelium,,,71.58,
corpus callosum,,,54.935,
cortical plate,,,48.79,
dorsolateral prefrontal cortex,,,25.21,
duodenum,,,36.32,
ectocervix,,,50.1,
embryo,,49.97,,
endometrium epithelium,,,91.16,
epithelium of bronchus,,,88.4,
esophagogastric junction muscularis propria,,,20.57,
esophagus,,,32.76,
esophagus mucosa,,,42.894,
fibroblast,,,,45.37
gall bladder,,,34.66,
ganglionic eminence,,,50.83,
gastrocnemius,,,26.17,
gluteus medius,,40.473333333333336,,
granulocyte,,,58.21,
head,27.57,,,
heart right ventricle,46.64,,,
hypothalamus,,,37.285,
inner cell mass,,72.215,,
intestine,,,76.5075,
islet of Langerhans,,,30.0,
kidney,,,79.455,
large intestine,69.51,,,
left adrenal gland,,,41.6075,
left adrenal gland cortex,,,47.53,
left coronary artery,,,41.945,
left lobe of thyroid gland,,,29.604999999999997,
left testis,,,25.3925,
leukocyte,,47.57,,
lower esophagus mucosa,,,48.79,
lower esophagus muscularis layer,,,22.16,
lymph node,,,40.64,
minor salivary gland,,,41.465,
mitral valve,37.21,,,
monocyte,,,58.27,
mucosa of transverse colon,,,55.49,
muscle layer of sigmoid colon,,,31.613333333333333,
muscle of leg,,,34.73,
myometrium,,,31.240000000000002,
nucleus accumbens,,,55.17,
omental fat pad,,,33.825714285714284,
ovary,32.27,,,
oviduct epithelium,,48.92,,
pancreas,57.87,,,
primordial germ cell in gonad,,,86.33,
prostate gland,,,71.229,
renal medulla,37.09,,,
right adrenal gland,,,37.77333333333333,
right adrenal gland cortex,,,35.72,
right atrium auricular region,,,26.67,
right lobe of liver,,,44.85999999999999,
right lung,,,59.22,
right ovary,,,38.82,
right testis,,,34.24,
saliva-secreting gland,,,32.385000000000005,
sigmoid colon,,,32.7,
skeletal muscle tissue,34.63,,,
skin of abdomen,,,30.73,
skin of leg,,,27.706666666666667,
small intestine,,,33.81,
small intestine Peyer's patch,,,34.4575,
smooth muscle tissue,47.16,,,
stomach,,,61.88666666666666,
subcutaneous adipose tissue,,,28.073333333333334,
substantia nigra,,,39.067499999999995,
synovial membrane of synovial joint,,40.61,,
temporal lobe,32.3,,,
thoracic aorta,,,30.915,
thoracic mammary gland,,,34.105000000000004,
tibial nerve,,,27.95,
tonsil,,,56.53333333333333,
transverse colon,,,36.957142857142856,
trophectoderm,,75.17,,
trophoblast,,53.4,,
upper lobe of left lung,,,37.4675,
urinary bladder,,,44.67,
uterine cervix,,,35.52,
uterus,,,28.68,
vagina,,,34.388,
ventricular zone,,,62.565,
vermiform appendix,,,35.08,
