tissue,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,sus_scrofa
liver,52.56142857142857,,45.75,56.565999999999995,52.68833333333333,71.04
colon,43.96,,,61.63666666666667,45.96,87.39
spleen,59.555,,34.75,53.60454545454545,,73.2875
testis,35.803333333333335,,27.166666666666668,44.59285714285714,,85.96
zone of skin,51.822,24.23,36.46,41.44,,
adipose tissue,58.1,,,40.403333333333336,,64.83
adult mammalian kidney,44.74666666666667,,25.92,52.96666666666666,,
blood,71.6,31.802500000000002,,68.775625,,
bone marrow,55.71,89.39,,69.33,,
brain,47.16,,74.635,31.930000000000003,,
cerebral cortex,39.185,,,33.58,,50.72
heart,40.43666666666667,,,61.99375,,52.059999999999995
heart left ventricle,55.035,,,46.49166666666667,,52.834999999999994
lung,45.43,,,65.72428571428571,,58.25
metanephros cortex,48.83,,,46.25,,51.0
multicellular organism,,34.58,,41.81,31.330000000000002,
ovary,58.95,,,27.396666666666665,,67.67333333333333
pituitary gland,49.379999999999995,,,37.13,,52.74
skeletal muscle tissue,59.18000000000001,,,44.625,,61.155
stomach,54.545,,,67.05333333333333,,68.65
adrenal gland,48.6,,,50.78,,
cerebellum,38.36666666666667,58.1225,,,,
duodenum,,,,51.07,,88.89
embryo,,37.52,48.56,,,
endometrium,,30.99,,45.754999999999995,,
frontal cortex,41.43666666666667,,,43.045,,
granulocyte,75.0,,,68.17,,
hindlimb stylopod muscle,,,,45.9,32.67,
hypothalamus,38.78,,,38.3425,,
kidney,49.71,,,82.89,,
lymph node,48.035,,,56.44,,
muscle tissue,,,,42.38,,48.75
olfactory segment of nasal mucosa,,,,52.64,37.74,
pancreas,65.84333333333333,,,29.64,,
prefrontal cortex,49.1,,,36.2625,,
retina,43.67,49.0,,,,
right lobe of liver,,,,54.63166666666667,,54.769999999999996
small intestine,56.015,,,44.769999999999996,,
spinal cord,32.14,41.203333333333326,,,,
subcutaneous adipose tissue,,,,30.744,,25.79
thyroid gland,61.17,,,54.78923076923077,,
tonsil,,,,61.69,,96.19
urinary bladder,53.09,,,38.95,,
Ammon's horn,,,,39.42,,
Brodmann (1909) area 9,,,,36.125,,
C1 segment of cervical spinal cord,,,,56.26,,
adrenal cortex,48.525,,,,,
adrenal tissue,,,,93.33,,
amygdala,,,,41.46,,
anterior cingulate cortex,,,,34.86,,
apex of heart,,,,51.09,,
ascending aorta,,,,36.40714285714286,,
body of pancreas,,,,40.09,,
body of stomach,,,,40.943636363636365,,
bone marrow cell,,,,98.69,,
brainstem,,,,,,80.02
caecum,,,,,,85.99000000000001
calcaneal tendon,,,,78.334,,
cartilage tissue,48.61,,,,,
caudate nucleus,,,,38.064,,
cerebellar cortex,,,,26.13,,
cerebellar hemisphere,,,,31.36,,
chorionic villus,,39.05,,,,
colonic epithelium,,,,63.01,,
corpus callosum,,,,73.6375,,
cortex of kidney,,,,60.78,,
cortical plate,,,,46.69,,
dorsal plus ventral thalamus,,,,,,46.37
dorsolateral prefrontal cortex,,,,36.2175,,
ectocervix,,,,59.875,,
embryonic head,,,46.49,,,
endocervix,,,,41.16,,
epididymis,,,,,,50.13
esophagogastric junction muscularis propria,,,,28.7,,
esophagus,,,,42.8475,,
esophagus mucosa,,,,57.33454545454545,,
eyeball of camera-type eye,,,36.91,,,
fibroblast,,,,,54.97,
forebrain,,,,,,73.86
forelimb bud,,,,,,43.04
fundus of stomach,,,,42.88333333333333,,
gall bladder,,,,30.2,,
ganglionic eminence,,,,54.85,,
gastrocnemius,,,,37.36333333333333,,
gluteus medius,,29.814999999999998,,,,
hair follicle,34.77,,,,,
head,42.25333333333333,,,,,
hindlimb bud,,,,,,45.59
hippocampal formation,,,,,,61.61
ileum,,,,,,95.86500000000001
inner cell mass,,88.58500000000001,,,,
intestine,,,,82.6,,
islet of Langerhans,,,,30.195,,
jejunum,53.27,,,,,
keratinocyte,48.33,,,,,
large intestine,46.14,,,,,
left adrenal gland,,,,48.93875,,
left adrenal gland cortex,,,,49.871428571428574,,
left cardiac atrium,63.64,,,,,
left coronary artery,,,,43.45,,
left lobe of thyroid gland,,,,52.74545454545455,,
left ovary,,,,29.27,,
left testis,,,,45.21666666666667,,
leukocyte,,33.28,,,,
longissimus thoracis muscle,,,,,,56.59090909090909
