tissue,bos_taurus,equus_caballus,human,pan_troglodytes
bone marrow,69.07,31.75,82.56,99.75
cerebellum,50.715,72.1525,87.59666666666668,76.25
liver,56.464615384615385,49.41,86.9809090909091,89.625
multicellular organism,67.59,40.61,85.95,79.34
testis,45.86333333333334,77.53,96.25,95.82
adult mammalian kidney,35.64,,87.00181818181818,92.61
blood,36.94,61.11666666666667,97.985625,
cerebral cortex,59.15,,78.57,76.2
colon,47.31,,87.725,91.71
cortex of kidney,84.76,,72.36,95.845
endometrium,59.553999999999995,58.39,62.09,
frontal cortex,62.056666666666665,,78.866,73.945
heart,49.5725,,85.498,77.97999999999999
leukocyte,56.50666666666667,34.16,81.85,
lung,38.3,,90.57000000000001,95.34
lymph node,68.36,,67.18,97.49
muscle tissue,48.191428571428574,70.37333333333333,63.79,
pituitary gland,59.60666666666666,,86.366,83.89
skeletal muscle tissue,61.0475,,67.02333333333333,87.17
spleen,49.9625,,91.1590909090909,97.32
zone of skin,25.77,39.605000000000004,90.175,
Ammon's horn,62.18,,85.05625,
adenohypophysis,78.54,,86.815,
adipose tissue,60.99400000000001,,81.55666666666667,
adrenal gland,75.65,,87.64666666666666,
brain,45.81,,74.5025,
cerebellar cortex,,,84.755,88.108
dorsolateral prefrontal cortex,,,78.56666666666666,68.99000000000001
duodenum,55.95333333333334,,55.39,
esophagus,63.480000000000004,,87.97749999999999,
gall bladder,69.5,,65.97,
gluteus medius,83.025,44.89333333333334,,
hindlimb stylopod muscle,,,74.53999999999999,75.61
hypothalamus,51.166666666666664,,85.76125,
kidney,50.95,,90.165,
metanephros cortex,84.53,,86.45,
monocyte,72.44,,98.1,
myometrium,55.22,,79.17999999999999,
olfactory segment of nasal mucosa,24.85,,96.09,
omental fat pad,35.56,,87.84181818181818,
ovary,68.72333333333334,,77.37,
oviduct epithelium,39.64,70.4,,
placenta,52.379999999999995,,81.94,
prefrontal cortex,,,75.37142857142858,73.45454545454545
primary visual cortex,,,63.474999999999994,76.08500000000001
saliva-secreting gland,77.31,,85.43,
subcutaneous adipose tissue,50.827999999999996,,82.64999999999999,
superior frontal gyrus,,,60.650000000000006,76.62222222222222
temporal lobe,,,88.79,83.65
thyroid gland,63.36,,82.77461538461537,
triceps brachii,77.93,47.0,,
urinary bladder,65.58500000000001,,82.35833333333333,
uterine cervix,73.11,,88.6,
Brodmann (1909) area 10,,,,32.56
Brodmann (1909) area 9,,,83.81125,
C1 segment of cervical spinal cord,,,92.38333333333334,
abomasum,85.87666666666667,,,
adrenal tissue,,,92.50333333333333,
ampulla of uterine tube,68.07000000000001,,,
amygdala,,,85.22,
anterior cingulate cortex,,,81.83444444444444,
anterior segment of eyeball,83.89,,,
aorta,71.325,,,
apex of heart,,,94.17,
articular cartilage of joint,,45.93,,
ascending aorta,,,87.283,
ascending colon,69.92500000000001,,,
body of pancreas,,,78.46700000000001,
body of stomach,,,89.14818181818181,
body of uterus,,,76.396,
bone marrow cell,,,99.25,
brainstem,,58.64,,
caecum,54.22666666666667,,,
calcaneal tendon,,,97.256,
caput epididymis,72.86,,,
cardiac atrium,65.91,,,
cardiac ventricle,64.73,,,
caudate nucleus,,,85.13111111111112,
cerebellar hemisphere,,,84.78999999999999,
chorionic villus,,85.62,,
colonic epithelium,,,91.56,
conceptus,60.87,,,
corpus callosum,,,84.785,
corpus epididymis,72.87,,,
corpus luteum,86.225,,,
cortical plate,,,51.6,
cumulus cell,53.15,,,
descending colon,51.96333333333333,,,
descending thoracic aorta,,,90.7,
diaphragm,70.565,,,
digestive system secreted substance,65.8,,,
dorsal thalamus,58.58,,,
ectocervix,,,89.668,
embryo,,36.12,,
endocervix,,,88.49666666666667,
esophagogastric junction muscularis propria,,,88.70545454545454,
esophagus mucosa,,,88.30545454545455,
fallopian tube,,,80.95,
fibroblast,,,,85.71000000000001
floor plate of diencephalon,60.13,,,
fornix of vagina,89.125,,,
fundus of stomach,,,87.52250000000001,
ganglionic eminence,,,70.33,
