tissue,bos_taurus,equus_caballus,felis_catus,human,macaca_mulatta
testis,48.7625,42.20333333333333,79.07000000000001,47.2325,97.04
adult mammalian kidney,,38.28,51.11,66.4709090909091,86.03666666666668
liver,,42.92,82.265,66.07636363636364,91.80571428571429
multicellular organism,22.44,65.32,,62.75,78.94
prefrontal cortex,,36.42,12.69,44.974000000000004,68.9725
brain,,,93.995,51.86333333333334,67.4925
cerebellum,,82.508,,56.04,66.94800000000001
leukocyte,73.32,56.72,,66.59,
spleen,,,50.15,68.82090909090908,80.99000000000001
zone of skin,,57.955,33.5,63.715,
adipose tissue,,,,64.89999999999999,96.39
blood,,68.62,,83.72625000000001,
bone marrow,,81.49,,83.8,
cerebellar cortex,,,,52.55,73.75
cerebral cortex,,,,48.25,62.15
colon,,,,75.327,67.84
cortex of kidney,,,,62.19,89.32
dorsolateral prefrontal cortex,,,,50.6975,63.495
duodenum,24.15,,,41.72,
embryo,,51.99,46.89,,
endometrium,,47.16,,52.605000000000004,
frontal cortex,,,,47.019999999999996,70.24
heart,,,,72.94800000000001,81.55
hindlimb stylopod muscle,,,,67.44500000000001,84.37
ileum,18.91,,,,87.0
kidney,,,,90.8075,87.915
lung,,,,78.79285714285713,79.225
lymph node,43.09,,,50.565,
muscle tissue,,38.125,,64.74,
olfactory segment of nasal mucosa,,,,65.4,95.84
primary visual cortex,,,,61.18,72.97
skeletal muscle tissue,,,,56.27,83.755
subcutaneous adipose tissue,69.89,,,63.93,
superior frontal gyrus,,,,47.94,74.67
Ammon's horn,,,,55.035,
Brodmann (1909) area 9,,,,52.06625,
C1 segment of cervical spinal cord,,,,63.68222222222222,
adenohypophysis,,,,67.59833333333334,
adrenal gland,,,,72.58333333333333,
adrenal tissue,,,,94.41000000000001,
amygdala,,,,55.83428571428571,
anterior cingulate cortex,,,,52.69428571428572,
apex of heart,,,,55.56,
articular cartilage of joint,,57.67,,,
ascending aorta,,,,62.404999999999994,
body of pancreas,,,,59.760000000000005,
body of stomach,,,,61.36181818181819,
body of uterus,,,,63.688,
bone marrow cell,,,,99.21,
brainstem,,91.055,,,
caecum,23.2,,,,
calcaneal tendon,,,,99.582,
caudate nucleus,,,,53.43888888888889,
cerebellar hemisphere,,,,51.833333333333336,
chorionic villus,,67.68,,,
colonic epithelium,,,,97.04,
corpus callosum,,,,97.0825,
cumulus cell,69.39,,,,
descending colon,40.61,,,,
descending thoracic aorta,,,,61.15,
ectocervix,,,,73.144,
embryonic head,,,47.35,,
endocervix,,,,69.17333333333333,
epithelium of bronchus,,42.185,,,
esophagogastric junction muscularis propria,,,,64.77454545454545,
esophagus,,,,63.4125,
esophagus mucosa,,,,63.3,
eyeball of camera-type eye,,,30.37,,
fallopian tube,,,,54.78,
fibroblast,,,,,91.56
fundus of stomach,,,,62.95,
gall bladder,,,,41.34,
ganglionic eminence,,,,65.775,
gastrocnemius,,,,58.73090909090909,
gluteus medius,,59.0175,,,
granulocyte,,,,75.45,
heart left ventricle,,,,64.06,
hypothalamus,,,,52.8125,
inner cell mass,,91.46000000000001,,,
intestine,,,,89.3475,
islet of Langerhans,,,,55.12,
isthmus of fallopian tube,42.239999999999995,,,,
jejunum,20.04,,,,
left adrenal gland,,,,69.74875,
left adrenal gland cortex,,,,70.67125,
left coronary artery,,,,64.58777777777777,
left lobe of thyroid gland,,,,59.58818181818182,
left ovary,,,,70.468,
left testis,,,,47.04833333333334,
left uterine tube,,,,67.56,
longissimus muscle,97.56,,,,
lower esophagus,,,,62.585,
lower esophagus mucosa,,,,69.74,
lower esophagus muscularis layer,,,,63.21272727272728,
mesenteric lymph node,47.475,,,,
metanephros cortex,,,,54.815,
minor salivary gland,,,,58.24499999999999,
monocyte,,,,75.1,
mucosa of stomach,,,,69.95,
mucosa of transverse colon,,,,72.7,
