tissue,bos_taurus,canis_lupus_familiaris,felis_catus,human,pan_troglodytes,sus_scrofa
adult mammalian kidney,52.1375,34.79666666666667,41.535,63.73181818181818,75.075,53.36666666666667
liver,43.49,32.056666666666665,40.42,53.722,51.129999999999995,53.52
prefrontal cortex,37.34,53.14,44.1,84.11285714285714,81.34454545454545,57.32
spleen,53.726,48.875,31.63,79.5390909090909,68.39,73.79142857142857
testis,55.15,25.974999999999998,41.74,65.33375,70.625,62.17666666666667
cerebellum,50.61,50.615,,95.21999999999998,89.03999999999999,76.38666666666667
cerebral cortex,46.245000000000005,42.875,,83.08,80.33,94.01
frontal cortex,46.53666666666666,55.78666666666667,,82.81800000000001,81.16,67.21142857142857
heart,52.3275,31.509999999999998,,77.623,76.686,54.85
pituitary gland,55.22666666666667,73.68333333333334,,80.308,58.67,95.65
blood,56.3625,65.71,,81.006875,,69.23666666666666
brain,48.44,61.39,90.50999999999999,81.9825,,
colon,47.24,40.16,,72.10499999999999,,92.15
hypothalamus,41.805,28.35,,81.35125,,41.325
lung,48.48142857142857,35.00666666666667,,67.73857142857143,,62.755
lymph node,54.555,,,74.685,52.75,47.69
ovary,50.785,41.75,,77.035,,94.82333333333334
skeletal muscle tissue,53.965,40.375,,48.925,,69.56
adipose tissue,51.473333333333336,,,64.93666666666667,,71.24000000000001
bone marrow,59.58,,,78.26,69.23,
cortex of kidney,60.18,,,71.345,59.19499999999999,
duodenum,53.337500000000006,,,75.71,,94.01
heart left ventricle,,41.95,,82.88357142857144,,75.11
kidney,49.2,33.29,,66.07,,
metanephros cortex,60.41,,,61.644999999999996,,75.5
multicellular organism,51.92,,,74.59,72.94,
muscle tissue,48.62,,,52.13,,30.01
stomach,,47.269999999999996,,70.94833333333334,,92.515
subcutaneous adipose tissue,45.878181818181815,,,65.52,,51.339999999999996
temporal lobe,,90.67,,90.06,60.98,
thymus,61.55,86.74,,,94.11,
uterus,52.666666666666664,,48.35,,,75.39999999999999
zone of skin,43.57333333333333,34.822,,81.97,,
Ammon's horn,,,,82.97125,,61.38
adenohypophysis,53.519999999999996,,,76.87,,
adrenal gland,57.24,,,77.53333333333335,,
amygdala,,,,80.12125,,96.07
caecum,56.576666666666675,,,,,90.75
cerebellar cortex,,,,94.02,95.726,
corpus callosum,,,,75.555,,91.19
dorsolateral prefrontal cortex,,,,83.06727272727272,75.185,
endometrium,56.169999999999995,,,67.07,,
esophagus,48.980000000000004,,,76.0475,,
gall bladder,51.010000000000005,,,67.23,,
granulosa cell,63.53,,,,,57.06
hindlimb stylopod muscle,,,,64.64,56.019999999999996,
ileum,61.238,,,,,97.95500000000001
jejunum,56.4275,45.89,,,,
leukocyte,59.583000000000006,,,77.47,,
longissimus thoracis muscle,50.53875,,,,,55.58666666666667
mesenteric lymph node,51.535,,,,,95.56
monocyte,58.91,,,75.67,,
myometrium,50.415,,,72.36428571428571,,
occipital cortex,,44.42,,,,77.18
occipital lobe,44.42,91.46,,,,
olfactory segment of nasal mucosa,41.805,,,82.49,,
omental fat pad,46.73,,,72.72090909090909,,
pancreas,,65.03666666666666,,67.335,,
placenta,58.97,,,71.82,,
pons,55.265,,,,,89.36
primary visual cortex,,,,81.9,83.215,
renal medulla,57.675,38.55,,,,
right lobe of liver,,,,56.77375,,62.44
saliva-secreting gland,71.21000000000001,,,76.51,,
semimembranosus muscle,60.53,,,,,32.02
small intestine,,43.155,,70.11500000000001,,
superior frontal gyrus,,,,78.625,83.99222222222222,
thyroid gland,52.945,,,59.91692307692308,,
tongue,49.09,63.87,,,,
tonsil,,,,66.62666666666667,,96.95
urinary bladder,54.980000000000004,,,69.31833333333334,,
uterine cervix,63.495000000000005,,,76.69,,
Brodmann (1909) area 10,,,,,71.56,
Brodmann (1909) area 9,,,,83.3725,,
C1 segment of cervical spinal cord,,,,81.20666666666666,,
abdominal lymph node,61.88,,,,,
abomasum,53.04,,,,,
adrenal cortex,,34.349999999999994,,,,
adrenal tissue,,,,68.45333333333333,,
ampulla of uterine tube,45.03,,,,,
anterior cingulate cortex,,,,82.75777777777779,,
anterior segment of eyeball,53.72,,,,,
aorta,56.095,,,,,
apex of heart,,,,89.81,,
ascending aorta,,,,67.44300000000001,,
ascending colon,49.105000000000004,,,,,
body of pancreas,,,,65.702,,
