tissue,bos_taurus,canis_lupus_familiaris,cavia_porcellus,equus_caballus,felis_catus,heterocephalus_glaber,human,macaca_mulatta,mus_musculus,oryctolagus_cuniculus,pan_troglodytes,sus_scrofa
adult mammalian kidney,48.5175,34.24,,0.0,37.745,,51.8725,,,,,
liver,39.52,39.74666666666666,,0.0,56.58,,49.57125,,,,,
prefrontal cortex,0.0,0.0,,0.0,0.0,,38.86,,,,,
testis,60.165,0.0,,40.086666666666666,0.0,,32.8,,,,,
zone of skin,42.403333333333336,0.0,,0.0,28.2,,42.93,,,,,
blood,52.2425,40.09,,0.0,,,71.580625,,,,,
bone marrow,64.375,38.32,,88.72,,,64.32,,,,,
brain,41.4,0.0,,,96.09,,30.096666666666664,,,,,
cerebellum,0.0,0.0,,80.2925,,,0.0,,,,,
spleen,47.495000000000005,36.435,,,32.75,,48.408181818181816,,,,,
adipose tissue,46.542,0.0,,,,,40.02,,,,,
adrenal gland,55.46333333333333,37.97,,,,,42.080000000000005,,,,,
cerebral cortex,28.65,32.25,,,,,29.26,,,,,
colon,41.25,0.0,,,,,59.18333333333333,,,,,
endometrium,46.58833333333333,,,0.0,,,31.16,,,,,
frontal cortex,33.035,0.0,,,,,29.57333333333333,,,,,
heart,41.25666666666667,42.95,,,,,58.95875,,,,,
hypothalamus,0.0,0.0,,,,,36.92,,,,,
kidney,55.42,0.0,,,,,84.3325,,,,,
leukocyte,54.18300000000001,,,0.0,,,68.51,,,,,
lung,41.63,0.0,,,,,64.38714285714285,,,,,
lymph node,63.02,0.0,,,,,45.645,,,,,
metanephros cortex,49.71,0.0,,,,,42.74,,,,,
multicellular organism,47.32,,,38.92,,,40.13,,,,,
muscle tissue,41.196,,,32.09,,,0.0,,,,,
ovary,45.395,49.85,,,,,38.10333333333333,,,,,
pituitary gland,56.39833333333333,34.47,,,,,38.04375,,,,,
placenta,56.94499999999999,0.0,,,,,43.99,,,,,
retina,48.14,0.0,,0.0,,,,,,,,
saliva-secreting gland,57.665000000000006,0.0,,,,,44.55,,,,,
skeletal muscle tissue,46.4475,0.0,,,,,0.0,,,,,
thyroid gland,48.045,0.0,,,,,35.367777777777775,,,,,
urinary bladder,67.38,36.22,,,,,41.42,,,,,
Ammon's horn,0.0,,,,,,37.446,,,,,
adenohypophysis,47.985,,,,,,33.68,,,,,
cortex of kidney,50.01,,,,,,43.39,,,,,
duodenum,57.4375,,,,,,34.62,,,,,
embryo,,,,0.0,0.0,,,,,,,
esophagus,0.0,,,,,,44.975,,,,,
gall bladder,56.595,,,,,,44.46,,,,,
gluteus medius,0.0,,,26.08,,,,,,,,
granulocyte,,0.0,,,,,66.43,,,,,
heart left ventricle,,63.095,,,,,34.845,,,,,
jejunum,57.6975,36.57,,,,,,,,,,
mammary gland,43.70333333333334,0.0,,,,,,,,,,
monocyte,51.57,,,,,,48.98,,,,,
myometrium,0.0,,,,,,38.7125,,,,,
occipital lobe,0.0,35.56,,,,,,,,,,
olfactory segment of nasal mucosa,44.715,,,,,,45.33,,,,,
omental fat pad,30.725,,,,,,40.899,,,,,
oviduct epithelium,46.22,,,76.8,,,,,,,,
pancreas,,53.75,,,,,31.26,,,,,
prostate gland,0.0,,,,,,50.80125,,,,,
renal medulla,58.34,0.0,,,,,,,,,,
small intestine,,39.83,,,,,39.725,,,,,
smooth muscle tissue,,36.08,,,,,0.0,,,,,
spinal cord,,0.0,,52.90375,,,,,,,,
stomach,,41.96,,,,,66.8625,,,,,
subcutaneous adipose tissue,43.65888888888889,,,,,,33.11714285714286,,,,,
temporal lobe,,0.0,,,,,0.0,,,,,
thymus,61.08,0.0,,,,,,,,,,
tongue,39.225,55.95,,,,,,,,,,
triceps brachii,0.0,,,26.98,,,,,,,,
uterine cervix,59.885000000000005,,,,,,53.7,,,,,
uterus,39.60999999999999,,,,0.0,,,,,,,
Brodmann (1909) area 9,,,,,,,39.235,,,,,
C1 segment of cervical spinal cord,,,,,,,54.98125,,,,,
abdominal lymph node,54.57,,,,,,,,,,,
abomasum,53.91,,,,,,,,,,,
adrenal cortex,,38.83,,,,,,,,,,
adrenal tissue,,,,,,,91.91,,,,,
ampulla of uterine tube,49.3,,,,,,,,,,,
amygdala,,,,,,,30.68,,,,,
anterior cingulate cortex,,,,,,,29.63,,,,,
anterior segment of eyeball,60.94,,,,,,,,,,,
aorta,45.97,,,,,,,,,,,
apex of heart,,,,,,,0.0,,,,,
articular cartilage of joint,,,,0.0,,,,,,,,
ascending aorta,,,,,,,34.964,,,,,
ascending colon,0.0,,,,,,,,,,,
biceps femoris,0.0,,,,,,,,,,,
body of pancreas,,,,,,,34.50333333333333,,,,,
body of stomach,,,,,,,37.561,,,,,
body of uterus,,,,,,,38.24,,,,,
bone marrow cell,,,,,,,97.24,,,,,
brainstem,,,,57.71,,,,,,,,
caecum,68.17333333333333,,,,,,,,,,,
calcaneal tendon,,,,,,,85.762,,,,,
caput epididymis,53.01,,,,,,,,,,,
cardiac atrium,0.0,,,,,,,,,,,
cardiac muscle of left ventricle,,43.77,,,,,,,,,,
cardiac ventricle,45.57,,,,,,,,,,,
cartilage tissue,,0.0,,,,,,,,,,
caudate nucleus,,,,,,,34.02,,,,,
cerebellar cortex,,,,,,,0.0,,,,,
cerebellar hemisphere,,,,,,,0.0,,,,,
chorionic villus,,,,0.0,,,,,,,,
choroid plexus,0.0,,,,,,,,,,,
colonic epithelium,,,,,,,73.21,,,,,
conceptus,97.99,,,,,,,,,,,
corpus callosum,,,,,,,86.745,,,,,
corpus epididymis,72.82,,,,,,,,,,,
corpus luteum,0.0,,,,,,,,,,,
cortical plate,,,,,,,0.0,,,,,
cumulus cell,56.34,,,,,,,,,,,
descending colon,64.10333333333334,,,,,,,,,,,
descending thoracic aorta,,,,,,,44.26,,,,,
diaphragm,57.705,,,,,,,,,,,
digestive system secreted substance,48.42,,,,,,,,,,,
dorsal thalamus,42.67,,,,,,,,,,,
dorsolateral prefrontal cortex,,,,,,,34.123333333333335,,,,,
ectocervix,,,,,,,71.45,,,,,
embryonic head,,,,,0.0,,,,,,,
endocervix,,,,,,,56.665,,,,,
epithelium of bronchus,,,,0.0,,,,,,,,
esophagogastric junction muscularis propria,,,,,,,32.982,,,,,
esophagus mucosa,,,,,,,54.6109090909091,,,,,
eyeball of camera-type eye,,,,,31.53,,,,,,,
fallopian tube,,,,,,,26.66,,,,,
floor plate of diencephalon,0.0,,,,,,,,,,,
fornix of vagina,0.0,,,,,,,,,,,
fundus of stomach,,,,,,,50.01,,,,,
ganglionic eminence,,,,,,,57.155,,,,,
gastrocnemius,,,,,,,29.52,,,,,
gluteal muscle,45.96,,,,,,,,,,,
granulosa cell,52.25,,,,,,,,,,,
hair follicle,,0.0,,,,,,,,,,
head,,0.0,,,,,,,,,,
heart right ventricle,,0.0,,,,,,,,,,
hindlimb stylopod muscle,,,,,,,49.01,,,,,
ileocecal valve,63.52,,,,,,,,,,,
ileum,70.896,,,,,,,,,,,
infraspinatus muscle,0.0,,,,,,,,,,,
inner cell mass,,,,71.985,,,,,,,,
intercostal muscle,66.76,,,,,,,,,,,
intestine,,,,,,,81.9225,,,,,
intramuscular adipose tissue,42.27,,,,,,,,,,,
islet of Langerhans,,,,,,,37.2075,,,,,
isthmus of fallopian tube,50.485,,,,,,,,,,,
keratinocyte,,0.0,,,,,,,,,,
large intestine,,33.12,,,,,,,,,,
laryngeal cartilage,60.34,,,,,,,,,,,
left adrenal gland,,,,,,,41.9525,,,,,
left adrenal gland cortex,,,,,,,52.345,,,,,
left cardiac atrium,,0.0,,,,,,,,,,
left coronary artery,,,,,,,47.49666666666667,,,,,
left lobe of thyroid gland,,,,,,,34.3725,,,,,
left ovary,,,,,,,44.362,,,,,
left testis,,,,,,,27.444,,,,,
left uterine tube,,,,,,,0.0,,,,,
longissimus muscle,75.68666666666667,,,,,,,,,,,
longissimus thoracis muscle,42.68125,,,,,,,,,,,
lower esophagus,,,,,,,31.48,,,,,
lower esophagus mucosa,,,,,,,73.05,,,,,
lower esophagus muscularis layer,,,,,,,32.107777777777784,,,,,
male germ line stem cell (sensu Vertebrata) in testis,,,,,,,88.5,,,,,
mammary gland fat,54.44,,,,,,,,,,,
mesenteric lymph node,63.695,,,,,,,,,,,
midbrain,39.59,,,,,,,,,,,
milk,48.55,,,,,,,,,,,
minor salivary gland,,,,,,,49.06,,,,,
mitral valve,,68.25,,,,,,,,,,
mucosa of stomach,,,,,,,0.0,,,,,
mucosa of transverse colon,,,,,,,54.22,,,,,
mucosa of urinary bladder,,0.0,,,,,,,,,,
muscle layer of sigmoid colon,,,,,,,39.06777777777778,,,,,
muscle of leg,,,,,,,33.61,,,,,
nasal cavity mucosa,71.69999999999999,,,,,,,,,,,
