tissue,bos_taurus,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes
testis,57.11000000000001,37.18666666666667,30.849999999999998,67.59538461538462,65.14666666666666,70.935
adult mammalian kidney,48.50666666666666,,29.91,67.27333333333333,55.01,54.47
liver,44.873333333333335,,56.855000000000004,65.455,59.519999999999996,48.118
multicellular organism,41.33,39.95,,62.31,47.96,50.620000000000005
spleen,42.005,,43.11,71.3575,48.935,76.18
brain,37.85,,91.86500000000001,54.24578947368421,42.3675,
cerebellum,,94.955,,57.721666666666664,53.325,52.985
cerebral cortex,26.84,,,54.215555555555554,51.49,45.23
colon,32.6,,,73.280625,54.31,74.28
cortex of kidney,56.12,,,59.08,51.74,57.055
heart,31.070000000000004,,,70.76266666666668,51.076,64.47
lung,36.564,,,67.78714285714285,46.425,68.72
prefrontal cortex,,,25.91,59.29571428571428,46.1675,45.47
adipose tissue,41.81,,,52.031000000000006,63.92,
blood,51.0775,45.215,,76.65064516129033,,
bone marrow,,85.07,,74.065,,99.38
cerebellar cortex,,,,58.275,62.416666666666664,50.79600000000001
dorsolateral prefrontal cortex,,,,55.75214285714286,49.77,37.26
frontal cortex,,,,55.65,47.08,46.79
hindlimb stylopod muscle,,,,49.6,43.78,45.43
kidney,47.39,,,70.64333333333333,52.915,
lymph node,53.315,,,63.669999999999995,,81.6
olfactory segment of nasal mucosa,32.49,,,72.23,49.02,
oviduct epithelium,45.87,89.57,,71.705,,
pituitary gland,52.58166666666667,,,63.474545454545456,,68.83
primary visual cortex,,,,54.61,51.59,55.305
skeletal muscle tissue,46.88,,,,56.019999999999996,65.06
superior frontal gyrus,,,,44.345,40.82,44.3675
thymus,73.32,,,81.03,,99.55
zone of skin,43.25,21.825000000000003,,67.9809090909091,,
Ammon's horn,45.53,,,57.641999999999996,,
adenohypophysis,47.510000000000005,,,65.43666666666667,,
adrenal gland,52.01666666666667,,,74.29249999999999,,
duodenum,56.2325,,,66.95333333333333,,
endometrium,54.78,,,57.74400000000001,,
esophagus,49.345,,,66.75428571428571,,
fibroblast,,,,,61.2,63.435
gall bladder,52.9,,,58.84,,
leukocyte,57.62555555555556,,,75.54,,
mammary gland,51.92,,,46.98,,
metanephros cortex,56.06,,,72.92,,
muscle tissue,33.495,,,48.92,,
omental fat pad,43.035,,,62.39454545454546,,
ovary,40.7325,,,71.80636363636364,,
placenta,46.54,,,57.08,,
retina,48.7,52.45,,,,
saliva-secreting gland,53.1,,,63.612,,
spinal cord,,69.56875,,70.505,,
subcutaneous adipose tissue,37.847500000000004,,,46.63384615384616,,
temporal lobe,,,,50.041999999999994,,91.64
thyroid gland,43.23,,,70.20058823529412,,
triceps brachii,56.055,24.53,,,,
urinary bladder,50.265,,,59.75625,,
uterus,43.416666666666664,,,56.31,,
Brodmann (1909) area 10,,,,,,42.41
Brodmann (1909) area 9,,,,60.97625,,
C1 segment of cervical spinal cord,,,,79.9388888888889,,
abdominal lymph node,60.58,,,,,
abomasum,49.71666666666667,,,,,
adipose tissue of abdominal region,,,,59.674,,
adrenal cortex,,,,63.79,,
adrenal tissue,,,,96.38666666666667,,
amniotic fluid,,,,81.27,,
ampulla of uterine tube,48.585,,,,,
amygdala,,,,57.315,,
anatomical system,,,,71.19,,
anterior cingulate cortex,,,,56.64818181818182,,
aorta,,,,61.33,,
apex of heart,,,,72.62,,
ascending aorta,,,,63.227,,
body of pancreas,,,,45.53777777777778,,
body of stomach,,,,66.13818181818182,,
body of uterus,,,,56.574,,
bone marrow cell,,,,85.7,,
brainstem,,64.015,,,,
bronchial epithelial cell,,,,55.49,,
caecum,97.01,,,,,
calcaneal tendon,,,,96.9,,
caput epididymis,,,,89.62,,
cardiac atrium,,,,60.81,,
cardiac ventricle,,,,63.296666666666674,,
caudate nucleus,,,,60.42,,
central nervous system,,,,57.1,,
cerebellar hemisphere,,,,58.361000000000004,,
chorionic villus,,36.44,,,,
choroid plexus,77.98,,,,,
colonic epithelium,,,,79.61,,
colonic mucosa,,,,61.24666666666667,,
conceptus,98.31,,,,,
connective tissue,,,,51.83,,
coronary artery,,,,58.905,,
corpus callosum,,,,91.51666666666667,,
corpus epididymis,,,,78.07000000000001,,
cortical plate,,,,61.435,,
cumulus cell,59.6,,,,,
descending colon,97.11,,,,,
descending thoracic aorta,,,,61.18666666666667,,
diaphragm,48.599999999999994,,,,,
ectocervix,,,,71.65799999999999,,
embryo,,,40.76,,,
embryonic head,,,45.33,,,
endocervix,,,,66.1,,
esophagogastric junction muscularis propria,,,,61.36000000000001,,
esophagus mucosa,,,,73.85000000000001,,
eyeball of camera-type eye,,,37.53,,,
fallopian tube,,,,64.695,,
female reproductive system,,,,61.96,,
forebrain,,,,65.705,,
fundus of stomach,,,,63.675,,
ganglionic eminence,,,,71.905,,
gastrocnemius,,,,44.308461538461536,,
globus pallidus,,,,61.63,,
gluteal muscle,46.75,,,,,
granulocyte,,,,75.58,,
granulosa cell,50.5,,,,,
heart left ventricle,,,,69.77882352941177,,
hypothalamus,,,,61.237500000000004,,
ileocecal valve,40.66,,,,,
ileum,64.55,,,,,
infraspinatus muscle,52.760000000000005,,,,,
inner cell mass,,58.05,,,,
intercostal muscle,66.65,,,,,
intestine,,,,90.125,,
intramuscular adipose tissue,41.25,,,,,
islet of Langerhans,,,,61.824,,
isthmus of fallopian tube,49.25,,,,,
jejunal mucosa,,,,62.28,,
jejunum,52.333333333333336,,,,,
large intestine,,,,68.565,,
laryngeal cartilage,48.445,,,,,
left adrenal gland,,,,69.25,,
left adrenal gland cortex,,,,71.17375,,
left coronary artery,,,,64.53888888888889,,
left lobe of thyroid gland,,,,69.99545454545455,,
left ovary,,,,66.182,,
left testis,,,,63.833333333333336,,
left uterine tube,,,,49.92,,
longissimus muscle,75.06333333333333,,,,,
longissimus thoracis muscle,38.78142857142858,,,,,
lower esophagus,,,,61.82,,
lower esophagus mucosa,,,,87.2,,
lower esophagus muscularis layer,,,,60.5390909090909,,
male germ line stem cell (sensu Vertebrata) in testis,,,,92.19,,
material anatomical entity,,,,62.29,,
medial globus pallidus,,,,72.71333333333332,,
mesenteric lymph node,47.16,,,,,
midbrain,,,,53.68333333333334,,
milk,48.004999999999995,,,,,
minor salivary gland,,,,71.134,,
monocyte,,,,90.1,,
mononuclear cell,,,,89.16,,
mouth mucosa,,,,69.39,,
mucosa of stomach,,,,60.01,,
mucosa of transverse colon,,,,82.35,,
