gene_name,species_dir,species_name,ensembl_gene_id,tissue,cell_mean_score,cell_std_score,cell_n,cell_status,map_label,class,expression_score,agg_expression_score
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,Ammon's horn,88.26,0.0,1,present_gold,H2AJ:VGNC:83623,variant,88.26,88.26
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,abdominal lymph node,93.49,0.0,1,present_gold,H2AJ:VGNC:83623,variant,93.49,93.49
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,abomasum,95.34333333333336,0.0550757054728608,3,present_gold,H2AJ:VGNC:83623,variant,95.34333333333336,95.34333333333336
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,adenohypophysis,94.79,0.0565685424949225,2,present_gold,H2AJ:VGNC:83623,variant,94.79,94.79
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,adipose tissue,92.95,2.3081767696604145,6,present_gold,H2AJ:VGNC:83623,variant,92.95,92.95
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,adrenal gland,94.43,4.641993106414532,3,present_gold,H2AJ:VGNC:83623,variant,94.43,94.43
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,adult mammalian kidney,93.89,1.0078359654890932,4,present_gold,H2AJ:VGNC:83623,variant,93.89,93.89
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,ampulla of uterine tube,94.625,1.6051323932934702,2,present_gold,H2AJ:VGNC:83623,variant,94.625,94.625
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,anterior segment of eyeball,97.72,0.0,1,present_gold,H2AJ:VGNC:83623,variant,97.72,97.72
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,aorta,93.415,0.0212132034355972,2,present_gold,H2AJ:VGNC:83623,variant,93.415,93.415
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,ascending colon,95.43,0.0141421356237281,2,present_gold,H2AJ:VGNC:83623,variant,95.43,95.43
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,biceps femoris,79.60499999999999,0.0494974746830635,2,present_gold,H2AJ:VGNC:83623,variant,79.60499999999999,79.60499999999999
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,blood,97.2225,0.4311515588127518,4,present_gold,H2AJ:VGNC:83623,variant,97.2225,97.2225
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,bone marrow,91.895,0.0353553390593253,2,present_gold,H2AJ:VGNC:83623,variant,91.895,91.895
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,brain,90.61,0.0,1,present_gold,H2AJ:VGNC:83623,variant,90.61,90.61
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,caecum,93.78666666666668,3.253372609052539,3,present_gold,H2AJ:VGNC:83623,variant,93.78666666666668,93.78666666666668
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,caput epididymis,96.6,0.0,1,present_gold,H2AJ:VGNC:83623,variant,96.6,96.6
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,cardiac atrium,89.25,0.0707106781186507,2,present_gold,H2AJ:VGNC:83623,variant,89.25,89.25
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,cardiac ventricle,89.45,0.0,1,present_gold,H2AJ:VGNC:83623,variant,89.45,89.45
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,cerebellum,89.0,3.3866059705847102,3,present_gold,H2AJ:VGNC:83623,variant,89.0,89.0
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,cerebral cortex,90.62,0.1838477631085059,2,present_gold,H2AJ:VGNC:83623,variant,90.62,90.62
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,choroid plexus,94.65,0.0,1,present_gold,H2AJ:VGNC:83623,variant,94.65,94.65
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,colon,93.29,0.0,1,present_gold,H2AJ:VGNC:83623,variant,93.29,93.29
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,conceptus,95.43,0.0,1,present_gold,H2AJ:VGNC:83623,variant,95.43,95.43
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,corpus epididymis,96.56,0.0,1,present_gold,H2AJ:VGNC:83623,variant,96.56,96.56
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,corpus luteum,85.16999999999999,0.1414213562373115,2,present_gold,H2AJ:VGNC:83623,variant,85.16999999999999,85.16999999999999
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,cortex of kidney,96.23,0.0,1,present_gold,H2AJ:VGNC:83623,variant,96.23,96.23
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,cumulus cell,88.85,0.0,1,present_gold,H2AJ:VGNC:83623,variant,88.85,88.85
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,descending colon,93.09666666666664,1.9687644179366304,3,present_gold,H2AJ:VGNC:83623,variant,93.09666666666664,93.09666666666664
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,diaphragm,95.76,0.0141421356237281,2,present_gold,H2AJ:VGNC:83623,variant,95.76,95.76
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,digestive system secreted substance,97.68,0.0,1,present_gold,H2AJ:VGNC:83623,variant,97.68,97.68
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,dorsal thalamus,91.89,0.0,1,present_gold,H2AJ:VGNC:83623,variant,91.89,91.89
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,duodenum,95.2875,0.4762614828012014,4,present_gold,H2AJ:VGNC:83623,variant,95.2875,95.2875
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,endometrium,95.155,1.0474492827817474,6,present_gold,H2AJ:VGNC:83623,variant,95.155,95.155
H2AJ,bos_taurus,Bos taurus,ENSBTAG00000030503,esophagus,97.36,0.0,2,present_gold,H2AJ:VGNC:83623,variant,97.36,97.36
