tissue,bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa
adult mammalian kidney,93.89,87.70666666666666,92.75,93.47,93.00166666666667,95.74666666666667,95.24000000000001,97.28
liver,94.906875,92.74714285714286,72.72,78.885,93.15904761904761,96.14142857142858,96.81666666666666,97.355
prefrontal cortex,79.97,79.72,72.45,65.65,84.36625,76.245,74.81272727272727,84.5
testis,77.035,61.29777777777778,96.3275,57.99,91.19461538461539,99.53333333333335,99.815,72.0
cerebellum,89.0,79.1825,87.28200000000001,,80.753,76.49600000000001,74.21000000000001,85.26666666666667
spleen,95.172,90.49333333333334,,93.0,95.63666666666667,90.095,91.67,85.76428571428572
cerebral cortex,90.62,83.14500000000001,,,79.38333333333334,67.2,77.23,72.66
colon,93.29,92.155,,,94.08176470588236,92.38,87.67,92.025
frontal cortex,91.02,87.94333333333334,,,79.24166666666666,74.02,75.18,84.03142857142858
heart,87.3325,77.39666666666666,,,91.80333333333333,94.886,93.71799999999999,90.205
lung,94.69428571428571,89.69,,,89.01866666666666,90.035,90.1,89.2475
skeletal muscle tissue,90.72749999999999,91.89,,,81.93083333333333,88.405,87.0,86.565
adipose tissue,92.95,76.97,,,98.433125,98.51,,98.64
blood,97.2225,94.06,89.42333333333333,,90.41916666666667,,,92.36666666666667
bone marrow,91.89500000000001,94.41,95.66,,90.56230769230768,,94.99,
brain,90.61,83.375,,57.61,81.9045,75.92,,
kidney,95.61,91.58,,,80.67833333333333,95.555,,98.28
lymph node,95.715,77.865,,,92.42166666666667,,91.65,94.69
multicellular organism,93.32,,89.16,,92.58,85.91333333333334,81.32,
pituitary gland,95.74333333333334,96.83999999999999,,,88.48461538461538,,56.72,92.69
zone of skin,97.83666666666666,95.03428571428572,96.92,96.72,85.81428571428572,,,
Ammon's horn,88.26,,,,81.31454545454545,62.8,,86.14
cortex of kidney,96.23,,,,89.958,95.73,96.905,
hypothalamus,82.09666666666668,82.79,,,86.48333333333333,,,84.82
metanephros cortex,96.14,96.89,,,97.70500000000001,,,97.195
muscle tissue,84.12428571428572,,73.796,,79.78,,,84.28
ovary,92.99000000000001,97.85,,,85.0281818181818,,,98.75999999999999
thymus,95.4,94.4,,,92.905,,92.38,
uterus,94.39333333333333,,,87.23,91.555,,,91.07333333333334
adrenal gland,94.42999999999999,97.6,,,97.28,,,
caecum,93.78666666666668,,,,94.48666666666666,,,90.585
cerebellar cortex,,,,,81.36,79.62,77.75800000000001,
dorsolateral prefrontal cortex,,,,,76.4305,74.395,74.67,
duodenum,95.2875,,,,91.64333333333333,,,95.92
endometrium,95.15499999999999,,96.57,,91.746875,,,
heart left ventricle,,81.50999999999999,,,93.63058823529411,,,83.985
hindlimb stylopod muscle,,,,,93.425,89.31,90.515,
ileum,94.872,,,,,81.75,,93.57
jejunum,96.2975,95.75,,,91.005,,,
leukocyte,96.88363636363637,,92.44,,90.0,,,
mammary gland,94.7675,97.43,,,96.07,,,
occipital lobe,77.58,97.73,,,81.01,,,
olfactory segment of nasal mucosa,98.36500000000001,,,,99.01,98.76,,
oviduct epithelium,95.78,,95.77,,70.0,,,
placenta,95.91499999999999,96.01,,,88.935,,,
pons,95.19,,,,89.42,,,89.28
primary visual cortex,,,,,74.94833333333334,76.44,75.84,
renal medulla,95.83,98.02,,,92.09333333333332,,,
retina,95.21,91.26,94.43,,,,,
saliva-secreting gland,97.39,98.5,,,97.94,,,
spinal cord,,88.44,81.0325,,85.31555555555556,,,
stomach,,95.35,,,91.18666666666667,,,89.495
subcutaneous adipose tissue,93.61818181818181,,,,98.32684210526315,,,97.41000000000001
superior frontal gyrus,,,,,74.79,81.13,79.09222222222222,
temporal lobe,,96.79,,,81.02166666666666,,59.33,
thyroid gland,94.43,98.8,,,95.49764705882353,,,
tongue,91.48666666666666,93.18,,,93.15,,,
urinary bladder,95.91,93.22,,,96.39875,,,
adenohypophysis,94.78999999999999,,,,91.25833333333333,,,
adrenal cortex,,97.445,,,96.69333333333333,,,
amygdala,,,,,87.194,,,88.24000000000001
aorta,93.415,,,,98.735,,,
brainstem,,,64.51,,,,,86.66333333333334
caput epididymis,96.6,,,,94.87666666666667,,,
cardiac atrium,89.25,,,,95.50666666666666,,,
cardiac ventricle,89.45,,,,92.66666666666667,,,
cartilage tissue,,95.44,,,87.7,,,
corpus callosum,,,,,85.43545454545455,,,82.19
corpus epididymis,96.56,,,,95.75,,,
