gene_name,species_dir,species_name,ensembl_gene_id,tissue,cell_mean_score,cell_std_score,cell_n,cell_status,map_label,class,expression_score,agg_expression_score
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,adipose tissue,40.66,0.0,1,present_gold,H2AX:VGNC:83734,variant,40.66,40.66
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,adrenal cortex,70.745,1.520279579551071,2,present_gold,H2AX:VGNC:83734,variant,70.745,70.745
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,adrenal gland,60.725,1.2657211383239195,2,present_gold,H2AX:VGNC:83734,variant,60.725,60.725
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,adult mammalian kidney,68.99666666666666,6.967814100084281,3,present_gold,H2AX:VGNC:83734,variant,68.99666666666666,68.99666666666666
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,blood,96.53,0.0,1,present_gold,H2AX:VGNC:83734,variant,96.53,96.53
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,bone marrow,70.76,0.0,1,present_gold,H2AX:VGNC:83734,variant,70.76,70.76
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,brain,73.38499999999999,2.708218971944476,2,present_gold,H2AX:VGNC:83734,variant,73.38499999999999,73.38499999999999
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,cardiac muscle of left ventricle,46.92,0.0,1,present_gold,H2AX:VGNC:83734,variant,46.92,46.92
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,cartilage tissue,62.18,0.0,1,present_gold,H2AX:VGNC:83734,variant,62.18,62.18
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,cerebellum,66.5025,16.569016013833373,4,present_gold,H2AX:VGNC:83734,variant,66.5025,66.5025
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,cerebral cortex,62.79,9.489373003523468,2,present_gold,H2AX:VGNC:83734,variant,62.79,62.79
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,colon,63.38,14.057282809988562,2,present_gold,H2AX:VGNC:83734,variant,63.38,63.38
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,frontal cortex,78.18333333333334,1.3658818885003634,3,present_gold,H2AX:VGNC:83734,variant,78.18333333333334,78.18333333333334
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,granulocyte,87.0,0.0,1,present_gold,H2AX:VGNC:83734,variant,87.0,87.0
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,hair follicle,73.16,0.0,1,present_gold,H2AX:VGNC:83734,variant,73.16,73.16
