gene_name,species_dir,species_name,ensembl_gene_id,tissue,cell_mean_score,cell_std_score,cell_n,cell_status,map_label,class,expression_score,agg_expression_score
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,Ammon's horn,95.12,0.0,1,present_gold,H2AZ1:VGNC:83610,variant,95.12,95.12
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,abdominal lymph node,97.86,0.0,1,present_gold,H2AZ1:VGNC:83610,variant,97.86,97.86
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,abomasum,98.42333333333332,0.0057735026918992,3,present_gold,H2AZ1:VGNC:83610,variant,98.42333333333332,98.42333333333332
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,adenohypophysis,97.33,0.0282842712474562,2,present_gold,H2AZ1:VGNC:83610,variant,97.33,97.33
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,adipose tissue,93.18166666666669,1.744275398744896,6,present_gold,H2AZ1:VGNC:83610,variant,93.18166666666669,93.18166666666669
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,adrenal gland,98.07333333333334,0.793872365896009,3,present_gold,H2AZ1:VGNC:83610,variant,98.07333333333334,98.07333333333334
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,adult mammalian kidney,93.4825,1.6848813014571689,4,present_gold,H2AZ1:VGNC:83610,variant,93.4825,93.4825
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,ampulla of uterine tube,93.295,0.1484924240491806,2,present_gold,H2AZ1:VGNC:83610,variant,93.295,93.295
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,anterior segment of eyeball,98.38,0.0,1,present_gold,H2AZ1:VGNC:83610,variant,98.38,98.38
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,aorta,91.495,0.007071067811869,2,present_gold,H2AZ1:VGNC:83610,variant,91.495,91.495
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,ascending colon,94.65,0.0,2,present_gold,H2AZ1:VGNC:83610,variant,94.65,94.65
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,biceps femoris,92.25,0.0141421356237381,2,present_gold,H2AZ1:VGNC:83610,variant,92.25,92.25
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,blood,96.15,1.2202458768625282,4,present_gold,H2AZ1:VGNC:83610,variant,96.15,96.15
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,bone marrow,94.0,0.0141421356237381,2,present_gold,H2AZ1:VGNC:83610,variant,94.0,94.0
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,brain,94.69,0.0,1,present_gold,H2AZ1:VGNC:83610,variant,94.69,94.69
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,caecum,95.31333333333332,2.2372378803634887,3,present_gold,H2AZ1:VGNC:83610,variant,95.31333333333332,95.31333333333332
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,caput epididymis,96.73,0.0,1,present_gold,H2AZ1:VGNC:83610,variant,96.73,96.73
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,cardiac atrium,92.215,0.0212132034355972,2,present_gold,H2AZ1:VGNC:83610,variant,92.215,92.215
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,cardiac ventricle,89.16,0.0,1,present_gold,H2AZ1:VGNC:83610,variant,89.16,89.16
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,cerebellum,94.98666666666668,2.0125688394023524,3,present_gold,H2AZ1:VGNC:83610,variant,94.98666666666668,94.98666666666668
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,cerebral cortex,95.795,0.4030508652763273,2,present_gold,H2AZ1:VGNC:83610,variant,95.795,95.795
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,choroid plexus,88.91,0.0,1,present_gold,H2AZ1:VGNC:83610,variant,88.91,88.91
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,colon,95.35,0.0,1,present_gold,H2AZ1:VGNC:83610,variant,95.35,95.35
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,conceptus,97.77,0.0,1,present_gold,H2AZ1:VGNC:83610,variant,97.77,97.77
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,corpus epididymis,95.93,0.0,1,present_gold,H2AZ1:VGNC:83610,variant,95.93,95.93
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,corpus luteum,88.91999999999999,0.0565685424949225,2,present_gold,H2AZ1:VGNC:83610,variant,88.91999999999999,88.91999999999999
H2AZ1,bos_taurus,Bos taurus,ENSBTAG00000004428,cortex of kidney,93.47,0.0,1,present_gold,H2AZ1:VGNC:83610,variant,93.47,93.47
