gene_name,species_dir,species_name,ensembl_gene_id,tissue,expression_score,map_label,class,agg_expression_score
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,spermatocyte,98.15,H2AZ2:VGNC:83607,variant,98.15
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,spermatid,97.53,H2AZ2:VGNC:83607,variant,97.53
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,oocyte,97.52,H2AZ2:VGNC:83607,variant,97.52
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,granulosa cell,99.02,H2AZ2:VGNC:83607,variant,99.02
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,theca cell,98.71,H2AZ2:VGNC:83607,variant,98.71
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,monocyte,97.64,H2AZ2:VGNC:83607,variant,97.64
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,cumulus cell,97.75,H2AZ2:VGNC:83607,variant,97.75
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,leukocyte,99.02,H2AZ2:VGNC:83607,variant,98.52727272727272
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,leukocyte,97.13,H2AZ2:VGNC:83607,variant,98.52727272727272
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,leukocyte,98.93,H2AZ2:VGNC:83607,variant,98.52727272727272
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,leukocyte,99.03,H2AZ2:VGNC:83607,variant,98.52727272727272
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,leukocyte,97.71,H2AZ2:VGNC:83607,variant,98.52727272727272
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,leukocyte,99.0,H2AZ2:VGNC:83607,variant,98.52727272727272
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,leukocyte,99.02,H2AZ2:VGNC:83607,variant,98.52727272727272
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,leukocyte,97.12,H2AZ2:VGNC:83607,variant,98.52727272727272
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,leukocyte,99.07,H2AZ2:VGNC:83607,variant,98.52727272727272
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,leukocyte,98.73,H2AZ2:VGNC:83607,variant,98.52727272727272
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,leukocyte,99.04,H2AZ2:VGNC:83607,variant,98.52727272727272
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,neutrophil,93.79,H2AZ2:VGNC:83607,variant,93.79
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,uterine cervix,97.76,H2AZ2:VGNC:83607,variant,97.765
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,uterine cervix,97.77,H2AZ2:VGNC:83607,variant,97.765
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,pituitary gland,97.13,H2AZ2:VGNC:83607,variant,96.87833333333333
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,pituitary gland,97.2,H2AZ2:VGNC:83607,variant,96.87833333333333
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,pituitary gland,96.83,H2AZ2:VGNC:83607,variant,96.87833333333333
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,pituitary gland,96.6,H2AZ2:VGNC:83607,variant,96.87833333333333
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,pituitary gland,96.74,H2AZ2:VGNC:83607,variant,96.87833333333333
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,pituitary gland,96.77,H2AZ2:VGNC:83607,variant,96.87833333333333
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,zone of skin,96.82,H2AZ2:VGNC:83607,variant,97.41333333333334
H2AZ2,bos_taurus,Bos taurus,ENSBTAG00000016975,zone of skin,97.52,H2AZ2:VGNC:83607,variant,97.41333333333334
