tissue,bos_taurus,canis_lupus_familiaris,cavia_porcellus,equus_caballus,felis_catus,heterocephalus_glaber,human,macaca_mulatta,mus_musculus,oryctolagus_cuniculus,pan_troglodytes,sus_scrofa
adult mammalian kidney,95.5875,95.99333333333334,,97.0,96.545,,94.76866666666666,96.34333333333336,,,89.14999999999999,94.1825
liver,92.40375,91.80571428571427,,96.56,91.5,,94.34,92.2957142857143,,,86.47333333333334,89.56833333333333
prefrontal cortex,91.61,87.75,,95.04,94.84,,96.373,94.6975,,,87.19181818181818,83.66
testis,94.785,96.764,,98.99,97.02666666666669,,95.85769230769232,97.19333333333331,,,89.84,87.11333333333334
cerebellum,94.14666666666666,92.1425,,97.782,,,97.36117647058823,96.99,,,93.38,86.12666666666667
spleen,98.328,94.05,,,98.91,,96.385,95.165,,,84.4,93.67285714285715
cerebral cortex,94.375,88.97,,,,,96.916,94.89,,,86.95,85.79
colon,98.23,95.51,,,,,96.73777777777778,97.73,,,95.51,95.32
frontal cortex,95.0,91.17666666666666,,,,,96.39,92.55,,,85.93,83.55999999999999
heart,96.7225,95.94666666666669,,,,,97.665625,96.61,,,93.8,91.58166666666666
lung,97.19,96.6825,,,,,94.42571428571428,93.635,,,87.18,90.7825
skeletal muscle tissue,97.01,93.575,,,,,94.86117647058823,94.785,,,91.66,96.48
adipose tissue,96.37166666666668,91.97,,,,,96.25705882352942,86.4,,,,89.795
blood,98.785,96.26,,99.09,,,92.70025641025642,,,,,96.63
bone marrow,97.245,94.45,,99.15,,,94.06714285714284,,,,92.87,
brain,94.45,91.415,,,94.445,,96.12958333333334,94.595,,,,
kidney,96.86,92.62,,,,,96.60333333333334,94.695,,,,96.3
lymph node,98.76,95.175,,,,,94.67,,,,82.34,97.23
multicellular organism,97.08,,,98.82,,,95.77,96.01666666666668,,,87.57499999999999,
pituitary gland,96.87833333333332,93.39666666666666,,,,,93.9976923076923,,,,79.95,90.17
zone of skin,97.41333333333334,91.19,,98.27,98.4,,93.266,,,,,
Ammon's horn,95.83,,,,,,96.64833333333333,91.12,,,,90.65
cortex of kidney,96.24,,,,,,96.016,95.39,,,86.195,
hypothalamus,93.55333333333331,93.39,,,,,96.380625,,,,,92.265
metanephros cortex,96.29,90.73,,,,,95.13,,,,,95.22
muscle tissue,92.62142857142858,,,97.754,,,95.14,,,,,97.285
ovary,98.525,90.55,,,,,95.04636363636364,,,,,89.17
retina,98.18,93.21,,97.66,,,98.16,,,,,
thymus,99.4,98.92,,,,,93.8925,,,,93.12,
uterus,98.42666666666666,,,,98.86,,95.1,,,,,96.0
adrenal gland,98.65333333333332,91.85,,,,,96.545,,,,,
caecum,97.56333333333332,,,,,,95.06333333333332,,,,,95.175
cerebellar cortex,,,,,,,97.185,97.56,,,92.02,
dorsolateral prefrontal cortex,,,,,,,96.8725,95.97,,,89.72999999999999,
duodenum,98.2675,,,,,,92.1775,,,,,95.27
embryo,,,,99.05,99.26,,94.36428571428571,,,,,
endometrium,98.03166666666668,,,98.3,,,92.220625,,,,,
heart left ventricle,,92.37,,,,,97.52,,,,,92.725
hindlimb stylopod muscle,,,,,,,96.42,96.5,,,90.15,
ileum,98.614,,,,,,,91.02,,,,96.345
jejunum,98.4625,97.47,,,,,96.08,,,,,
leukocyte,98.52727272727272,,,99.03,,,98.13,,,,,
mammary gland,86.67,94.89,,,,,95.21333333333332,,,,,
occipital lobe,91.67,91.33,,,,,96.01333333333334,,,,,
olfactory segment of nasal mucosa,97.39,,,,,,96.21,96.0,,,,
oocyte,97.52,,,,,,0.0,,,,,84.95
oviduct epithelium,97.25,,,97.19,,,82.41333333333334,,,,,
placenta,96.63,95.96,,,,,87.945,,,,,
pons,95.375,,,,,,94.42,,,,,82.755
primary visual cortex,,,,,,,97.56222222222222,93.36,,,88.11,
renal medulla,96.49,92.14,,,,,96.03000000000002,,,,,
saliva-secreting gland,97.55,91.54,,,,,95.46,,,,,
spinal cord,,91.3,,96.715,,,97.038,,,,,
stomach,,93.875,,,,,96.60166666666667,,,,,94.945
subcutaneous adipose tissue,94.84363636363636,,,,,,95.45473684210526,,,,,94.00333333333332
superior frontal gyrus,,,,,,,96.5672,92.86,,,86.40444444444444,
temporal lobe,,92.74,,,,,96.2325,,,,88.16,
thyroid gland,97.245,93.15,,,,,95.95529411764706,,,,,
tongue,97.09666666666668,92.29,,,,,90.78,,,,,
triceps brachii,97.35,,,98.86,,,92.565,,,,,
urinary bladder,98.025,93.64,,,,,96.07625,,,,,
Brodmann (1909) area 10,,,,,,,93.72,,,,91.81,
adenohypophysis,97.57,,,,,,95.24333333333334,,,,,
adrenal cortex,,91.63,,,,,95.35666666666668,,,,,
amygdala,,,,,,,96.72923076923075,,,,,84.15
aorta,97.5,,,,,,96.63,,,,,
brainstem,,,,85.475,,,,,,,,81.11666666666666
caput epididymis,97.82,,,,,,93.40666666666668,,,,,
cardiac atrium,96.55,,,,,,97.28666666666668,,,,,
cardiac ventricle,97.07,,,,,,97.65,,,,,
cartilage tissue,,94.22,,,,,89.4,,,,,
corpus callosum,,,,,,,96.70166666666668,,,,,83.78999999999999
corpus epididymis,98.05,,,,,,90.68666666666668,,,,,
diaphragm,98.72,,,,,,94.87,,,,,
dorsal plus ventral thalamus,,,,,,,94.92142857142858,,,,,82.03999999999999
epithelium of bronchus,,,,98.365,,,91.83142857142856,,,,,
esophagus,97.52,,,,,,96.56142857142856,,,,,
fibroblast,,,,,,,,93.34,,,89.025,
forebrain,,,,,,,97.625,,,,,91.3
gall bladder,98.4,,,,,,96.4,,,,,
gluteal muscle,95.65,,,,,,96.82,,,,,
gluteus medius,96.44,,,96.345,,,,,,,,
granulocyte,,92.06,,,,,96.87,,,,,
granulosa cell,99.02,,,,,,,,,,,97.44
hair follicle,,94.15,,,,,87.695,,,,,
heart right ventricle,,91.86,,,,,97.85166666666667,,,,,
large intestine,,96.14,,,,,97.045,,,,,
longissimus thoracis muscle,96.21,,,,,,,,,,,95.7545
material anatomical entity,,,,,,,95.84,,,,,95.045
medulla oblongata,,,,,,,96.73,,,,,79.595
mesenteric lymph node,99.0,,,,,,,,,,,95.96
midbrain,94.92,,,,,,96.432,,,,,
monocyte,97.64,,,,,,96.87,,,,,
mucosa of urinary bladder,,93.62,,,,,88.63,,,,,
myometrium,98.25,,,,,,95.10636363636364,,,,,
nasal cavity mucosa,98.19,,,,,,94.57,,,,,
nasopharynx,99.1,,,,,,91.0,,,,,
occipital cortex,,91.49,,,,,,,,,,79.89333333333333
olfactory bulb,,92.3,,,,,88.33,,,,,
omental fat pad,90.175,,,,,,95.55909090909093,,,,,
pancreas,,93.78000000000002,,,,,96.03,,,,,
penis,,,,,,,93.08,,,,,94.07
prostate gland,96.76,,,,,,92.07777777777778,,,,,
right lobe of liver,,,,,,,94.77888888888889,,,,,88.12
semimembranosus muscle,96.74,,,,,,,,,,,97.185
small intestine,,96.18,,,,,96.605,,,,,
smooth muscle tissue,,93.0,,,,,97.59,,,,,
spermatid,97.53,,,,,,,97.18,,,,
spermatocyte,98.15,,,,,,,97.04,,,,
tonsil,,,,,,,94.00166666666668,,,,,96.13
trachea,96.345,,,,,,91.61666666666667,,,,,
urethra,97.925,,,,,,95.39,,,,,
uterine cervix,97.765,,,,,,90.574,,,,,
Brodmann (1909) area 23,,,,,,,96.77166666666666,,,,,
Brodmann (1909) area 46,,,,,,,97.378,,,,,
Brodmann (1909) area 9,,,,,,,96.495,,,,,
C1 segment of cervical spinal cord,,,,,,,97.00777777777778,,,,,
CA1 field of hippocampus,,,,,,,96.4175,,,,,
abdominal lymph node,98.84,,,,,,,,,,,
abomasum,98.61666666666667,,,,,,,,,,,
adipose tissue of abdominal region,,,,,,,95.185,,,,,
adrenal tissue,,,,,,,96.48666666666666,,,,,
adult organism,,,,,,,96.51,,,,,
amniotic fluid,,,,,,,92.74,,,,,
ampulla of uterine tube,96.705,,,,,,,,,,,
anatomical system,,,,,,,96.11333333333334,,,,,
anterior cingulate cortex,,,,,,,96.34,,,,,
anterior segment of eyeball,98.05,,,,,,,,,,,
apex of heart,,,,,,,96.73,,,,,
articular cartilage of joint,,,,96.31,,,,,,,,
ascending aorta,,,,,,,96.535,,,,,
ascending colon,98.63,,,,,,,,,,,
biceps brachii,,,,,,,96.44,,,,,
biceps femoris,96.975,,,,,,,,,,,
blood vessel layer,,,,,,,98.21,,,,,
body of pancreas,,,,,,,95.983,,,,,
body of stomach,,,,,,,96.63909090909092,,,,,
body of tongue,,,,,,,91.56333333333332,,,,,
body of uterus,,,,,,,96.244,,,,,
bone marrow cell,,,,,,,92.92333333333332,,,,,
bronchial epithelial cell,,,,,,,93.45952380952382,,,,,
bronchus,,,,,,,92.255,,,,,
buccal mucosa cell,,,,,,,0.0,,,,,
calcaneal tendon,,,,,,,97.56,,,,,
cardia of stomach,,,,,,,93.24,,,,,
cardiac muscle of left ventricle,,91.51,,,,,,,,,,
cardiac muscle of right atrium,,,,,,,96.1925,,,,,
cauda epididymis,,,,,,,93.59333333333332,,,,,
caudate nucleus,,,,,,,97.08631578947367,,,,,
central nervous system,,,,,,,96.6,,,,,
cerebellar hemisphere,,,,,,,97.3409090909091,,,,,
cerebellar vermis,,,,,,,89.14333333333333,,,,,
cervix epithelium,,,,,,,77.332,,,,,
cervix squamous epithelium,,,,,,,87.83,,,,,
chorionic villus,,,,97.58,,,,,,,,
choroid plexus,97.68,,,,,,,,,,,
choroid plexus epithelium,,,,,,,95.43,,,,,
cingulate cortex,,,,,,,86.92,,,,,
cochlea,,,,,,,57.32,,,,,
colonic epithelium,,,,,,,97.77,,,,,
colonic mucosa,,,,,,,93.30833333333334,,,,,
conceptus,96.52,,,,,,,,,,,
connective tissue,,,,,,,95.7,,,,,
coronary artery,,,,,,,96.12,,,,,
corpus luteum,96.38,,,,,,,,,,,
cortical plate,,,,,,,96.905,,,,,
cranial nerve II,,,,,,,98.78,,,,,
cumulus cell,97.75,,,,,,,,,,,
decidua,,,,,,,89.295,,,,,
deltoid,,,,,,,91.71625,,,,,
descending colon,97.76333333333334,,,,,,,,,,,
descending thoracic aorta,,,,,,,96.78000000000002,,,,,
digestive system secreted substance,98.1,,,,,,,,,,,
dorsal motor nucleus of vagus nerve,,,,,,,96.795,,,,,
dorsal root ganglion,,,,,,,94.79142857142855,,,,,
dorsal thalamus,98.45,,,,,,,,,,,
ectocervix,,,,,,,95.65,,,,,
embryonic head,,,,,99.39,,,,,,,
endocardial endothelium,,,,,,,,,,,,93.48
endocervix,,,,,,,96.16333333333334,,,,,
endometrium epithelium,,,,,,,98.8,,,,,
endothelial cell,,,,,,,97.75,,,,,
entorhinal cortex,,,,,,,95.12714285714286,,,,,
epididymis,,,,,,,,,,,,93.73
epithelial cell of pancreas,,,,,,,87.16,,,,,
epithelium of esophagus,,,,,,,83.56,,,,,
epithelium of mammary gland,,,,,,,95.95285714285714,,,,,
epithelium of nasopharynx,,,,,,,91.02,,,,,
esophagogastric junction muscularis propria,,,,,,,97.19272727272728,,,,,
esophagus mucosa,,,,,,,96.08363636363636,,,,,
esophagus squamous epithelium,,,,,,,83.76,,,,,
eye,,,,,,,95.27666666666669,,,,,
eyeball of camera-type eye,,,,,98.8,,,,,,,
fallopian tube,,,,,,,89.86,,,,,
female reproductive system,,,,,,,94.49,,,,,
floor plate of diencephalon,96.23,,,,,,,,,,,
forelimb bud,,,,,,,,,,,,98.69
fornix of vagina,97.37,,,,,,,,,,,
frontal lobe,,,,,,,96.3,,,,,
frontal pole,,,,,,,93.775,,,,,
