gene_name,species_dir,species_name,ensembl_gene_id,tissue,expression_score,map_label,class,agg_expression_score
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,spermatocyte,58.89,MACROH2A1:VGNC:83608,variant,58.89
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,spermatid,52.67,MACROH2A1:VGNC:83608,variant,52.67
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,oocyte,68.99,MACROH2A1:VGNC:83608,variant,68.99
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,granulosa cell,89.02,MACROH2A1:VGNC:83608,variant,89.02
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,theca cell,89.79,MACROH2A1:VGNC:83608,variant,89.79
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,monocyte,87.32,MACROH2A1:VGNC:83608,variant,87.32
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,cumulus cell,80.21,MACROH2A1:VGNC:83608,variant,80.21
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,leukocyte,92.44,MACROH2A1:VGNC:83608,variant,89.01181818181819
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,leukocyte,84.58,MACROH2A1:VGNC:83608,variant,89.01181818181819
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,leukocyte,88.18,MACROH2A1:VGNC:83608,variant,89.01181818181819
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,leukocyte,90.75,MACROH2A1:VGNC:83608,variant,89.01181818181819
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,leukocyte,88.03,MACROH2A1:VGNC:83608,variant,89.01181818181819
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,leukocyte,90.85,MACROH2A1:VGNC:83608,variant,89.01181818181819
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,leukocyte,90.87,MACROH2A1:VGNC:83608,variant,89.01181818181819
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,leukocyte,84.55,MACROH2A1:VGNC:83608,variant,89.01181818181819
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,leukocyte,89.04,MACROH2A1:VGNC:83608,variant,89.01181818181819
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,leukocyte,89.34,MACROH2A1:VGNC:83608,variant,89.01181818181819
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,leukocyte,90.5,MACROH2A1:VGNC:83608,variant,89.01181818181819
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,neutrophil,91.27,MACROH2A1:VGNC:83608,variant,91.27
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,uterine cervix,88.08,MACROH2A1:VGNC:83608,variant,88.07
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,uterine cervix,88.06,MACROH2A1:VGNC:83608,variant,88.07
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,pituitary gland,91.7,MACROH2A1:VGNC:83608,variant,93.35333333333334
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,pituitary gland,92.61,MACROH2A1:VGNC:83608,variant,93.35333333333334
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,pituitary gland,92.1,MACROH2A1:VGNC:83608,variant,93.35333333333334
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,pituitary gland,94.24,MACROH2A1:VGNC:83608,variant,93.35333333333334
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,pituitary gland,94.73,MACROH2A1:VGNC:83608,variant,93.35333333333334
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,pituitary gland,94.74,MACROH2A1:VGNC:83608,variant,93.35333333333334
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,zone of skin,90.39,MACROH2A1:VGNC:83608,variant,90.82666666666667
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,zone of skin,90.05,MACROH2A1:VGNC:83608,variant,90.82666666666667
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,zone of skin,92.04,MACROH2A1:VGNC:83608,variant,90.82666666666667
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,lymph node,90.34,MACROH2A1:VGNC:83608,variant,90.245
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,lymph node,90.15,MACROH2A1:VGNC:83608,variant,90.245
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,fornix of vagina,89.97,MACROH2A1:VGNC:83608,variant,89.96000000000001
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,fornix of vagina,89.95,MACROH2A1:VGNC:83608,variant,89.96000000000001
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,ureter,91.68,MACROH2A1:VGNC:83608,variant,91.67
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,ureter,91.66,MACROH2A1:VGNC:83608,variant,91.67
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,urethra,92.39,MACROH2A1:VGNC:83608,variant,92.39500000000001
