tissue,bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa
adult mammalian kidney,92.4525,95.15333333333332,92.47,93.04499999999999,94.45538461538462,96.18333333333334,89.96999999999998,93.8425
liver,83.904375,94.01142857142858,90.44,88.825,94.20565217391304,91.89857142857143,89.47333333333334,91.13499999999999
prefrontal cortex,86.41,93.9,92.87,92.5,96.13,96.2825,94.0281818181818,95.18
testis,72.01833333333333,88.313,80.1,79.10000000000001,94.39769230769231,80.36333333333333,84.88499999999999,83.94
cerebellum,89.93333333333334,96.715,93.988,,97.26352941176471,96.516,95.14750000000001,92.13333333333333
spleen,90.38,94.78333333333335,,94.77,97.69,97.815,85.24,95.62142857142858
cerebral cortex,89.815,94.525,,,96.46900000000001,93.26,93.49,91.25
colon,91.08,95.305,,,97.43055555555556,97.38,85.28,94.455
frontal cortex,90.08333333333333,94.10000000000001,,,95.45846153846153,94.42,93.485,93.96428571428571
heart,87.745,91.7,,,96.154,94.792,92.14399999999999,95.97833333333334
lung,88.85714285714286,95.5725,,,97.9531818181818,96.39,90.09,94.0075
skeletal muscle tissue,89.985,88.495,,,94.38058823529411,96.19999999999999,89.71,90.595
adipose tissue,86.75,90.33,,,96.91529411764705,95.55,,91.825
blood,89.61,95.09,94.55166666666666,,98.69128205128206,,,96.26333333333334
bone marrow,86.55000000000001,92.9,96.15,,99.0442857142857,,94.62,
brain,90.67,95.14,,93.785,96.52458333333334,95.89,,
kidney,92.97,94.22,,,94.64666666666666,95.87,,95.72
lymph node,90.245,92.77,,,97.60666666666667,,88.06,96.53
multicellular organism,89.53,,91.56,,96.67,95.89999999999999,92.38499999999999,
pituitary gland,93.35333333333334,97.64999999999999,,,97.82857142857142,,94.07,93.115
zone of skin,90.82666666666667,93.01142857142858,95.015,96.69,95.94066666666667,,,
Ammon's horn,91.3,,,,96.40375,93.38,,94.61
cortex of kidney,93.43,,,,95.056,96.07,92.02000000000001,
hypothalamus,89.38666666666666,95.43,,,96.50294117647059,,,96.055
metanephros cortex,93.37,94.11,,,96.60499999999999,,,92.245
muscle tissue,84.05571428571429,,88.47999999999999,,93.24,,,93.42500000000001
ovary,88.88,94.95,,,97.18181818181819,,,95.19333333333334
retina,94.39,95.65,94.84,,97.19,,,
thymus,94.0,98.15,,,98.9825,,94.07,
uterus,92.45333333333333,,,95.17,96.88,,,96.05
adrenal gland,90.61,95.045,,,96.9025,,,
caecum,90.32666666666667,,,,98.50666666666666,,,94.74
cerebellar cortex,,,,,97.24666666666667,97.07000000000001,95.32000000000001,
dorsolateral prefrontal cortex,,,,,96.32958333333333,95.235,92.61,
duodenum,90.9925,,,,98.125,,,93.13
embryo,,,97.21,97.56,98.555,,,
endometrium,91.10333333333334,,95.95,,97.76625,,,
heart left ventricle,,89.30666666666667,,,96.29529411764706,,,96.805
hindlimb stylopod muscle,,,,,95.565,95.85,92.41,
ileum,91.324,,,,,91.22,,93.595
jejunum,91.205,96.83,,,97.195,,,
