gene_name,species_dir,species_name,ensembl_gene_id,tissue,cell_mean_score,cell_std_score,cell_n,cell_status,map_label,class,expression_score,agg_expression_score
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,Ammon's horn,82.28,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,82.28,82.28
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,abdominal lymph node,46.85,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,46.85,46.85
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,abomasum,53.196666666666665,1.2776671449690409,3,present_gold,MACROH2A2:VGNC:55987,variant,53.196666666666665,53.196666666666665
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,adenohypophysis,84.005,0.0212132034355972,2,present_gold,MACROH2A2:VGNC:55987,variant,84.005,84.005
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,adipose tissue,62.29166666666666,5.726784147029349,6,present_gold,MACROH2A2:VGNC:55987,variant,62.29166666666666,62.29166666666666
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,adrenal gland,61.28,16.09941303277856,3,present_gold,MACROH2A2:VGNC:55987,variant,61.28,61.28
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,adult mammalian kidney,49.72,1.8891267824050348,4,present_gold,MACROH2A2:VGNC:55987,variant,49.72,49.72
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,ampulla of uterine tube,91.86,3.7759502115361663,2,present_gold,MACROH2A2:VGNC:55987,variant,91.86,91.86
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,anterior segment of eyeball,69.46,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,69.46,69.46
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,aorta,55.75,0.0,2,present_gold,MACROH2A2:VGNC:55987,variant,55.75,55.75
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,ascending colon,58.3,0.0,2,present_gold,MACROH2A2:VGNC:55987,variant,58.3,58.3
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,biceps femoris,60.345,0.007071067811864,2,present_gold,MACROH2A2:VGNC:55987,variant,60.345,60.345
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,blood,49.92,0.2246478726065904,4,present_gold,MACROH2A2:VGNC:55987,variant,49.92,49.92
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,bone marrow,65.765,0.007071067811859,2,present_gold,MACROH2A2:VGNC:55987,variant,65.765,65.765
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,brain,75.24,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,75.24,75.24
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,caecum,58.35666666666666,5.600333323413288,3,present_gold,MACROH2A2:VGNC:55987,variant,58.35666666666666,58.35666666666666
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,caput epididymis,77.54,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,77.54,77.54
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,cardiac atrium,68.19,0.0424264068711944,2,present_gold,MACROH2A2:VGNC:55987,variant,68.19,68.19
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,cardiac ventricle,57.88,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,57.88,57.88
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,cerebellum,74.18,6.096950057200728,3,present_gold,MACROH2A2:VGNC:55987,variant,74.18,74.18
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,cerebral cortex,71.295,3.203193718775061,2,present_gold,MACROH2A2:VGNC:55987,variant,71.295,71.295
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,choroid plexus,0.0,0.0,0,observed_zero,MACROH2A2:VGNC:55987,variant,0.0,0.0
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,colon,55.64,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,55.64,55.64
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,conceptus,56.06,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,56.06,56.06
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,corpus epididymis,79.02,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,79.02,79.02
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,corpus luteum,59.11,0.0141421356237281,2,present_gold,MACROH2A2:VGNC:55987,variant,59.11,59.11
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,cortex of kidney,55.48,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,55.48,55.48
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,cumulus cell,63.01,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,63.01,63.01
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,descending colon,52.92666666666667,4.058772392403069,3,present_gold,MACROH2A2:VGNC:55987,variant,52.92666666666667,52.92666666666667
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,diaphragm,74.85,0.0,2,present_gold,MACROH2A2:VGNC:55987,variant,74.85,74.85
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,digestive system secreted substance,67.71,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,67.71,67.71
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,dorsal thalamus,79.38,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,79.38,79.38
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,duodenum,53.3675,2.875869433753905,4,present_gold,MACROH2A2:VGNC:55987,variant,53.3675,53.3675
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,endometrium,74.25333333333333,7.59619553899626,6,present_gold,MACROH2A2:VGNC:55987,variant,74.25333333333333,74.25333333333333
