gene_name,canonical_gene_name,species_dir,species_name,ensembl_gene_id,map_label,class,present_gold_path,map_path,tissue_count,row_count
H2AB1,H2AB1,human,Homo sapiens,ENSG00000274183,H2AB1:HGNC:22516,variant,CURATED_SET/BioAnalyze/data/processed/homo_sapiens/Homo_sapiens_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/homo_sapiens/h2a_hs_canonical_variant_map.tsv,112,426
H2AB1,H2AB1,macaca_mulatta,Macaca mulatta,ENSMMUG00000059127,H2AB1:VGNC:109669,variant,CURATED_SET/BioAnalyze/data/processed/macaca_mulatta/macaca_mulatta_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/macaca_mulatta/macaca_mulatta_h2a_canonical_variant_map.tsv,20,40
H2AB2,H2AB2,felis_catus,Felis catus,ENSFCAG00000044576,H2AB2:VGNC:109866,variant,CURATED_SET/BioAnalyze/data/processed/felis_catus/felis_catus_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/felis_catus/felis_catus_h2a_canonical_variant_map.tsv,9,11
H2AB2,H2AB2,human,Homo sapiens,ENSG00000277858,H2AB2:HGNC:18298,variant,CURATED_SET/BioAnalyze/data/processed/homo_sapiens/Homo_sapiens_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/homo_sapiens/h2a_hs_canonical_variant_map.tsv,107,498
H2AB2,H2AB2,macaca_mulatta,Macaca mulatta,ENSMMUG00000055745,H2AB2:VGNC:109668,variant,CURATED_SET/BioAnalyze/data/processed/macaca_mulatta/macaca_mulatta_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/macaca_mulatta/macaca_mulatta_h2a_canonical_variant_map.tsv,20,40
H2AB3,H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,H2AB3:VGNC:83789,variant,CURATED_SET/BioAnalyze/data/processed/equus_caballus/equus_caballus_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/equus_caballus/equus_caballus_h2a_canonical_variant_map.tsv,6,9
H2AB3,H2AB3,felis_catus,Felis catus,ENSFCAG00000044965,H2AB3:VGNC:109868,variant,CURATED_SET/BioAnalyze/data/processed/felis_catus/felis_catus_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/felis_catus/felis_catus_h2a_canonical_variant_map.tsv,5,7
H2AB3,H2AB3,human,Homo sapiens,ENSG00000277745,H2AB3:HGNC:14455,variant,CURATED_SET/BioAnalyze/data/processed/homo_sapiens/Homo_sapiens_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/homo_sapiens/h2a_hs_canonical_variant_map.tsv,101,488
H2AC1,H2AC1,bos_taurus,Bos taurus,ENSBTAG00000046992,H2AC1:VGNC:83545,clustered,CURATED_SET/BioAnalyze/data/processed/bos_taurus/bos_taurus_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/bos_taurus/bos_taurus_h2a_canonical_variant_map.tsv,6,11
H2AC1,H2AC1,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000024315,H2AC1:VGNC:83710,clustered,CURATED_SET/BioAnalyze/data/processed/canis_lupus_familiaris/canis_lupus_familiaris_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/canis_lupus_familiaris/canis_lupus_familiaris_h2a_canonical_variant_map.tsv,7,7
H2AC1,H2AC1,felis_catus,Felis catus,ENSFCAG00000027552,H2AC1:VGNC:109870,clustered,CURATED_SET/BioAnalyze/data/processed/felis_catus/felis_catus_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/felis_catus/felis_catus_h2a_canonical_variant_map.tsv,4,6
H2AC1,H2AC1,human,Homo sapiens,ENSG00000164508,H2AC1:HGNC:18729,clustered,CURATED_SET/BioAnalyze/data/processed/homo_sapiens/Homo_sapiens_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/homo_sapiens/h2a_hs_canonical_variant_map.tsv,17,50
H2AC1,H2AC1,macaca_mulatta,Macaca mulatta,ENSMMUG00000039988,H2AC1:VGNC:109672,clustered,CURATED_SET/BioAnalyze/data/processed/macaca_mulatta/macaca_mulatta_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/macaca_mulatta/macaca_mulatta_h2a_canonical_variant_map.tsv,8,15
H2AC1,H2AC1,pan_troglodytes,Pan troglodytes,ENSPTRG00000017789,H2AC1:VGNC:14358,clustered,CURATED_SET/BioAnalyze/data/processed/pan_troglodytes/pan_troglodytes_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/pan_troglodytes/pan_troglodytes_h2a_canonical_variant_map.tsv,4,5
H2AC10,H2AC10,bos_taurus,Bos taurus,ENSBTAG00000052895,H2AC10:VGNC:83576,clustered,CURATED_SET/BioAnalyze/data/processed/bos_taurus/bos_taurus_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/bos_taurus/bos_taurus_h2a_canonical_variant_map.tsv,57,108
H2AC10,H2AC10,felis_catus,Felis catus,ENSFCAG00000044530,H2AC10:VGNC:109876,clustered,CURATED_SET/BioAnalyze/data/processed/felis_catus/felis_catus_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/felis_catus/felis_catus_h2a_canonical_variant_map.tsv,7,8
H2AC11,H2AC11,bos_taurus,Bos taurus,ENSBTAG00000048599,H2AC11:VGNC:83577,clustered,CURATED_SET/BioAnalyze/data/processed/bos_taurus/bos_taurus_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/bos_taurus/bos_taurus_h2a_canonical_variant_map.tsv,53,96
H2AC11,H2AC11,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000030507,H2AC11:VGNC:83722,clustered,CURATED_SET/BioAnalyze/data/processed/canis_lupus_familiaris/canis_lupus_familiaris_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/canis_lupus_familiaris/canis_lupus_familiaris_h2a_canonical_variant_map.tsv,49,84
H2AC11,H2AC11,equus_caballus,Equus caballus,ENSECAG00000041373,H2AC11:VGNC:83790,clustered,CURATED_SET/BioAnalyze/data/processed/equus_caballus/equus_caballus_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/equus_caballus/equus_caballus_h2a_canonical_variant_map.tsv,20,50
H2AC11,H2AC11,human,Homo sapiens,ENSG00000196787,H2AC11:HGNC:4737,clustered,CURATED_SET/BioAnalyze/data/processed/homo_sapiens/Homo_sapiens_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/homo_sapiens/h2a_hs_canonical_variant_map.tsv,145,668
H2AC11,H2AC11,macaca_mulatta,Macaca mulatta,ENSMMUG00000052414,H2AC11:VGNC:109681,clustered,CURATED_SET/BioAnalyze/data/processed/macaca_mulatta/macaca_mulatta_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/macaca_mulatta/macaca_mulatta_h2a_canonical_variant_map.tsv,16,34
H2AC11,H2AC11,sus_scrofa,Sus scrofa,ENSSSCG00000033451,H2AC11:VGNC:109787,clustered,CURATED_SET/BioAnalyze/data/processed/sus_scrofa/sus_scrofa_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/sus_scrofa/sus_scrofa_h2a_canonical_variant_map.tsv,31,59
H2AC12,H2AC12,bos_taurus,Bos taurus,ENSBTAG00000054548,H2AC12:VGNC:83580,clustered,CURATED_SET/BioAnalyze/data/processed/bos_taurus/bos_taurus_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/bos_taurus/bos_taurus_h2a_canonical_variant_map.tsv,117,282
H2AC12,H2AC12,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000049775,H2AC12:VGNC:83725,clustered,CURATED_SET/BioAnalyze/data/processed/canis_lupus_familiaris/canis_lupus_familiaris_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/canis_lupus_familiaris/canis_lupus_familiaris_h2a_canonical_variant_map.tsv,27,33
H2AC12,H2AC12,equus_caballus,Equus caballus,ENSECAG00000042371,H2AC12:VGNC:83791,clustered,CURATED_SET/BioAnalyze/data/processed/equus_caballus/equus_caballus_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/equus_caballus/equus_caballus_h2a_canonical_variant_map.tsv,15,27
H2AC12,H2AC12,human,Homo sapiens,ENSG00000274997,H2AC12:HGNC:13671,clustered,CURATED_SET/BioAnalyze/data/processed/homo_sapiens/Homo_sapiens_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/homo_sapiens/h2a_hs_canonical_variant_map.tsv,109,373
H2AC12,H2AC12,macaca_mulatta,Macaca mulatta,ENSMMUG00000061750,H2AC12:VGNC:109682,clustered,CURATED_SET/BioAnalyze/data/processed/macaca_mulatta/macaca_mulatta_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/macaca_mulatta/macaca_mulatta_h2a_canonical_variant_map.tsv,7,14
H2AC12,H2AC12,sus_scrofa,Sus scrofa,ENSSSCG00000047716,H2AC12:VGNC:109792,clustered,CURATED_SET/BioAnalyze/data/processed/sus_scrofa/sus_scrofa_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/sus_scrofa/sus_scrofa_h2a_canonical_variant_map.tsv,1,1
H2AC13,H2AC13,bos_taurus,Bos taurus,ENSBTAG00000046373,H2AC13:VGNC:109559,clustered,CURATED_SET/BioAnalyze/data/processed/bos_taurus/bos_taurus_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/bos_taurus/bos_taurus_h2a_canonical_variant_map.tsv,120,293
H2AC13,H2AC13,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000029759,H2AC13:VGNC:83724,clustered,CURATED_SET/BioAnalyze/data/processed/canis_lupus_familiaris/canis_lupus_familiaris_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/canis_lupus_familiaris/canis_lupus_familiaris_h2a_canonical_variant_map.tsv,19,31
H2AC13,H2AC13,equus_caballus,Equus caballus,ENSECAG00000043633,H2AC13:VGNC:83793,clustered,CURATED_SET/BioAnalyze/data/processed/equus_caballus/equus_caballus_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/equus_caballus/equus_caballus_h2a_canonical_variant_map.tsv,20,46
H2AC13,H2AC13,felis_catus,Felis catus,ENSFCAG00000051396,H2AC13:VGNC:109879,clustered,CURATED_SET/BioAnalyze/data/processed/felis_catus/felis_catus_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/felis_catus/felis_catus_h2a_canonical_variant_map.tsv,12,16
H2AC13,H2AC13,human,Homo sapiens,ENSG00000196747,H2AC13:HGNC:4725,clustered,CURATED_SET/BioAnalyze/data/processed/homo_sapiens/Homo_sapiens_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/homo_sapiens/h2a_hs_canonical_variant_map.tsv,118,433
H2AC13,H2AC13,macaca_mulatta,Macaca mulatta,ENSMMUG00000055788,H2AC13:VGNC:109680,clustered,CURATED_SET/BioAnalyze/data/processed/macaca_mulatta/macaca_mulatta_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/macaca_mulatta/macaca_mulatta_h2a_canonical_variant_map.tsv,14,29
H2AC14,H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,H2AC14:VGNC:83584,clustered,CURATED_SET/BioAnalyze/data/processed/bos_taurus/bos_taurus_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/bos_taurus/bos_taurus_h2a_canonical_variant_map.tsv,85,188
H2AC14,H2AC14,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000029078,H2AC14:VGNC:83742,clustered,CURATED_SET/BioAnalyze/data/processed/canis_lupus_familiaris/canis_lupus_familiaris_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/canis_lupus_familiaris/canis_lupus_familiaris_h2a_canonical_variant_map.tsv,14,22
H2AC14,H2AC14,felis_catus,Felis catus,ENSFCAG00000040930,H2AC14:VGNC:109883,clustered,CURATED_SET/BioAnalyze/data/processed/felis_catus/felis_catus_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/felis_catus/felis_catus_h2a_canonical_variant_map.tsv,6,6
H2AC14,H2AC14,human,Homo sapiens,ENSG00000276368,H2AC14:HGNC:4727,clustered,CURATED_SET/BioAnalyze/data/processed/homo_sapiens/Homo_sapiens_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/homo_sapiens/h2a_hs_canonical_variant_map.tsv,88,251
H2AC14,H2AC14,macaca_mulatta,Macaca mulatta,ENSMMUG00000052150,H2AC14:VGNC:109685,clustered,CURATED_SET/BioAnalyze/data/processed/macaca_mulatta/macaca_mulatta_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/macaca_mulatta/macaca_mulatta_h2a_canonical_variant_map.tsv,11,27
H2AC14,H2AC14,pan_troglodytes,Pan troglodytes,ENSPTRG00000045889,H2AC14:VGNC:83658,clustered,CURATED_SET/BioAnalyze/data/processed/pan_troglodytes/pan_troglodytes_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/pan_troglodytes/pan_troglodytes_h2a_canonical_variant_map.tsv,15,23
H2AC14,H2AC14,sus_scrofa,Sus scrofa,ENSSSCG00000032609,H2AC14:VGNC:109791,clustered,CURATED_SET/BioAnalyze/data/processed/sus_scrofa/sus_scrofa_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/sus_scrofa/sus_scrofa_h2a_canonical_variant_map.tsv,39,74
H2AC15,H2AC15,bos_taurus,Bos taurus,ENSBTAG00000053621,H2AC15:VGNC:83586,clustered,CURATED_SET/BioAnalyze/data/processed/bos_taurus/bos_taurus_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/bos_taurus/bos_taurus_h2a_canonical_variant_map.tsv,38,74
H2AC15,H2AC15,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000044066,H2AC15:VGNC:83759,clustered,CURATED_SET/BioAnalyze/data/processed/canis_lupus_familiaris/canis_lupus_familiaris_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/canis_lupus_familiaris/canis_lupus_familiaris_h2a_canonical_variant_map.tsv,30,40
H2AC15,H2AC15,felis_catus,Felis catus,ENSFCAG00000043173,H2AC15:VGNC:109881,clustered,CURATED_SET/BioAnalyze/data/processed/felis_catus/felis_catus_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/felis_catus/felis_catus_h2a_canonical_variant_map.tsv,6,7
H2AC15,H2AC15,human,Homo sapiens,ENSG00000275221,H2AC15:HGNC:4726,clustered,CURATED_SET/BioAnalyze/data/processed/homo_sapiens/Homo_sapiens_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/homo_sapiens/h2a_hs_canonical_variant_map.tsv,142,725
H2AC15,H2AC15,macaca_mulatta,Macaca mulatta,ENSMMUG00000042665,H2AC15:VGNC:109683,clustered,CURATED_SET/BioAnalyze/data/processed/macaca_mulatta/macaca_mulatta_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/macaca_mulatta/macaca_mulatta_h2a_canonical_variant_map.tsv,17,35
H2AC16,H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,H2AC16:VGNC:83727,clustered,CURATED_SET/BioAnalyze/data/processed/canis_lupus_familiaris/canis_lupus_familiaris_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/canis_lupus_familiaris/canis_lupus_familiaris_h2a_canonical_variant_map.tsv,18,19
H2AC16,H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,H2AC16:VGNC:83794,clustered,CURATED_SET/BioAnalyze/data/processed/equus_caballus/equus_caballus_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/equus_caballus/equus_caballus_h2a_canonical_variant_map.tsv,18,32
H2AC16,H2AC16,human,Homo sapiens,ENSG00000276903,H2AC16:HGNC:4730,clustered,CURATED_SET/BioAnalyze/data/processed/homo_sapiens/Homo_sapiens_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/homo_sapiens/h2a_hs_canonical_variant_map.tsv,102,311
H2AC16,H2AC16,macaca_mulatta,Macaca mulatta,ENSMMUG00000062046,H2AC16:VGNC:109684,clustered,CURATED_SET/BioAnalyze/data/processed/macaca_mulatta/macaca_mulatta_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/macaca_mulatta/macaca_mulatta_h2a_canonical_variant_map.tsv,5,12
H2AC17,H2AC17,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028830,H2AC17:VGNC:83730,clustered,CURATED_SET/BioAnalyze/data/processed/canis_lupus_familiaris/canis_lupus_familiaris_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/canis_lupus_familiaris/canis_lupus_familiaris_h2a_canonical_variant_map.tsv,52,96
H2AC17,H2AC17,equus_caballus,Equus caballus,ENSECAG00000036162,H2AC17:VGNC:83798,clustered,CURATED_SET/BioAnalyze/data/processed/equus_caballus/equus_caballus_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/equus_caballus/equus_caballus_h2a_canonical_variant_map.tsv,17,31
H2AC17,H2AC17,felis_catus,Felis catus,ENSFCAG00000044591,H2AC17:VGNC:109884,clustered,CURATED_SET/BioAnalyze/data/processed/felis_catus/felis_catus_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/felis_catus/felis_catus_h2a_canonical_variant_map.tsv,10,14
H2AC17,H2AC17,human,Homo sapiens,ENSG00000278677,H2AC17:HGNC:4735,clustered,CURATED_SET/BioAnalyze/data/processed/homo_sapiens/Homo_sapiens_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/homo_sapiens/h2a_hs_canonical_variant_map.tsv,115,493
H2AC17,H2AC17,macaca_mulatta,Macaca mulatta,ENSMMUG00000049519,H2AC17:VGNC:109686,clustered,CURATED_SET/BioAnalyze/data/processed/macaca_mulatta/macaca_mulatta_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/macaca_mulatta/macaca_mulatta_h2a_canonical_variant_map.tsv,7,14
H2AC17,H2AC17,sus_scrofa,Sus scrofa,ENSSSCG00000046222,H2AC17:VGNC:109794,clustered,CURATED_SET/BioAnalyze/data/processed/sus_scrofa/sus_scrofa_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/sus_scrofa/sus_scrofa_h2a_canonical_variant_map.tsv,34,63
H2AC18,H2AC18,bos_taurus,Bos taurus,ENSBTAG00000038476,H2AC18:VGNC:83599,clustered,CURATED_SET/BioAnalyze/data/processed/bos_taurus/bos_taurus_expr_advanced_H2A_present_gold.tsv,CURATED_SET/BioAnalyze/data/processed/bos_taurus/bos_taurus_h2a_canonical_variant_map.tsv,126,314
