category	logical_name	source_path	copied_to	sha256	mtime	records	sites	note
grant	02_06 File_for_alignment_outgroup.ipynb	C:\Users\USER\Documents\Работа над грантом HistoneJ\02_06 File_for_alignment_outgroup.ipynb	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\tree\grant\02_06 File_for_alignment_outgroup.ipynb	f4b8535e7132fbe72667677d3ead30f36b364477340bbcca689b40716d25c294	2026-03-29T20:43:45			Notebook with cH2A extraction, PHYLIP conversion, and rooting logic.
grant	07_07 Фильтруем нуклеотиды из BLAST.ipynb	C:\Users\USER\Documents\Работа над грантом HistoneJ\07_07 Фильтруем нуклеотиды из BLAST.ipynb	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\tree\grant\07_07 Фильтруем нуклеотиды из BLAST.ipynb	c87420b340f130919b2801fbe764108bdfec687900697244ffb674623c615b23	2026-03-29T20:43:45			Notebook for July cleanup of BLAST-derived nucleotide hits.
grant	15_05 BLAST N .ipynb	C:\Users\USER\Documents\Работа над грантом HistoneJ\15_05 BLAST N .ipynb	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\tree\grant\15_05 BLAST N .ipynb	cd879e362af1d5dd4cc22e5e23cf3ffb81d432a153a6de22075d22618aefadcf	2026-03-29T20:43:45			Key notebook showing BLAST-HSP fragment handling for nucleotide hits.
grant	BLAST .ipynb	C:\Users\USER\Documents\Работа над грантом HistoneJ\BLAST .ipynb	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\tree\grant\BLAST .ipynb	6cb0fb091070f9502507256169d413d9a03ca6017b5c253273d34a402267e99f	2026-03-29T20:43:45			Earlier BLAST screening notebook.
grant	Optimize tree 11_06.ipynb	C:\Users\USER\Documents\Работа над грантом HistoneJ\Optimize tree 11_06.ipynb	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\tree\grant\Optimize tree 11_06.ipynb	15acf0873357ad2518e37dff9434f88048c44694753f9821de99b953f60eacd5	2026-03-29T20:43:45			Tree optimization notebook from the mammal/nonplacental stage.
grant	Важные скрипты.ipynb	C:\Users\USER\Documents\Работа над грантом HistoneJ\Важные скрипты.ipynb	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\tree\grant\Важные скрипты.ipynb	1b3baf3d85401b8315b573b35162dbb872727a11adc3d008acacbe0fe450effc	2026-03-29T20:43:45			Notebook with nucleotide cleanup, translation, coded_by fetch, and FASTA reordering.
grant	Копия H2AJ_ филогенетическое древо.ipynb	C:\Users\USER\Documents\Работа над грантом HistoneJ\Копия H2AJ_ филогенетическое древо.ipynb	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\tree\grant\Копия H2AJ_ филогенетическое древо.ipynb	8c4417e39d9c5ef246731cff7e7294631107204e47f29cd198271093c423eae0	2026-03-29T20:43:46			Additional phylogenetic notebook snapshot.
grant	Копия Фильтрация SHK_SQK.ipynb	C:\Users\USER\Documents\Работа над грантом HistoneJ\Копия Фильтрация SHK_SQK.ipynb	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\tree\grant\Копия Фильтрация SHK_SQK.ipynb	5050cda8be4ce131e061da56e0aece529728d619effec5143dfa33581280b093	2026-03-29T20:43:45			Notebook that classifies SQK/SHK by aligned position.
histones	All_AA_0206.fasta	C:\Users\USER\Documents\Гистоны\Лето2025\All_AA_0206.fasta	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\tree\histones\All_AA_0206.fasta	1d64840ef2f5030b4dfb3e4d42fcdecf94f8efcb3056de76d84f76a1e0219835	2025-06-02T17:40:31	387	208	02 June 2025 broad outgroup amino-acid alignment.
histones	All_AA_0206.phy	C:\Users\USER\Documents\Гистоны\Лето2025\All_AA_0206.phy	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\tree\histones\All_AA_0206.phy	674a31b3455c743a777039eb77c02f7fb79c6ddf373038a5c18050872f7c8d92	2025-06-02T17:45:13	387	208	PhyML-ready PHYLIP for the 02 June 2025 amino-acid alignment.
histones	All_AA_1006.fasta	C:\Users\USER\Documents\Гистоны\Лето2025\All_AA_1006.fasta	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\tree\histones\All_AA_1006.fasta	6840edf4bbd1a35a23266b504d0ca0b1cae53566bd9e78a4320a42b876318d85	2025-06-10T13:41:03	338	200	10 June 2025 mammal cH2A + nonplacental amino-acid alignment.
histones	All_AA_1006.phy	C:\Users\USER\Documents\Гистоны\Лето2025\All_AA_1006.phy	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\tree\histones\All_AA_1006.phy	edea86349160d475688e0df80ed91cc517707ab6d41e93e4fce5815b3af634c1	2025-06-10T14:08:41	338	180	PHYLIP for the 10 June 2025 mammal/nonplacental AA set.
histones	All_NUC_0907.phy	C:\Users\USER\Documents\Гистоны\Лето2025\All_NUC_0907.phy	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\tree\histones\All_NUC_0907.phy	6297699e9505ed71a3d91391c6041fbdda98200fac176a421dbd72838b0b9031	2025-07-09T17:31:59	312	396	PHYLIP for the July merged nucleotide set.
histones	All_NUC_1606.fasta	C:\Users\USER\Documents\Гистоны\Лето2025\All_NUC_1606.fasta	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\tree\histones\All_NUC_1606.fasta	e64cf34afb2f48ca8c0ff5f28b257d73bc4601df18a356a43c795605422b1c23	2025-06-16T16:27:46	315	399	16 June 2025 nucleotide alignment.
histones	All_NUC_1606.phy	C:\Users\USER\Documents\Гистоны\Лето2025\All_NUC_1606.phy	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\tree\histones\All_NUC_1606.phy	4f0e052223de817f65c155c863c9911101090a95591f58ef5a7481fd32a51fdc	2025-06-16T16:32:34	315	396	PHYLIP for the 16 June 2025 nucleotide alignment.
histones	H2AJ.fasta	C:\Users\USER\Documents\Гистоны\Лето2025\H2AJ.fasta	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\tree\histones\H2AJ.fasta	77173e9c51e46b64be2f1e450d77ceb123534f910e15b8707a2d49b24fe34cfe	2025-06-02T14:49:08	230	149	Early aligned H2A.J protein set.
histones	Nuc_merged_sequences.fasta	C:\Users\USER\Documents\Гистоны\Лето2025\Nuc_merged_sequences.fasta	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\tree\histones\Nuc_merged_sequences.fasta	e8114a740eb38073912dec1c73e2db6c612f5f2565ed50bb87872619581cdf57	2025-06-16T16:23:17	315		Merged nucleotide FASTA before the 16 June alignment.
histones	SQK_nuc(without short).fasta	C:\Users\USER\Documents\Гистоны\Лето2025\SQK_nuc(without short).fasta	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\codons\SQK_nuc(without short).fasta	83bb91704d30e7b5b84bc9f8619dbdb294650b906562f0c8a80ae9691c861502	2025-07-08T15:54:15	224	390	08 July 2025 SQK nucleotide set without short sequences. Reused existing raw/codons archive copy.
histones	SQK_nuc.fasta	C:\Users\USER\Documents\Гистоны\Лето2025\SQK_nuc.fasta	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\codons\SQK_nuc.fasta	27f5c6f206ba0b7c9d59af41914d83dbc990474c85123de5de70751b0a47879c	2025-07-08T12:55:43	227		08 July 2025 SQK nucleotide set. Reused existing raw/codons archive copy.
histones	all_aa_0206_1__phy_phyml.zip	C:\Users\USER\Documents\Гистоны\Лето2025\all_aa_0206_1__phy_phyml.zip	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\tree\histones\all_aa_0206_1__phy_phyml.zip	43eb459860df90192ece66f2f134185842bb5cf46389aef22632adf31d7c5a99	2025-06-03T14:52:44			Archived PhyML web result bundle for the confirmed AA run.
histones	cH2A.fasta	C:\Users\USER\Documents\Гистоны\Лето2025\cH2A.fasta	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\tree\histones\cH2A.fasta	5b5c635c1367ce665eb191c2c34ee58178fb53ee8bb0ce67a6cbb21ae0950e40	2025-06-02T15:05:26	57		Canonical H2A outgroup protein set.
histones	cH2A_nuc + platypus_nuc + SQK_nuc.fasta	C:\Users\USER\Documents\Гистоны\Лето2025\cH2A_nuc + platypus_nuc + SQK_nuc.fasta	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\tree\histones\cH2A_nuc + platypus_nuc + SQK_nuc.fasta	54086bfed0280039f39c18b784971b5257047540330702b8a632c16d64318627	2025-07-09T17:29:22	312		09 July 2025 merged nucleotide set.
histones	nuc_tree_bootstrap.nwk	C:\Users\USER\Documents\Гистоны\Лето2025\nuc_tree_bootstrap.nwk	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\tree\histones\nuc_tree_bootstrap.nwk	9c4d9618a5440e6a95754a8657acf34f402b37bcffce4e258814eba57f6300e3	2025-06-17T12:01:57			Historical unrooted/bootstrapped nucleotide tree.
histones	platypus.fasta	C:\Users\USER\Documents\Гистоны\Лето2025\platypus.fasta	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\tree\histones\platypus.fasta	5362c714aa91586af895e77d12171d149ab5d519145ee8794039c0c19c420025	2025-06-10T13:46:24	51		Historical nonplacental protein set, labelled as platypus.
histones	protein_from_SQK_nuc(without short).fasta	C:\Users\USER\Documents\Гистоны\Лето2025\protein_from_SQK_nuc(without short).fasta	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\codons\protein_from_SQK_nuc(without short).fasta	0df01bc25d00116b1090f040158abbcf26c294ba1eb9e4a0276338594d9f64ac	2025-07-08T15:52:52	224	129	Translated proteins from SQK_nuc(without short). Reused existing raw/codons archive copy.
histones	protein_from_SQK_nuc.fasta	C:\Users\USER\Documents\Гистоны\Лето2025\protein_from_SQK_nuc.fasta	C:\Users\USER\Documents\GitHub\histonedb_external_storage\BioAnalyze\raw\codons\protein_from_SQK_nuc.fasta	e601b4877d1d8109aeb21176e5198b797f2188ba242d43e2dbde387319d07723	2025-07-08T12:55:26	227		Translated proteins from SQK_nuc. Reused existing raw/codons archive copy.
