species_name	ensembl_gene_id	gene_name	hgnc_id	vgnc_id	id_type	id_value	class	label
Bos taurus	ENSBTAG00000001163	MACROH2A2		VGNC:55987	vgnc_id	VGNC:55987	variant	MACROH2A2:VGNC:55987
Bos taurus	ENSBTAG00000004428	H2AZ1		VGNC:83610	vgnc_id	VGNC:83610	variant	H2AZ1:VGNC:83610
Bos taurus	ENSBTAG00000016105	MACROH2A1		VGNC:83608	vgnc_id	VGNC:83608	variant	MACROH2A1:VGNC:83608
Bos taurus	ENSBTAG00000016975	H2AZ2		VGNC:83607	vgnc_id	VGNC:83607	variant	H2AZ2:VGNC:83607
Bos taurus	ENSBTAG00000030503	H2AJ		VGNC:83623	vgnc_id	VGNC:83623	variant	H2AJ:VGNC:83623
Bos taurus	ENSBTAG00000032456	H2AC21		VGNC:83604	vgnc_id	VGNC:83604	clustered	H2AC21:VGNC:83604
Bos taurus	ENSBTAG00000037964	H2AC25		VGNC:83612	vgnc_id	VGNC:83612	clustered	H2AC25:VGNC:83612
Bos taurus	ENSBTAG00000038047	H2AX		VGNC:83617	vgnc_id	VGNC:83617	variant	H2AX:VGNC:83617
Bos taurus	ENSBTAG00000038476	H2AC18		VGNC:83599	vgnc_id	VGNC:83599	clustered	H2AC18:VGNC:83599
Bos taurus	ENSBTAG00000039657	H2AC6		VGNC:83561	vgnc_id	VGNC:83561	clustered	H2AC6:VGNC:83561
Bos taurus	ENSBTAG00000040098	H2AC20		VGNC:83605	vgnc_id	VGNC:83605	clustered	H2AC20:VGNC:83605
Bos taurus	ENSBTAG00000046003	H2AC19		VGNC:83602	vgnc_id	VGNC:83602	clustered	H2AC19:VGNC:83602
Bos taurus	ENSBTAG00000046373	H2AC13		VGNC:109559	vgnc_id	VGNC:109559	clustered	H2AC13:VGNC:109559
Bos taurus	ENSBTAG00000046992	H2AC1		VGNC:83545	vgnc_id	VGNC:83545	clustered	H2AC1:VGNC:83545
Bos taurus	ENSBTAG00000048599	H2AC11		VGNC:83577	vgnc_id	VGNC:83577	clustered	H2AC11:VGNC:83577
Bos taurus	ENSBTAG00000048743	H2AC8		VGNC:83570	vgnc_id	VGNC:83570	clustered	H2AC8:VGNC:83570
Bos taurus	ENSBTAG00000049451	H2AL1Q		VGNC:109560	vgnc_id	VGNC:109560	variant	H2AL1Q:VGNC:109560
Bos taurus	ENSBTAG00000050614	H2AC4		VGNC:83550	vgnc_id	VGNC:83550	clustered	H2AC4:VGNC:83550
Bos taurus	ENSBTAG00000051969	H2AC14		VGNC:83584	vgnc_id	VGNC:83584	clustered	H2AC14:VGNC:83584
Bos taurus	ENSBTAG00000052113	H2AL3		VGNC:109561	vgnc_id	VGNC:109561	variant	H2AL3:VGNC:109561
Bos taurus	ENSBTAG00000052895	H2AC10		VGNC:83576	vgnc_id	VGNC:83576	clustered	H2AC10:VGNC:83576
Bos taurus	ENSBTAG00000053621	H2AC15		VGNC:83586	vgnc_id	VGNC:83586	clustered	H2AC15:VGNC:83586
Bos taurus	ENSBTAG00000053792	H2AC7		VGNC:83565	vgnc_id	VGNC:83565	clustered	H2AC7:VGNC:83565
Bos taurus	ENSBTAG00000054548	H2AC12		VGNC:83580	vgnc_id	VGNC:83580	clustered	H2AC12:VGNC:83580
Bos taurus	ENSBTAG00070005783	H2AC6		VGNC:83561	vgnc_id	VGNC:83561	variant	H2AC6:VGNC:83561#2
Bos taurus	ENSBTAG00070035097	LOC528006			vgnc_id		variant	LOC528006:ENSBTAG00070035097
Bos taurus	ENSBTAG00070035166	H2AL1Q		VGNC:109560	vgnc_id	VGNC:109560	variant	H2AL1Q:VGNC:109560#2
Bos taurus	ENSBTAG00070035786	H2AX		VGNC:83617	vgnc_id	VGNC:83617	variant	H2AX:VGNC:83617#2
