Gene ID	Gene name	Anatomical entity name	cell_mean_score	cell_std_score	cell_n	cell_status	Expression score	Expression std	Expression n	raw_row_count	qualifying_row_count
ENSCAFG00000001076	MACROH2A1	adipose tissue	90.33	0.0	1	present_gold	90.33	0.0	1	1	1
ENSCAFG00000001076	MACROH2A1	adrenal cortex	94.675	0.6010407640085614	2	present_gold	94.675	0.6010407640085614	2	2	2
ENSCAFG00000001076	MACROH2A1	adrenal gland	95.045	0.657609306503494	2	present_gold	95.045	0.657609306503494	2	2	2
ENSCAFG00000001076	MACROH2A1	adult mammalian kidney	95.15333333333332	3.6102954634397104	3	present_gold	95.15333333333332	3.6102954634397104	3	3	3
ENSCAFG00000001076	MACROH2A1	blood	95.09	0.0	1	present_gold	95.09	0.0	1	1	1
ENSCAFG00000001076	MACROH2A1	bone marrow	92.9	0.0	1	present_gold	92.9	0.0	1	1	1
ENSCAFG00000001076	MACROH2A1	brain	95.14	0.08485281374238891	2	present_gold	95.14	0.08485281374238891	2	2	2
ENSCAFG00000001076	MACROH2A1	cardiac muscle of left ventricle	86.37	0.0	1	present_gold	86.37	0.0	1	1	1
ENSCAFG00000001076	MACROH2A1	cartilage tissue	94.38	0.0	1	present_gold	94.38	0.0	1	1	1
ENSCAFG00000001076	MACROH2A1	cerebellum	96.715	0.8387490685538758	4	present_gold	96.715	0.8387490685538758	4	4	4
ENSCAFG00000001076	MACROH2A1	cerebral cortex	94.525	0.36062445840514284	2	present_gold	94.525	0.36062445840514284	2	2	2
ENSCAFG00000001076	MACROH2A1	colon	95.305	2.665792565073281	2	present_gold	95.305	2.665792565073281	2	2	2
ENSCAFG00000001076	MACROH2A1	frontal cortex	94.10000000000001	0.5002999100539596	3	present_gold	94.10000000000001	0.5002999100539596	3	3	3
ENSCAFG00000001076	MACROH2A1	granulocyte	79.74	0.0	1	present_gold	79.74	0.0	1	1	1
ENSCAFG00000001076	MACROH2A1	hair follicle	94.4	0.0	1	present_gold	94.4	0.0	1	1	1
ENSCAFG00000001076	MACROH2A1	head	97.24333333333334	1.185847095258636	3	present_gold	97.24333333333334	1.185847095258636	3	3	3
ENSCAFG00000001076	MACROH2A1	heart	91.7	2.1120369314952816	3	present_gold	91.7	2.1120369314952816	3	3	3
ENSCAFG00000001076	MACROH2A1	heart left ventricle	89.30666666666667	0.9321659365871144	3	present_gold	89.30666666666667	0.9321659365871144	3	3	3
ENSCAFG00000001076	MACROH2A1	heart right ventricle	87.01	0.0	1	present_gold	87.01	0.0	1	1	1
ENSCAFG00000001076	MACROH2A1	hypothalamus	95.43	0.0	1	present_gold	95.43	0.0	1	1	1
ENSCAFG00000001076	MACROH2A1	jejunum	96.83	0.0	1	present_gold	96.83	0.0	1	1	1
ENSCAFG00000001076	MACROH2A1	keratinocyte	95.89	0.0	1	present_gold	95.89	0.0	1	1	1
ENSCAFG00000001076	MACROH2A1	kidney	94.22	0.0	1	present_gold	94.22	0.0	1	1	1
ENSCAFG00000001076	MACROH2A1	large intestine	97.04	0.0	1	present_gold	97.04	0.0	1	1	1
ENSCAFG00000001076	MACROH2A1	left cardiac atrium	87.3	0.0	1	present_gold	87.3	0.0	1	1	1
ENSCAFG00000001076	MACROH2A1	liver	94.01142857142858	1.2724704131652544	7	present_gold	94.01142857142858	1.2724704131652544	7	7	7
ENSCAFG00000001076	MACROH2A1	lung	95.5725	2.561085381890522	4	present_gold	95.5725	2.561085381890522	4	4	4
ENSCAFG00000001076	MACROH2A1	lymph node	92.77	1.9657568516986028	2	present_gold	92.77	1.9657568516986028	2	2	2
ENSCAFG00000001076	MACROH2A1	mammary gland	97.025	0.9970205614730396	2	present_gold	97.025	0.9970205614730396	2	2	2
ENSCAFG00000001076	MACROH2A1	metanephros cortex	94.11	0.0	1	present_gold	94.11	0.0	1	1	1
ENSCAFG00000001076	MACROH2A1	mitral valve	91.22	1.598061325481591	2	present_gold	91.22	1.598061325481591	2	2	2
ENSCAFG00000001076	MACROH2A1	mucosa of urinary bladder	96.63	0.056568542494922595	2	present_gold	96.63	0.056568542494922595	2	2	2
ENSCAFG00000001076	MACROH2A1	nose	95.92	0.0	1	present_gold	95.92	0.0	1	1	1
ENSCAFG00000001076	MACROH2A1	occipital cortex	94.01	0.0	1	present_gold	94.01	0.0	1	1	1
ENSCAFG00000001076	MACROH2A1	occipital lobe	95.17	0.0	1	present_gold	95.17	0.0	1	1	1
ENSCAFG00000001076	MACROH2A1	olfactory bulb	96.01	0.0	1	present_gold	96.01	0.0	1	1	1
ENSCAFG00000001076	MACROH2A1	ovary	94.95	0.0	1	present_gold	94.95	0.0	1	1	1
ENSCAFG00000001076	MACROH2A1	pancreas	91.99666666666667	2.587225025646852	3	present_gold	91.99666666666667	2.587225025646852	3	3	3
ENSCAFG00000001076	MACROH2A1	pituitary gland	97.64999999999999	0.59573484034426	3	present_gold	97.64999999999999	0.59573484034426	3	3	3
ENSCAFG00000001076	MACROH2A1	placenta	95.69	0.0	1	present_gold	95.69	0.0	1	1	1
