Gene ID	Gene name	Anatomical entity name	cell_mean_score	cell_std_score	cell_n	cell_status	Expression score	Expression std	Expression n	raw_row_count	qualifying_row_count
ENSECAG00000010224	MACROH2A1	adult mammalian kidney	92.47	0.0	1	present_gold	92.47	0.0	1	1	1
ENSECAG00000010224	MACROH2A1	articular cartilage of joint	90.52	0.0	1	present_gold	90.52	0.0	1	1	1
ENSECAG00000010224	MACROH2A1	blood	94.55166666666666	2.2037732793249543	6	present_gold	94.55166666666666	2.2037732793249543	6	6	6
ENSECAG00000010224	MACROH2A1	bone marrow	96.15	0.0	1	present_gold	96.15	0.0	1	1	1
ENSECAG00000010224	MACROH2A1	brainstem	84.975	0.7990306627408055	2	present_gold	84.975	0.7990306627408055	2	2	2
ENSECAG00000010224	MACROH2A1	cerebellum	93.988	2.2306209897694385	5	present_gold	93.988	2.2306209897694385	5	5	5
ENSECAG00000010224	MACROH2A1	chorionic villus	94.48	0.0	1	present_gold	94.48	0.0	1	1	1
ENSECAG00000010224	MACROH2A1	embryo	97.21	0.0	1	present_gold	97.21	0.0	1	1	1
ENSECAG00000010224	MACROH2A1	endometrium	95.95	0.0	1	present_gold	95.95	0.0	1	1	1
ENSECAG00000010224	MACROH2A1	epithelium of bronchus	95.945	0.12020815280171428	2	present_gold	95.945	0.12020815280171428	2	2	2
ENSECAG00000010224	MACROH2A1	gluteus medius	90.29	0.6643292356455026	4	present_gold	90.29	0.6643292356455026	4	4	4
ENSECAG00000010224	MACROH2A1	inner cell mass	74.265	1.1808683245815255	2	present_gold	74.265	1.1808683245815255	2	2	2
ENSECAG00000010224	MACROH2A1	leukocyte	94.93	0.0	1	present_gold	94.93	0.0	1	1	1
ENSECAG00000010224	MACROH2A1	liver	90.44	0.0	1	present_gold	90.44	0.0	1	1	1
ENSECAG00000010224	MACROH2A1	multicellular organism	91.56	0.0	1	present_gold	91.56	0.0	1	1	1
ENSECAG00000010224	MACROH2A1	muscle tissue	88.47999999999999	0.5872818744010422	5	present_gold	88.47999999999999	0.5872818744010422	5	5	5
ENSECAG00000010224	MACROH2A1	oviduct epithelium	96.58	0.0	1	present_gold	96.58	0.0	1	1	1
ENSECAG00000010224	MACROH2A1	prefrontal cortex	92.87	0.0	1	present_gold	92.87	0.0	1	1	1
ENSECAG00000010224	MACROH2A1	retina	94.84	0.0	1	present_gold	94.84	0.0	1	1	1
ENSECAG00000010224	MACROH2A1	spinal cord	90.86125	1.7686995828251113	8	present_gold	90.86125	1.7686995828251113	8	8	8
ENSECAG00000010224	MACROH2A1	synovial membrane of synovial joint	94.69	0.0	1	present_gold	94.69	0.0	1	1	1
ENSECAG00000010224	MACROH2A1	testis	80.1	7.620949197223837	4	present_gold	80.1	7.620949197223837	4	4	4
ENSECAG00000010224	MACROH2A1	triceps brachii	86.83500000000001	0.2616295090390158	2	present_gold	86.83500000000001	0.2616295090390158	2	2	2
