species_name	ensembl_gene_id	gene_name	hgnc_id	vgnc_id	id_type	id_value	class	label
Equus caballus	ENSECAG00000006041	H2AC25		VGNC:83805	vgnc_id	VGNC:83805	clustered	H2AC25:VGNC:83805
Equus caballus	ENSECAG00000010224	MACROH2A1		VGNC:81621	vgnc_id	VGNC:81621	variant	MACROH2A1:VGNC:81621
Equus caballus	ENSECAG00000016692	H2AZ2		VGNC:83809	vgnc_id	VGNC:83809	variant	H2AZ2:VGNC:83809
Equus caballus	ENSECAG00000019223	MACROH2A2		VGNC:55911	vgnc_id	VGNC:55911	variant	MACROH2A2:VGNC:55911
Equus caballus	ENSECAG00000023732	H2AZ1		VGNC:83808	vgnc_id	VGNC:83808	variant	H2AZ1:VGNC:83808
Equus caballus	ENSECAG00000029766	H2AX		VGNC:83807	vgnc_id	VGNC:83807	variant	H2AX:VGNC:83807
Equus caballus	ENSECAG00000029871	H2AB3		VGNC:83789	vgnc_id	VGNC:83789	variant	H2AB3:VGNC:83789
Equus caballus	ENSECAG00000031036	H2AC9		VGNC:83804	vgnc_id	VGNC:83804	clustered	H2AC9:VGNC:83804
Equus caballus	ENSECAG00000033031	H2AC7		VGNC:83799	vgnc_id	VGNC:83799	clustered	H2AC7:VGNC:83799
Equus caballus	ENSECAG00000034818	H2AJ		VGNC:83803	vgnc_id	VGNC:83803	variant	H2AJ:VGNC:83803
Equus caballus	ENSECAG00000036162	H2AC17		VGNC:83798	vgnc_id	VGNC:83798	clustered	H2AC17:VGNC:83798
Equus caballus	ENSECAG00000037338	H2AC6		VGNC:83801	vgnc_id	VGNC:83801	clustered	H2AC6:VGNC:83801
Equus caballus	ENSECAG00000037455	H2AB1		VGNC:83788	vgnc_id	VGNC:83788	variant	H2AB1:VGNC:83788
Equus caballus	ENSECAG00000037839	H2AC4		VGNC:83796	vgnc_id	VGNC:83796	clustered	H2AC4:VGNC:83796
Equus caballus	ENSECAG00000038416	H2AC5		VGNC:83800	vgnc_id	VGNC:83800	clustered	H2AC5:VGNC:83800
Equus caballus	ENSECAG00000039905	H2AC8		VGNC:83802	vgnc_id	VGNC:83802	clustered	H2AC8:VGNC:83802
Equus caballus	ENSECAG00000040706	H2AC21		VGNC:83797	vgnc_id	VGNC:83797	clustered	H2AC21:VGNC:83797
Equus caballus	ENSECAG00000040805	H2AC16		VGNC:83794	vgnc_id	VGNC:83794	clustered	H2AC16:VGNC:83794
Equus caballus	ENSECAG00000041373	H2AC11		VGNC:83790	vgnc_id	VGNC:83790	clustered	H2AC11:VGNC:83790
Equus caballus	ENSECAG00000042371	H2AC12		VGNC:83791	vgnc_id	VGNC:83791	clustered	H2AC12:VGNC:83791
Equus caballus	ENSECAG00000042897	H2AC20		VGNC:95395	vgnc_id	VGNC:95395	clustered	H2AC20:VGNC:95395
Equus caballus	ENSECAG00000043631	H2AC19		VGNC:95391	vgnc_id	VGNC:95391	clustered	H2AC19:VGNC:95391
Equus caballus	ENSECAG00000043633	H2AC13		VGNC:83793	vgnc_id	VGNC:83793	clustered	H2AC13:VGNC:83793
