Gene ID	Gene name	Anatomical entity name	cell_mean_score	cell_std_score	cell_n	cell_status	Expression score	Expression std	Expression n	raw_row_count	qualifying_row_count
ENSFCAG00000001225	MACROH2A2	adult mammalian kidney	54.325	8.209509729575815	2	present_gold	54.325	8.209509729575815	2	2	2
ENSFCAG00000001225	MACROH2A2	brain	63.53	15.37250142299555	2	present_gold	63.53	15.37250142299555	2	2	2
ENSFCAG00000001225	MACROH2A2	embryo	87.5	0.0	1	present_gold	87.5	0.0	1	1	1
ENSFCAG00000001225	MACROH2A2	embryonic head	93.82	0.0	1	present_gold	93.82	0.0	1	1	1
ENSFCAG00000001225	MACROH2A2	eyeball of camera-type eye	70.4	0.0	1	present_gold	70.4	0.0	1	1	1
ENSFCAG00000001225	MACROH2A2	liver	68.08	0.0	1	present_gold	68.08	0.0	1	2	1
ENSFCAG00000001225	MACROH2A2	prefrontal cortex	55.1	0.0	1	present_gold	55.1	0.0	1	1	1
ENSFCAG00000001225	MACROH2A2	spleen	39.84	0.0	1	present_gold	39.84	0.0	1	1	1
ENSFCAG00000001225	MACROH2A2	testis	32.73	1.9338045402780477	3	present_gold	32.73	1.9338045402780477	3	3	3
ENSFCAG00000001225	MACROH2A2	tip of external ear	28.38	0.0	1	present_gold	28.38	0.0	1	1	1
ENSFCAG00000001225	MACROH2A2	uterus	77.44	0.0	1	present_gold	77.44	0.0	1	1	1
ENSFCAG00000001225	MACROH2A2	zone of skin	30.5	0.0	1	present_gold	30.5	0.0	1	1	1
ENSFCAG00000010271	H2AZ2	adult mammalian kidney	96.545	0.33234018715767655	2	present_gold	96.545	0.33234018715767655	2	2	2
ENSFCAG00000010271	H2AZ2	brain	94.445	4.391133111168456	2	present_gold	94.445	4.391133111168456	2	2	2
ENSFCAG00000010271	H2AZ2	embryo	99.26	0.0	1	present_gold	99.26	0.0	1	1	1
ENSFCAG00000010271	H2AZ2	embryonic head	99.39	0.0	1	present_gold	99.39	0.0	1	1	1
ENSFCAG00000010271	H2AZ2	eyeball of camera-type eye	98.8	0.0	1	present_gold	98.8	0.0	1	1	1
ENSFCAG00000010271	H2AZ2	liver	91.5	5.359869401394039	2	present_gold	91.5	5.359869401394039	2	2	2
ENSFCAG00000010271	H2AZ2	prefrontal cortex	94.84	0.0	1	present_gold	94.84	0.0	1	1	1
ENSFCAG00000010271	H2AZ2	spleen	98.91	0.0	1	present_gold	98.91	0.0	1	1	1
ENSFCAG00000010271	H2AZ2	testis	97.02666666666669	1.0519188815366596	3	present_gold	97.02666666666669	1.0519188815366596	3	3	3
ENSFCAG00000010271	H2AZ2	tip of external ear	98.54	0.0	1	present_gold	98.54	0.0	1	1	1
ENSFCAG00000010271	H2AZ2	uterus	98.86	0.0	1	present_gold	98.86	0.0	1	1	1
ENSFCAG00000010271	H2AZ2	zone of skin	98.4	0.0	1	present_gold	98.4	0.0	1	1	1
ENSFCAG00000013924	MACROH2A1	adult mammalian kidney	93.04499999999999	0.12020815280171428	2	present_gold	93.04499999999999	0.12020815280171428	2	2	2
ENSFCAG00000013924	MACROH2A1	brain	93.785	2.3122391744800077	2	present_gold	93.785	2.3122391744800077	2	2	2
ENSFCAG00000013924	MACROH2A1	embryo	97.56	0.0	1	present_gold	97.56	0.0	1	1	1
ENSFCAG00000013924	MACROH2A1	embryonic head	98.32	0.0	1	present_gold	98.32	0.0	1	1	1
ENSFCAG00000013924	MACROH2A1	eyeball of camera-type eye	95.2	0.0	1	present_gold	95.2	0.0	1	1	1
ENSFCAG00000013924	MACROH2A1	liver	88.825	2.6799347006970096	2	present_gold	88.825	2.6799347006970096	2	2	2
ENSFCAG00000013924	MACROH2A1	prefrontal cortex	92.5	0.0	1	present_gold	92.5	0.0	1	1	1
ENSFCAG00000013924	MACROH2A1	spleen	94.77	0.0	1	present_gold	94.77	0.0	1	1	1
ENSFCAG00000013924	MACROH2A1	testis	79.10000000000001	3.0592646175183997	3	present_gold	79.10000000000001	3.0592646175183997	3	3	3
ENSFCAG00000013924	MACROH2A1	tip of external ear	95.46	0.0	1	present_gold	95.46	0.0	1	1	1
ENSFCAG00000013924	MACROH2A1	uterus	95.17	0.0	1	present_gold	95.17	0.0	1	1	1
ENSFCAG00000013924	MACROH2A1	zone of skin	96.69	0.0	1	present_gold	96.69	0.0	1	1	1
ENSFCAG00000024530	H2AW	adult mammalian kidney	41.535	2.538513344459703	2	present_gold	41.535	2.538513344459703	2	2	2
ENSFCAG00000024530	H2AW	brain	90.50999999999999	8.343860018001259	2	present_gold	90.50999999999999	8.343860018001259	2	2	2
ENSFCAG00000024530	H2AW	embryo	29.44	0.0	1	present_gold	29.44	0.0	1	1	1
ENSFCAG00000024530	H2AW	embryonic head	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000024530	H2AW	eyeball of camera-type eye	68.97	0.0	1	present_gold	68.97	0.0	1	1	1
ENSFCAG00000024530	H2AW	liver	40.42	0.0	1	present_gold	40.42	0.0	1	2	1
ENSFCAG00000024530	H2AW	prefrontal cortex	44.1	0.0	1	present_gold	44.1	0.0	1	1	1
ENSFCAG00000024530	H2AW	spleen	31.63	0.0	1	present_gold	31.63	0.0	1	1	1
ENSFCAG00000024530	H2AW	testis	41.74	4.793130501040003	3	present_gold	41.74	4.793130501040003	3	3	3
ENSFCAG00000024530	H2AW	tip of external ear	24.18	0.0	1	present_gold	24.18	0.0	1	1	1
ENSFCAG00000024530	H2AW	uterus	48.35	0.0	1	present_gold	48.35	0.0	1	1	1
ENSFCAG00000024530	H2AW	zone of skin	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000027552	H2AC1	adult mammalian kidney	0.0	0.0	0	observed_zero	0.0	0.0	0	2	0
ENSFCAG00000027552	H2AC1	brain	0.0	0.0	0	observed_zero	0.0	0.0	0	2	0
