species_name	ensembl_gene_id	gene_name	hgnc_id	vgnc_id	id_type	id_value	class	label
Felis catus	ENSFCAG00000001225	MACROH2A2		VGNC:81625	vgnc_id	VGNC:81625	variant	MACROH2A2:VGNC:81625
Felis catus	ENSFCAG00000010271	H2AZ2		VGNC:109894	vgnc_id	VGNC:109894	variant	H2AZ2:VGNC:109894
Felis catus	ENSFCAG00000013924	MACROH2A1		VGNC:81624	vgnc_id	VGNC:81624	variant	MACROH2A1:VGNC:81624
Felis catus	ENSFCAG00000024530	H2AC25		VGNC:109889	vgnc_id	VGNC:109889	clustered	H2AC25:VGNC:109889
Felis catus	ENSFCAG00000027552	H2AC1		VGNC:109870	vgnc_id	VGNC:109870	clustered	H2AC1:VGNC:109870
Felis catus	ENSFCAG00000030442	H2AC2		VGNC:109871	vgnc_id	VGNC:109871	clustered	H2AC2:VGNC:109871
Felis catus	ENSFCAG00000031712	H2AJ		VGNC:84028	vgnc_id	VGNC:84028	variant	H2AJ:VGNC:84028
Felis catus	ENSFCAG00000039458	H2AZ1		VGNC:109893	vgnc_id	VGNC:109893	variant	H2AZ1:VGNC:109893
Felis catus	ENSFCAG00000040278	H2AC20		VGNC:109888	vgnc_id	VGNC:109888	clustered	H2AC20:VGNC:109888
Felis catus	ENSFCAG00000040930	H2AC14		VGNC:109883	vgnc_id	VGNC:109883	clustered	H2AC14:VGNC:109883
Felis catus	ENSFCAG00000041358	H2AC7		VGNC:109872	vgnc_id	VGNC:109872	clustered	H2AC7:VGNC:109872
Felis catus	ENSFCAG00000043084	H2AC5		VGNC:109873	vgnc_id	VGNC:109873	clustered	H2AC5:VGNC:109873
Felis catus	ENSFCAG00000043173	H2AC15		VGNC:109881	vgnc_id	VGNC:109881	clustered	H2AC15:VGNC:109881
Felis catus	ENSFCAG00000044530	H2AC10		VGNC:109876	vgnc_id	VGNC:109876	clustered	H2AC10:VGNC:109876
Felis catus	ENSFCAG00000044576	H2AB2		VGNC:109866	vgnc_id	VGNC:109866	variant	H2AB2:VGNC:109866
Felis catus	ENSFCAG00000044591	H2AC17		VGNC:109884	vgnc_id	VGNC:109884	clustered	H2AC17:VGNC:109884
Felis catus	ENSFCAG00000044965	H2AB3		VGNC:109868	vgnc_id	VGNC:109868	variant	H2AB3:VGNC:109868
Felis catus	ENSFCAG00000048216	H2AC8		VGNC:109875	vgnc_id	VGNC:109875	clustered	H2AC8:VGNC:109875
Felis catus	ENSFCAG00000048955	H2AP		VGNC:109891	vgnc_id	VGNC:109891	variant	H2AP:VGNC:109891
Felis catus	ENSFCAG00000051396	H2AC13		VGNC:109879	vgnc_id	VGNC:109879	clustered	H2AC13:VGNC:109879
Felis catus	ENSFCAG00000051680	H2AX		VGNC:109892	vgnc_id	VGNC:109892	variant	H2AX:VGNC:109892
Felis catus	ENSFCAG00000052540	H2AL1M		VGNC:109890	vgnc_id	VGNC:109890	variant	H2AL1M:VGNC:109890
Felis catus	ENSFCAG00000053015	H2AC6		VGNC:109874	vgnc_id	VGNC:109874	clustered	H2AC6:VGNC:109874
