ensembl_gene_id	gene_name	hgnc_id	class	label
ENSG00000099284	MACROH2A2	HGNC:14453	variant	MACROH2A2:HGNC:14453
ENSG00000105968	H2AZ2	HGNC:20664	variant	H2AZ2:HGNC:20664
ENSG00000113648	MACROH2A1	HGNC:4740	variant	MACROH2A1:HGNC:4740
ENSG00000164032	H2AZ1	HGNC:4741	variant	H2AZ1:HGNC:4741
ENSG00000164508	H2AC1	HGNC:18729	clustered	H2AC1:HGNC:18729
ENSG00000180573	H2AC6	HGNC:4733	clustered	H2AC6:HGNC:4733
ENSG00000181218	H2AW	HGNC:20507	clustered	H2AW:HGNC:20507
ENSG00000184260	H2AC20	HGNC:4738	clustered	H2AC20:HGNC:4738
ENSG00000184270	H2AC21	HGNC:20508	clustered	H2AC21:HGNC:20508
ENSG00000187516	H2AP	HGNC:18417	variant	H2AP:HGNC:18417
ENSG00000188486	H2AX	HGNC:4739	variant	H2AX:HGNC:4739
ENSG00000196747	H2AC13	HGNC:4725	clustered	H2AC13:HGNC:4725
ENSG00000196787	H2AC11	HGNC:4737	clustered	H2AC11:HGNC:4737
ENSG00000196866	H2AC7	HGNC:4729	clustered	H2AC7:HGNC:4729
ENSG00000203812	H2AC18	HGNC:4736	clustered	H2AC18:HGNC:4736
ENSG00000229674	H2AL1RP	HGNC:53960	variant	H2AL1RP:HGNC:53960
ENSG00000246705	H2AJ	HGNC:14456	variant	H2AJ:HGNC:14456
ENSG00000249467	H2AL1QP	HGNC:53959	variant	H2AL1QP:HGNC:53959
ENSG00000272196	H2AC19	HGNC:29668	clustered	H2AC19:HGNC:29668
ENSG00000274183	H2AB1	HGNC:22516	variant	H2AB1:HGNC:22516
ENSG00000274997	H2AC12	HGNC:13671	clustered	H2AC12:HGNC:13671
ENSG00000275221	H2AC15	HGNC:4726	clustered	H2AC15:HGNC:4726
ENSG00000276368	H2AC14	HGNC:4727	clustered	H2AC14:HGNC:4727
ENSG00000276903	H2AC16	HGNC:4730	clustered	H2AC16:HGNC:4730
ENSG00000277075	H2AC8	HGNC:4724	clustered	H2AC8:HGNC:4724
ENSG00000277745	H2AB3	HGNC:14455	variant	H2AB3:HGNC:14455
ENSG00000277858	H2AB2	HGNC:18298	variant	H2AB2:HGNC:18298
ENSG00000278463	H2AC4	HGNC:4734	clustered	H2AC4:HGNC:4734
ENSG00000278677	H2AC17	HGNC:4735	clustered	H2AC17:HGNC:4735
