Gene ID	Gene name	Anatomical entity ID	Anatomical entity name	Developmental stage ID	Developmental stage name	Sex	Strain	Expression	Call quality	FDR	Expression score	Expression rank	Including observed data	Self observation count	Descendant observation count	Affymetrix expression	Affymetrix call quality	Affymetrix FDR	Affymetrix expression score	Affymetrix expression rank	Affymetrix weight for expression rank and score	Including Affymetrix observed data	Self observation count Affymetrix	Descendant observation count Affymetrix	EST expression	EST call quality	EST FDR	EST expression score	EST expression rank	EST weight for expression rank and score	Including EST observed data	Self observation count EST	Descendant observation count EST	in situ hybridization expression	in situ hybridization call quality	in situ hybridization FDR	in situ hybridization expression score	in situ hybridization expression rank	in situ hybridization weight for expression rank and score	Including in situ hybridization observed data	Self observation count in situ hybridization	Descendant observation count in situ hybridization	RNA-Seq expression	RNA-Seq call quality	RNA-Seq FDR	RNA-Seq expression score	RNA-Seq expression rank	RNA-Seq weight for expression rank and score	Including RNA-Seq observed data	Self observation count RNA-Seq	Descendant observation count RNA-Seq	single-cell RNA-Seq expression	single-cell RNA-Seq call quality	single-cell RNA-Seq FDR	single-cell RNA-Seq expression score	single-cell RNA-Seq expression rank	single-cell RNA-Seq weight for expression rank and score	Including single-cell RNA-Seq observed data	Self observation count single-cell RNA-Seq	Descendant observation count single-cell RNA-Seq
ENSG00000099284	MACROH2A2	CL:0000015	male germ cell	HsapDv:0000240	sixth decade stage (human)	male	White	present	silver quality	0.0252302356363696	96.45	1.66e3	yes	2	0	present	silver quality	0.0252302356363696	96.45	1.66e3	14774	yes	2	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0000019	sperm	UBERON:0018241	prime adult stage	male	wild-type	absent	silver quality	0.06557787392995751	81.05	8.83e3	yes	10	0	absent	silver quality	0.06557787392995751	81.05	8.83e3	142303	yes	10	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0000023	oocyte	UBERON:0000113	post-juvenile	female	wild-type	present	gold quality	0.00665883072960882	79.61	9.51e3	yes	3	0	present	gold quality	0.00665883072960882	79.61	9.51e3	41825	yes	3	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0000083	epithelial cell of pancreas	UBERON:0000104	life cycle	any	wild-type	present	silver quality	0.0233945594146215	88.81	5.22e3	yes	5	4	present	silver quality	0.0233945594146215	88.81	5.22e3	50582	yes	5	4	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0000089 ∩ UBERON:0000473	male germ line stem cell (sensu Vertebrata) in testis	UBERON:0000104	life cycle	male	wild-type	present	gold quality	7.282650758579466E-9	79.89	9.38e3	yes	67	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	7.282650758579466E-9	79.89	9.38e3	714457	yes	67	0
ENSG00000099284	MACROH2A2	CL:0000094	granulocyte	HsapDv:0000238	fourth decade stage (human)	male	wild-type	present	gold quality	9.09990002236377E-7	75.59	1.14e4	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	9.09990002236377E-7	75.59	1.14e4	29765	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0000115	endothelial cell	HsapDv:0000239	fifth decade stage (human)	male	wild-type	present	silver quality	0.0309418133210462	81.09	8.82e3	yes	1	0	present	silver quality	0.0309418133210462	81.09	8.82e3	13323	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0000169	type B pancreatic cell	UBERON:0000113	post-juvenile	any	White	absent	silver quality	0.0547554690106211	95.87	1.92e3	yes	1	0	absent	silver quality	0.0547554690106211	95.87	1.92e3	7209	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0000576	monocyte	UBERON:0000113	post-juvenile	female	wild-type	present	gold quality	1.5835512548448886E-7	71.64	1.32e4	yes	29	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	1.5835512548448886E-7	71.64	1.32e4	777345	yes	29	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0000655	secondary oocyte	UBERON:0000104	life cycle	female	wild-type	present	gold quality	0.00496277305092019	80.51	9.09e3	yes	1	0	present	gold quality	0.00496277305092019	80.51	9.09e3	11941	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
