Gene ID	Gene name	Anatomical entity name	Expression	Call quality	Expression score	class
ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	88.24	variant
ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	87.24	variant
ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	86.01	variant
ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	87.79	variant
ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	87.56	variant
ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	85.71	variant
ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	87.09	variant
ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	86.81	variant
ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	85.9	variant
ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	86.26	variant
ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	84.43	variant
ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	82.24	variant
ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	86.37	variant
ENSG00000099284	MACROH2A2	lymph node	present	gold quality	83.0	variant
ENSG00000099284	MACROH2A2	lymph node	present	gold quality	82.24	variant
ENSG00000099284	MACROH2A2	lymph node	present	gold quality	83.71	variant
ENSG00000099284	MACROH2A2	lymph node	present	gold quality	75.88	variant
ENSG00000099284	MACROH2A2	lymph node	present	gold quality	80.25	variant
ENSG00000099284	MACROH2A2	lymph node	present	gold quality	78.71	variant
ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	84.9	variant
ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	86.12	variant
ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	87.1	variant
ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	80.57	variant
ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	82.77	variant
ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	82.29	variant
ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	84.1	variant
ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	84.34	variant
ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	83.6	variant
ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	80.41	variant
ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	81.3	variant
ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	83.11	variant
ENSG00000099284	MACROH2A2	prefrontal cortex	present	gold quality	85.64	variant
ENSG00000099284	MACROH2A2	prefrontal cortex	present	gold quality	84.41	variant
ENSG00000099284	MACROH2A2	prefrontal cortex	present	gold quality	75.55	variant
ENSG00000099284	MACROH2A2	prefrontal cortex	present	gold quality	83.36	variant
ENSG00000099284	MACROH2A2	prefrontal cortex	present	gold quality	78.29	variant
ENSG00000099284	MACROH2A2	prefrontal cortex	present	gold quality	82.48	variant
ENSG00000099284	MACROH2A2	prefrontal cortex	present	gold quality	86.4	variant
ENSG00000099284	MACROH2A2	prefrontal cortex	present	gold quality	84.29	variant
ENSG00000099284	MACROH2A2	multicellular organism	present	gold quality	79.73	variant
ENSG00000099284	MACROH2A2	testis	present	gold quality	74.8	variant
ENSG00000099284	MACROH2A2	testis	present	gold quality	72.14	variant
ENSG00000099284	MACROH2A2	testis	present	gold quality	72.6	variant
ENSG00000099284	MACROH2A2	testis	present	gold quality	81.71	variant
ENSG00000099284	MACROH2A2	testis	present	gold quality	81.78	variant
ENSG00000099284	MACROH2A2	testis	present	gold quality	81.17	variant
ENSG00000099284	MACROH2A2	testis	present	gold quality	80.39	variant
ENSG00000099284	MACROH2A2	testis	present	gold quality	79.23	variant
ENSG00000099284	MACROH2A2	testis	present	gold quality	81.13	variant
ENSG00000099284	MACROH2A2	testis	present	gold quality	81.0	variant
ENSG00000099284	MACROH2A2	testis	present	gold quality	77.83	variant
ENSG00000099284	MACROH2A2	testis	present	gold quality	81.38	variant
ENSG00000099284	MACROH2A2	testis	present	gold quality	85.77	variant
ENSG00000099284	MACROH2A2	heart	present	gold quality	92.5	variant
ENSG00000099284	MACROH2A2	heart	present	gold quality	87.15	variant
ENSG00000099284	MACROH2A2	heart	present	gold quality	84.99	variant
ENSG00000099284	MACROH2A2	heart	present	gold quality	84.9	variant
ENSG00000099284	MACROH2A2	heart	present	gold quality	84.13	variant
ENSG00000099284	MACROH2A2	heart	present	gold quality	85.22	variant
ENSG00000099284	MACROH2A2	heart	present	gold quality	83.4	variant
ENSG00000099284	MACROH2A2	heart	present	gold quality	83.52	variant
ENSG00000099284	MACROH2A2	heart	present	gold quality	86.27	variant
ENSG00000099284	MACROH2A2	heart	present	gold quality	86.01	variant
ENSG00000099284	MACROH2A2	heart	present	gold quality	83.64	variant
ENSG00000099284	MACROH2A2	heart	present	gold quality	81.19	variant
ENSG00000099284	MACROH2A2	heart	present	gold quality	84.13	variant
ENSG00000099284	MACROH2A2	heart	present	gold quality	84.03	variant
ENSG00000099284	MACROH2A2	heart	present	gold quality	83.19	variant
ENSG00000099284	MACROH2A2	cerebral cortex	present	gold quality	95.7	variant
ENSG00000099284	MACROH2A2	cerebral cortex	present	gold quality	96.95	variant
ENSG00000099284	MACROH2A2	cerebral cortex	present	gold quality	80.35	variant
ENSG00000099284	MACROH2A2	cerebral cortex	present	gold quality	82.92	variant
ENSG00000099284	MACROH2A2	cerebral cortex	present	gold quality	78.86	variant
ENSG00000099284	MACROH2A2	cerebral cortex	present	gold quality	83.71	variant
ENSG00000099284	MACROH2A2	cerebral cortex	present	gold quality	79.76	variant
ENSG00000099284	MACROH2A2	cerebral cortex	present	gold quality	80.89	variant
ENSG00000099284	MACROH2A2	cerebral cortex	present	gold quality	80.67	variant
ENSG00000099284	MACROH2A2	skeletal muscle tissue	present	gold quality	82.14	variant
ENSG00000099284	MACROH2A2	skeletal muscle tissue	present	gold quality	81.93	variant
ENSG00000099284	MACROH2A2	skeletal muscle tissue	present	gold quality	81.85	variant
ENSG00000099284	MACROH2A2	skeletal muscle tissue	present	gold quality	82.46	variant
ENSG00000099284	MACROH2A2	skeletal muscle tissue	present	gold quality	80.86	variant
ENSG00000099284	MACROH2A2	skeletal muscle tissue	present	gold quality	80.88	variant
ENSG00000099284	MACROH2A2	skeletal muscle tissue	present	gold quality	82.61	variant
ENSG00000099284	MACROH2A2	skeletal muscle tissue	present	gold quality	83.12	variant
ENSG00000099284	MACROH2A2	colon	present	gold quality	88.9	variant
ENSG00000099284	MACROH2A2	colon	present	gold quality	84.05	variant
ENSG00000099284	MACROH2A2	colon	present	gold quality	82.09	variant
ENSG00000099284	MACROH2A2	colon	present	gold quality	82.1	variant
ENSG00000099284	MACROH2A2	colon	present	gold quality	81.32	variant
ENSG00000099284	MACROH2A2	colon	present	gold quality	82.38	variant
ENSG00000099284	MACROH2A2	colon	present	gold quality	81.64	variant
ENSG00000099284	MACROH2A2	colon	present	gold quality	79.62	variant
ENSG00000099284	MACROH2A2	colon	present	gold quality	81.62	variant
ENSG00000099284	MACROH2A2	colon	present	gold quality	82.64	variant
ENSG00000099284	MACROH2A2	colon	present	gold quality	86.08	variant
ENSG00000099284	MACROH2A2	colon	present	gold quality	82.56	variant
ENSG00000099284	MACROH2A2	colon	present	gold quality	82.14	variant
ENSG00000099284	MACROH2A2	colon	present	gold quality	81.85	variant
ENSG00000099284	MACROH2A2	colon	present	gold quality	73.3	variant
ENSG00000099284	MACROH2A2	colon	present	gold quality	82.09	variant
ENSG00000099284	MACROH2A2	colon	present	gold quality	82.11	variant
ENSG00000099284	MACROH2A2	colon	present	gold quality	81.94	variant
ENSG00000099284	MACROH2A2	cortex of kidney	present	gold quality	87.27	variant
ENSG00000099284	MACROH2A2	cortex of kidney	present	gold quality	82.8	variant
ENSG00000099284	MACROH2A2	cortex of kidney	present	gold quality	85.57	variant
ENSG00000099284	MACROH2A2	cortex of kidney	present	gold quality	80.52	variant
ENSG00000099284	MACROH2A2	cortex of kidney	present	gold quality	83.98	variant
ENSG00000099284	MACROH2A2	frontal cortex	present	gold quality	92.84	variant
ENSG00000099284	MACROH2A2	frontal cortex	present	gold quality	81.18	variant
ENSG00000099284	MACROH2A2	frontal cortex	present	gold quality	84.64	variant
ENSG00000099284	MACROH2A2	frontal cortex	present	gold quality	78.37	variant
ENSG00000099284	MACROH2A2	frontal cortex	present	gold quality	84.16	variant
ENSG00000099284	MACROH2A2	frontal cortex	present	gold quality	80.05	variant
ENSG00000099284	MACROH2A2	frontal cortex	present	gold quality	80.34	variant
ENSG00000099284	MACROH2A2	frontal cortex	present	gold quality	81.51	variant
ENSG00000099284	MACROH2A2	frontal cortex	present	gold quality	80.49	variant
ENSG00000099284	MACROH2A2	frontal cortex	present	gold quality	79.85	variant
ENSG00000099284	MACROH2A2	frontal cortex	present	gold quality	78.63	variant
ENSG00000099284	MACROH2A2	frontal cortex	present	gold quality	80.39	variant
