canonical_gene_name	ensembl_gene_id	hpa_gene_label	bgee_gene_label	label_match_type
H2AC1	ENSG00000164508	H2AC1	H2AC1	exact
H2AC4	ENSG00000278463	H2AC4	H2AC4	exact
H2AC6	ENSG00000180573	H2AC6	H2AC6	exact
H2AC7	ENSG00000196866	H2AC7	H2AC7	exact
H2AC8	ENSG00000277075	H2AC8	H2AC8	exact
H2AC11	ENSG00000196787	H2AC11	H2AC11	exact
H2AC12	ENSG00000274997	H2AC12	H2AC12	exact
H2AC13	ENSG00000196747	H2AC13	H2AC13	exact
H2AC14	ENSG00000276368	H2AC14	H2AC14	exact
H2AC15	ENSG00000275221	H2AC15	H2AC15	exact
H2AC16	ENSG00000276903	H2AC16	H2AC16	exact
H2AC17	ENSG00000278677	H2AC17	H2AC17	exact
H2AC18	ENSG00000203812	H2AC18	H2AC18	exact
H2AC19	ENSG00000272196	H2AC19	H2AC19	exact
H2AC20	ENSG00000184260	H2AC20	H2AC20	exact
H2AC21	ENSG00000184270	H2AC21	H2AC21	exact
H2AC25	ENSG00000181218	H2AC25	H2AW	alias
