gene_order	gene_number	tissue_order	tissue_letter	canonical_gene_name	ensembl_gene_id	hpa_gene_label	compare_tissue_key	hpa_tissue_label	bgee_tissue_label	match_type	is_underlined	nTPM
1	1	1	A	H2AC1	ENSG00000164508	H2AC1	adipose tissue	adipose tissue	adipose tissue	exact	False	0.0
1	1	2	B	H2AC1	ENSG00000164508	H2AC1	adrenal gland	adrenal gland	adrenal gland	exact	False	0.0
1	1	3	C	H2AC1	ENSG00000164508	H2AC1	amygdala	amygdala	amygdala	exact	False	0.0
1	1	4	D	H2AC1	ENSG00000164508	H2AC1	cerebellum	cerebellum	cerebellum	exact	False	0.0
1	1	5	E	H2AC1	ENSG00000164508	H2AC1	cerebral cortex	cerebral cortex	cerebral cortex	exact	False	0.0
1	1	6	F	H2AC1	ENSG00000164508	H2AC1	colon	colon	colon	exact	False	0.0
1	1	7	G	H2AC1	ENSG00000164508	H2AC1	endometrium	endometrium	endometrium	exact	False	0.0
1	1	8	H	H2AC1	ENSG00000164508	H2AC1	esophagus	esophagus	esophagus	exact	False	0.0
1	1	9	I	H2AC1	ENSG00000164508	H2AC1	fallopian tube	fallopian tube	fallopian tube	exact	False	0.0
1	1	10	J	H2AC1	ENSG00000164508	H2AC1	hypothalamus	hypothalamus	hypothalamus	exact	False	0.0
1	1	11	K	H2AC1	ENSG00000164508	H2AC1	kidney	kidney	kidney	exact	False	0.2
1	1	12	L	H2AC1	ENSG00000164508	H2AC1	liver	liver	liver	exact	False	0.1
1	1	13	M	H2AC1	ENSG00000164508	H2AC1	lung	lung	lung	exact	False	0.0
1	1	14	N	H2AC1	ENSG00000164508	H2AC1	nucleus accumbens	nucleus accumbens	nucleus accumbens	exact	False	0.0
1	1	15	O	H2AC1	ENSG00000164508	H2AC1	ovary	ovary	ovary	exact	False	0.0
1	1	16	P	H2AC1	ENSG00000164508	H2AC1	pancreas	pancreas	pancreas	exact	False	0.0
1	1	17	Q	H2AC1	ENSG00000164508	H2AC1	pituitary gland	pituitary gland	pituitary gland	exact	False	0.0
1	1	18	R	H2AC1	ENSG00000164508	H2AC1	putamen	putamen	putamen	exact	False	0.0
1	1	19	S	H2AC1	ENSG00000164508	H2AC1	retina	retina	retina	exact	False	0.0
1	1	20	T	H2AC1	ENSG00000164508	H2AC1	small intestine	small intestine	small intestine	exact	False	0.0
1	1	21	U	H2AC1	ENSG00000164508	H2AC1	spinal cord	spinal cord	spinal cord	exact	False	0.0
1	1	22	V	H2AC1	ENSG00000164508	H2AC1	spleen	spleen	spleen	exact	False	0.0
1	1	23	W	H2AC1	ENSG00000164508	H2AC1	stomach	stomach	stomach	exact	False	0.0
1	1	24	X	H2AC1	ENSG00000164508	H2AC1	substantia nigra	substantia nigra	substantia nigra	exact	False	0.0
1	1	25	Y	H2AC1	ENSG00000164508	H2AC1	testis	testis	testis	exact	False	5.5
1	1	26	Z	H2AC1	ENSG00000164508	H2AC1	thyroid gland	thyroid gland	thyroid gland	exact	False	0.0
1	1	27	AA	H2AC1	ENSG00000164508	H2AC1	urinary bladder	urinary bladder	urinary bladder	exact	False	0.0
1	1	28	AB	H2AC1	ENSG00000164508	H2AC1	vagina	vagina	vagina	exact	False	0.0
1	1	29	AC	H2AC1	ENSG00000164508	H2AC1	mammary gland	breast	mammary gland	safe_synonym	True	0.0
1	1	30	AD	H2AC1	ENSG00000164508	H2AC1	caudate nucleus	caudate	caudate nucleus	safe_synonym	True	0.0
1	1	31	AE	H2AC1	ENSG00000164508	H2AC1	uterine cervix	cervix	uterine cervix	safe_synonym	True	0.0
1	1	32	AF	H2AC1	ENSG00000164508	H2AC1	myocardium	heart muscle	myocardium	safe_synonym	True	0.0
1	1	33	AG	H2AC1	ENSG00000164508	H2AC1	prostate gland	prostate	prostate gland	safe_synonym	True	0.0
1	1	34	AH	H2AC1	ENSG00000164508	H2AC1	saliva-secreting gland	salivary gland	saliva-secreting gland	safe_synonym	True	0.0
1	1	35	AI	H2AC1	ENSG00000164508	H2AC1	skeletal muscle tissue	skeletal muscle	skeletal muscle tissue	safe_synonym	True	0.0
2	2	1	A	H2AC4	ENSG00000278463	H2AC4	adipose tissue	adipose tissue	adipose tissue	exact	False	0.2
2	2	2	B	H2AC4	ENSG00000278463	H2AC4	adrenal gland	adrenal gland	adrenal gland	exact	False	0.0
2	2	3	C	H2AC4	ENSG00000278463	H2AC4	amygdala	amygdala	amygdala	exact	False	0.1
2	2	4	D	H2AC4	ENSG00000278463	H2AC4	cerebellum	cerebellum	cerebellum	exact	False	0.1
2	2	5	E	H2AC4	ENSG00000278463	H2AC4	cerebral cortex	cerebral cortex	cerebral cortex	exact	False	0.0
2	2	6	F	H2AC4	ENSG00000278463	H2AC4	colon	colon	colon	exact	False	0.2
2	2	7	G	H2AC4	ENSG00000278463	H2AC4	endometrium	endometrium	endometrium	exact	False	0.0
2	2	8	H	H2AC4	ENSG00000278463	H2AC4	esophagus	esophagus	esophagus	exact	False	0.1
2	2	9	I	H2AC4	ENSG00000278463	H2AC4	fallopian tube	fallopian tube	fallopian tube	exact	False	0.0
2	2	10	J	H2AC4	ENSG00000278463	H2AC4	hypothalamus	hypothalamus	hypothalamus	exact	False	0.0
2	2	11	K	H2AC4	ENSG00000278463	H2AC4	kidney	kidney	kidney	exact	False	0.0
2	2	12	L	H2AC4	ENSG00000278463	H2AC4	liver	liver	liver	exact	False	0.1
2	2	13	M	H2AC4	ENSG00000278463	H2AC4	lung	lung	lung	exact	False	0.1
2	2	14	N	H2AC4	ENSG00000278463	H2AC4	nucleus accumbens	nucleus accumbens	nucleus accumbens	exact	False	0.0
2	2	15	O	H2AC4	ENSG00000278463	H2AC4	ovary	ovary	ovary	exact	False	0.0
2	2	16	P	H2AC4	ENSG00000278463	H2AC4	pancreas	pancreas	pancreas	exact	False	0.0
2	2	17	Q	H2AC4	ENSG00000278463	H2AC4	pituitary gland	pituitary gland	pituitary gland	exact	False	0.0
2	2	18	R	H2AC4	ENSG00000278463	H2AC4	putamen	putamen	putamen	exact	False	0.0
2	2	19	S	H2AC4	ENSG00000278463	H2AC4	retina	retina	retina	exact	False	0.0
