Gene ID	Gene name	Anatomical entity name	cell_mean_score	cell_std_score	cell_n	cell_status	Expression score	Expression std	Expression n	raw_row_count	qualifying_row_count
ENSPTRG00000002581	MACROH2A2	Brodmann (1909) area 10	55.76	0.0	1	present_gold	55.76	0.0	1	1	1
ENSPTRG00000002581	MACROH2A2	adult mammalian kidney	55.379999999999995	10.43566480872206	3	present_gold	55.379999999999995	10.43566480872206	3	3	3
ENSPTRG00000002581	MACROH2A2	bone marrow	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSPTRG00000002581	MACROH2A2	cerebellar cortex	73.52000000000001	7.657519180517934	5	present_gold	73.52000000000001	7.657519180517934	5	5	5
ENSPTRG00000002581	MACROH2A2	cerebellum	68.9675	9.519230973840974	4	present_gold	68.9675	9.519230973840974	4	4	4
ENSPTRG00000002581	MACROH2A2	cerebral cortex	65.82	0.0	1	present_gold	65.82	0.0	1	1	1
ENSPTRG00000002581	MACROH2A2	colon	52.83	0.0	1	present_gold	52.83	0.0	1	1	1
ENSPTRG00000002581	MACROH2A2	cortex of kidney	60.599999999999994	1.2445079348883221	2	present_gold	60.599999999999994	1.2445079348883221	2	2	2
ENSPTRG00000002581	MACROH2A2	dorsolateral prefrontal cortex	64.155	0.4454772721475217	2	present_gold	64.155	0.4454772721475217	2	2	2
ENSPTRG00000002581	MACROH2A2	fibroblast	49.445	10.104555903155768	2	present_gold	49.445	10.104555903155768	2	2	2
ENSPTRG00000002581	MACROH2A2	frontal cortex	68.20500000000001	5.536646096690666	2	present_gold	68.20500000000001	5.536646096690666	2	2	2
ENSPTRG00000002581	MACROH2A2	heart	66.804	8.415312234254888	5	present_gold	66.804	8.415312234254888	5	5	5
ENSPTRG00000002581	MACROH2A2	hindlimb stylopod muscle	60.275	1.60513239329346	2	present_gold	60.275	1.60513239329346	2	2	2
ENSPTRG00000002581	MACROH2A2	liver	56.083333333333336	3.829964316630985	6	present_gold	56.083333333333336	3.829964316630985	6	6	6
ENSPTRG00000002581	MACROH2A2	lung	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSPTRG00000002581	MACROH2A2	lymph node	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSPTRG00000002581	MACROH2A2	multicellular organism	61.38	2.531442276647839	2	present_gold	61.38	2.531442276647839	2	2	2
ENSPTRG00000002581	MACROH2A2	pituitary gland	54.01	0.0	1	present_gold	54.01	0.0	1	1	1
ENSPTRG00000002581	MACROH2A2	prefrontal cortex	66.33727272727273	4.180725034988764	11	present_gold	66.33727272727273	4.180725034988764	11	11	11
ENSPTRG00000002581	MACROH2A2	primary visual cortex	63.98	0.8343860018001209	2	present_gold	63.98	0.8343860018001209	2	2	2
ENSPTRG00000002581	MACROH2A2	skeletal muscle tissue	51.91	0.0	1	present_gold	51.91	0.0	1	1	1
ENSPTRG00000002581	MACROH2A2	spleen	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSPTRG00000002581	MACROH2A2	superior frontal gyrus	70.60888888888888	5.353826772609581	9	present_gold	70.60888888888888	5.353826772609581	9	9	9
ENSPTRG00000002581	MACROH2A2	temporal lobe	46.6	0.0	1	present_gold	46.6	0.0	1	1	1
ENSPTRG00000002581	MACROH2A2	testis	70.97	0.7778174593051983	2	present_gold	70.97	0.7778174593051983	2	2	2
ENSPTRG00000002581	MACROH2A2	thymus	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSPTRG00000004369	H2AX	Brodmann (1909) area 10	77.23	0.0	1	present_gold	77.23	0.0	1	1	1
ENSPTRG00000004369	H2AX	adult mammalian kidney	72.31666666666666	7.4222121590084775	3	present_gold	72.31666666666666	7.4222121590084775	3	3	3
ENSPTRG00000004369	H2AX	bone marrow	97.47	0.0	1	present_gold	97.47	0.0	1	1	1
ENSPTRG00000004369	H2AX	cerebellar cortex	87.452	2.1372107991492117	5	present_gold	87.452	2.1372107991492117	5	5	5
ENSPTRG00000004369	H2AX	cerebellum	82.225	5.02318292187998	4	present_gold	82.225	5.02318292187998	4	4	4
