species_name	ensembl_gene_id	gene_name	hgnc_id	vgnc_id	id_type	id_value	class	label
Pan troglodytes	ENSPTRG00000002581	MACROH2A2		VGNC:5462	vgnc_id	VGNC:5462	variant	MACROH2A2:VGNC:5462
Pan troglodytes	ENSPTRG00000004369	H2AX		VGNC:12576	vgnc_id	VGNC:12576	variant	H2AX:VGNC:12576
Pan troglodytes	ENSPTRG00000004723	H2AJ		VGNC:52069	vgnc_id	VGNC:52069	variant	H2AJ:VGNC:52069
Pan troglodytes	ENSPTRG00000016312	H2AZ1		VGNC:83681	vgnc_id	VGNC:83681	variant	H2AZ1:VGNC:83681
Pan troglodytes	ENSPTRG00000017256	MACROH2A1		VGNC:4025	vgnc_id	VGNC:4025	variant	MACROH2A1:VGNC:4025
Pan troglodytes	ENSPTRG00000017789	H2AC1		VGNC:14358	vgnc_id	VGNC:14358	clustered	H2AC1:VGNC:14358
Pan troglodytes	ENSPTRG00000019153	H2AZ2		VGNC:14019	vgnc_id	VGNC:14019	variant	H2AZ2:VGNC:14019
Pan troglodytes	ENSPTRG00000021794	H2AP		VGNC:1369	vgnc_id	VGNC:1369	variant	H2AP:VGNC:1369
Pan troglodytes	ENSPTRG00000030411	H2AC20		VGNC:14365	vgnc_id	VGNC:14365	clustered	H2AC20:VGNC:14365
Pan troglodytes	ENSPTRG00000043682	H2AC6		VGNC:83635	vgnc_id	VGNC:83635	clustered	H2AC6:VGNC:83635
Pan troglodytes	ENSPTRG00000045582	H2AC8		VGNC:14372	vgnc_id	VGNC:14372	clustered	H2AC8:VGNC:14372
Pan troglodytes	ENSPTRG00000045889	H2AC14		VGNC:83658	vgnc_id	VGNC:83658	clustered	H2AC14:VGNC:83658
Pan troglodytes	ENSPTRG00000046303	H2AC19		VGNC:83679	vgnc_id	VGNC:83679	clustered	H2AC19:VGNC:83679
Pan troglodytes	ENSPTRG00000047219	H2AC21		VGNC:14364	vgnc_id	VGNC:14364	clustered	H2AC21:VGNC:14364
Pan troglodytes	ENSPTRG00000047640	H2AC25		VGNC:83685	vgnc_id	VGNC:83685	clustered	H2AC25:VGNC:83685
Pan troglodytes	ENSPTRG00045048981	H2AP		VGNC:1369	vgnc_id	VGNC:1369	variant	H2AP:VGNC:1369#2
