Gene ID	Gene name	Anatomical entity name	Expression	Call quality	Expression score
ENSPTRG00000002581	MACROH2A2	fibroblast	present	gold quality	42.3
ENSPTRG00000002581	MACROH2A2	fibroblast	present	gold quality	56.59
ENSPTRG00000002581	MACROH2A2	pituitary gland	present	gold quality	54.01
ENSPTRG00000002581	MACROH2A2	adult mammalian kidney	present	gold quality	61.37
ENSPTRG00000002581	MACROH2A2	adult mammalian kidney	present	gold quality	43.33
ENSPTRG00000002581	MACROH2A2	adult mammalian kidney	present	gold quality	61.44
ENSPTRG00000002581	MACROH2A2	prefrontal cortex	present	gold quality	65.27
ENSPTRG00000002581	MACROH2A2	prefrontal cortex	present	gold quality	70.02
ENSPTRG00000002581	MACROH2A2	prefrontal cortex	present	gold quality	60.76
ENSPTRG00000002581	MACROH2A2	prefrontal cortex	present	gold quality	64.58
ENSPTRG00000002581	MACROH2A2	prefrontal cortex	present	gold quality	65.11
ENSPTRG00000002581	MACROH2A2	prefrontal cortex	present	gold quality	64.06
ENSPTRG00000002581	MACROH2A2	prefrontal cortex	present	gold quality	65.58
ENSPTRG00000002581	MACROH2A2	prefrontal cortex	present	gold quality	68.55
ENSPTRG00000002581	MACROH2A2	prefrontal cortex	present	gold quality	72.32
ENSPTRG00000002581	MACROH2A2	prefrontal cortex	present	gold quality	72.96
ENSPTRG00000002581	MACROH2A2	prefrontal cortex	present	gold quality	60.5
ENSPTRG00000002581	MACROH2A2	multicellular organism	present	gold quality	63.17
ENSPTRG00000002581	MACROH2A2	multicellular organism	present	gold quality	59.59
ENSPTRG00000002581	MACROH2A2	testis	present	gold quality	71.52
ENSPTRG00000002581	MACROH2A2	testis	present	gold quality	70.42
ENSPTRG00000002581	MACROH2A2	heart	present	gold quality	68.76
ENSPTRG00000002581	MACROH2A2	heart	present	gold quality	71.49
ENSPTRG00000002581	MACROH2A2	heart	present	gold quality	51.89
ENSPTRG00000002581	MACROH2A2	heart	present	gold quality	71.59
ENSPTRG00000002581	MACROH2A2	heart	present	gold quality	70.29
ENSPTRG00000002581	MACROH2A2	cerebral cortex	present	gold quality	65.82
ENSPTRG00000002581	MACROH2A2	skeletal muscle tissue	present	gold quality	51.91
ENSPTRG00000002581	MACROH2A2	colon	present	gold quality	52.83
ENSPTRG00000002581	MACROH2A2	cortex of kidney	present	gold quality	61.48
ENSPTRG00000002581	MACROH2A2	cortex of kidney	present	gold quality	59.72
ENSPTRG00000002581	MACROH2A2	frontal cortex	present	gold quality	64.29
ENSPTRG00000002581	MACROH2A2	frontal cortex	present	gold quality	72.12
ENSPTRG00000002581	MACROH2A2	temporal lobe	present	gold quality	46.6
ENSPTRG00000002581	MACROH2A2	cerebellum	present	gold quality	69.39
ENSPTRG00000002581	MACROH2A2	cerebellum	present	gold quality	72.87
ENSPTRG00000002581	MACROH2A2	cerebellum	present	gold quality	55.69
ENSPTRG00000002581	MACROH2A2	cerebellum	present	gold quality	77.92
ENSPTRG00000002581	MACROH2A2	liver	present	gold quality	58.33
ENSPTRG00000002581	MACROH2A2	liver	present	gold quality	54.63
ENSPTRG00000002581	MACROH2A2	liver	present	gold quality	61.73
ENSPTRG00000002581	MACROH2A2	liver	present	gold quality	57.23
ENSPTRG00000002581	MACROH2A2	liver	present	gold quality	50.84
ENSPTRG00000002581	MACROH2A2	liver	present	gold quality	53.74
ENSPTRG00000002581	MACROH2A2	cerebellar cortex	present	gold quality	72.9
ENSPTRG00000002581	MACROH2A2	cerebellar cortex	present	gold quality	67.5
ENSPTRG00000002581	MACROH2A2	cerebellar cortex	present	gold quality	68.94
ENSPTRG00000002581	MACROH2A2	cerebellar cortex	present	gold quality	86.68
ENSPTRG00000002581	MACROH2A2	cerebellar cortex	present	gold quality	71.58
ENSPTRG00000002581	MACROH2A2	primary visual cortex	present	gold quality	64.57
ENSPTRG00000002581	MACROH2A2	primary visual cortex	present	gold quality	63.39
ENSPTRG00000002581	MACROH2A2	superior frontal gyrus	present	gold quality	69.06
ENSPTRG00000002581	MACROH2A2	superior frontal gyrus	present	gold quality	68.22
ENSPTRG00000002581	MACROH2A2	superior frontal gyrus	present	gold quality	64.2
ENSPTRG00000002581	MACROH2A2	superior frontal gyrus	present	gold quality	67.52
ENSPTRG00000002581	MACROH2A2	superior frontal gyrus	present	gold quality	66.95
ENSPTRG00000002581	MACROH2A2	superior frontal gyrus	present	gold quality	66.99
ENSPTRG00000002581	MACROH2A2	superior frontal gyrus	present	gold quality	78.04
ENSPTRG00000002581	MACROH2A2	superior frontal gyrus	present	gold quality	77.83
ENSPTRG00000002581	MACROH2A2	superior frontal gyrus	present	gold quality	76.67
ENSPTRG00000002581	MACROH2A2	hindlimb stylopod muscle	present	gold quality	59.14
ENSPTRG00000002581	MACROH2A2	hindlimb stylopod muscle	present	gold quality	61.41
ENSPTRG00000002581	MACROH2A2	dorsolateral prefrontal cortex	present	gold quality	64.47
ENSPTRG00000002581	MACROH2A2	dorsolateral prefrontal cortex	present	gold quality	63.84
ENSPTRG00000002581	MACROH2A2	Brodmann (1909) area 10	present	gold quality	55.76
ENSPTRG00000004369	H2AX	fibroblast	present	gold quality	88.33
ENSPTRG00000004369	H2AX	fibroblast	present	gold quality	90.13
ENSPTRG00000004369	H2AX	pituitary gland	present	gold quality	57.13
ENSPTRG00000004369	H2AX	lymph node	present	gold quality	86.26
ENSPTRG00000004369	H2AX	adult mammalian kidney	present	gold quality	76.38
ENSPTRG00000004369	H2AX	adult mammalian kidney	present	gold quality	63.75
ENSPTRG00000004369	H2AX	adult mammalian kidney	present	gold quality	76.82
ENSPTRG00000004369	H2AX	prefrontal cortex	present	gold quality	85.21
ENSPTRG00000004369	H2AX	prefrontal cortex	present	gold quality	84.09
ENSPTRG00000004369	H2AX	prefrontal cortex	present	gold quality	79.67
ENSPTRG00000004369	H2AX	prefrontal cortex	present	gold quality	86.55
ENSPTRG00000004369	H2AX	prefrontal cortex	present	gold quality	85.39
ENSPTRG00000004369	H2AX	prefrontal cortex	present	gold quality	85.36
ENSPTRG00000004369	H2AX	prefrontal cortex	present	gold quality	85.48
ENSPTRG00000004369	H2AX	prefrontal cortex	present	gold quality	86.43
ENSPTRG00000004369	H2AX	prefrontal cortex	present	gold quality	83.02
ENSPTRG00000004369	H2AX	prefrontal cortex	present	gold quality	80.42
ENSPTRG00000004369	H2AX	prefrontal cortex	present	gold quality	86.33
ENSPTRG00000004369	H2AX	multicellular organism	present	gold quality	83.95
ENSPTRG00000004369	H2AX	multicellular organism	present	gold quality	81.92
ENSPTRG00000004369	H2AX	testis	present	gold quality	73.09
ENSPTRG00000004369	H2AX	testis	present	gold quality	80.86
ENSPTRG00000004369	H2AX	heart	present	gold quality	79.27
ENSPTRG00000004369	H2AX	heart	present	gold quality	69.8
ENSPTRG00000004369	H2AX	heart	present	gold quality	76.91
ENSPTRG00000004369	H2AX	heart	present	gold quality	65.58
ENSPTRG00000004369	H2AX	heart	present	gold quality	70.23
ENSPTRG00000004369	H2AX	cerebral cortex	present	gold quality	85.84
ENSPTRG00000004369	H2AX	skeletal muscle tissue	present	gold quality	74.37
ENSPTRG00000004369	H2AX	colon	present	gold quality	61.1
