species_name	ensembl_gene_id	gene_name	hgnc_id	vgnc_id	id_type	id_value	class	label
Sus scrofa	ENSSSCG00000009178	H2AZ1		VGNC:109805	vgnc_id	VGNC:109805	variant	H2AZ1:VGNC:109805
Sus scrofa	ENSSSCG00000014307	MACROH2A1		VGNC:109808	vgnc_id	VGNC:109808	variant	MACROH2A1:VGNC:109808
Sus scrofa	ENSSSCG00000016738	H2AZ2		VGNC:109806	vgnc_id	VGNC:109806	variant	H2AZ2:VGNC:109806
Sus scrofa	ENSSSCG00000031713	MACROH2A2		VGNC:89937	vgnc_id	VGNC:89937	variant	MACROH2A2:VGNC:89937
Sus scrofa	ENSSSCG00000032609	H2AC14		VGNC:109791	vgnc_id	VGNC:109791	clustered	H2AC14:VGNC:109791
Sus scrofa	ENSSSCG00000033451	H2AC11		VGNC:109787	vgnc_id	VGNC:109787	clustered	H2AC11:VGNC:109787
Sus scrofa	ENSSSCG00000037533	H2AC21		VGNC:109799	vgnc_id	VGNC:109799	clustered	H2AC21:VGNC:109799
Sus scrofa	ENSSSCG00000039307	H2AJ		VGNC:109801	vgnc_id	VGNC:109801	variant	H2AJ:VGNC:109801
Sus scrofa	ENSSSCG00000042208	H2AX		VGNC:109807	vgnc_id	VGNC:109807	variant	H2AX:VGNC:109807
Sus scrofa	ENSSSCG00000046222	H2AC17		VGNC:109794	vgnc_id	VGNC:109794	clustered	H2AC17:VGNC:109794
Sus scrofa	ENSSSCG00000047716	H2AC12		VGNC:109792	vgnc_id	VGNC:109792	clustered	H2AC12:VGNC:109792
Sus scrofa	ENSSSCG00000047900	H2AC25		VGNC:109800	vgnc_id	VGNC:109800	clustered	H2AC25:VGNC:109800
Sus scrofa	ENSSSCG00000055323	H2AL1Q		VGNC:109802	vgnc_id	VGNC:109802	variant	H2AL1Q:VGNC:109802
