display_order	presentation_number	ensembl_gene_id	gene_name	label	class	tissue	cell_mean_score	cell_std_score	cell_n	cell_status
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	Ammon's horn	32.03666666666667	4.499437001818486	3	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	Brodmann (1909) area 9	31.15333333333333	3.258072027032754	3	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	C1 segment of cervical spinal cord	29.5	2.44	3	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	adenohypophysis	50.64333333333334	8.547428463188991	3	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	adipose tissue	28.53	0.2969848480983486	2	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	adrenal gland	38.16666666666666	18.19878384215092	3	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	adrenal tissue	0.0	0.0	0	observed_zero
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	adult mammalian kidney	42.17333333333334	23.337946210695865	3	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	amygdala	32.7775	5.221943284512641	4	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	anterior cingulate cortex	33.474999999999994	6.205086623085933	4	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	apex of heart	63.94	0.0	1	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	ascending aorta	31.76875	4.3699769123286805	8	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	blood	49.376875	6.890113418273075	16	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	body of pancreas	33.2775	5.579733416571084	4	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	body of stomach	30.743333333333336	3.1754474750287827	6	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	body of uterus	30.57	5.501290757631341	2	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	bone marrow	49.68	0.0	1	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	bone marrow cell	0.0	0.0	0	observed_zero
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	brain	27.676666666666662	0.3496188400720605	3	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	calcaneal tendon	0.0	0.0	0	observed_zero
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	caudate nucleus	29.4975	6.733713066850016	4	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	cerebellar cortex	26.275	2.7506453788156704	2	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	cerebellar hemisphere	28.68285714285714	5.542161775233303	7	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	cerebellum	24.56	1.6546298679765212	2	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	cerebral cortex	28.92	0.0	1	present_gold
