axis	gene_number	canonical_gene_name	hpa_gene_label	bgee_gene_label	legend_label	class	label_match_type	ensembl_gene_id
OY	1	H2AC1	H2AC1	H2AC1	H2AC1	clustered	exact	ENSG00000164508
OY	2	H2AC4	H2AC4	H2AC4	H2AC4	clustered	exact	ENSG00000278463
OY	3	H2AC6	H2AC6	H2AC6	H2AC6	clustered	exact	ENSG00000180573
OY	4	H2AC7	H2AC7	H2AC7	H2AC7	clustered	exact	ENSG00000196866
OY	5	H2AC8	H2AC8	H2AC8	H2AC8	clustered	exact	ENSG00000277075
OY	6	H2AC11	H2AC11	H2AC11	H2AC11	clustered	exact	ENSG00000196787
OY	7	H2AC12	H2AC12	H2AC12	H2AC12	clustered	exact	ENSG00000274997
OY	8	H2AC13	H2AC13	H2AC13	H2AC13	clustered	exact	ENSG00000196747
OY	9	H2AC14	H2AC14	H2AC14	H2AC14	clustered	exact	ENSG00000276368
OY	10	H2AC15	H2AC15	H2AC15	H2AC15	clustered	exact	ENSG00000275221
OY	11	H2AC16	H2AC16	H2AC16	H2AC16	clustered	exact	ENSG00000276903
OY	12	H2AC17	H2AC17	H2AC17	H2AC17	clustered	exact	ENSG00000278677
OY	13	H2AC18	H2AC18	H2AC18	H2AC18	clustered	exact	ENSG00000203812
OY	14	H2AC19	H2AC19	H2AC19	H2AC19	clustered	exact	ENSG00000272196
OY	15	H2AC20	H2AC20	H2AC20	H2AC20	clustered	exact	ENSG00000184260
OY	16	H2AC21	H2AC21	H2AC21	H2AC21	clustered	exact	ENSG00000184270
OY	17	H2AC25	H2AC25	H2AW	H2AC25 [Bgee: H2AW]	clustered	alias	ENSG00000181218
