axis	tissue_letter	tissue_name
OX	A	Brodmann (1909) area 10
OX	B	adult mammalian kidney
OX	C	bone marrow
OX	D	cerebellar cortex
OX	E	cerebellum
OX	F	cerebral cortex
OX	G	colon
OX	H	cortex of kidney
OX	I	dorsolateral prefrontal cortex
OX	J	frontal cortex
OX	K	heart
OX	L	hindlimb stylopod muscle
OX	M	liver
OX	N	lung
OX	O	lymph node
OX	P	multicellular organism
OX	Q	pituitary gland
OX	R	prefrontal cortex
OX	S	primary visual cortex
OX	T	skeletal muscle tissue
OX	U	spleen
OX	V	superior frontal gyrus
OX	W	temporal lobe
OX	X	testis
OX	Y	thymus
