anatomical_entity_name	observed_gene_count	display_gene_count	fill_rate	threshold	kept	panel
Ammon's horn	29	29	1.0	0.7	True	all
Brodmann (1909) area 9	29	29	1.0	0.7	True	all
C1 segment of cervical spinal cord	29	29	1.0	0.7	True	all
adenohypophysis	29	29	1.0	0.7	True	all
adipose tissue	29	29	1.0	0.7	True	all
adrenal gland	29	29	1.0	0.7	True	all
adrenal tissue	29	29	1.0	0.7	True	all
adult mammalian kidney	29	29	1.0	0.7	True	all
amygdala	29	29	1.0	0.7	True	all
anterior cingulate cortex	29	29	1.0	0.7	True	all
apex of heart	29	29	1.0	0.7	True	all
ascending aorta	29	29	1.0	0.7	True	all
blood	29	29	1.0	0.7	True	all
body of pancreas	29	29	1.0	0.7	True	all
body of stomach	29	29	1.0	0.7	True	all
body of uterus	29	29	1.0	0.7	True	all
bone marrow	29	29	1.0	0.7	True	all
bone marrow cell	29	29	1.0	0.7	True	all
brain	29	29	1.0	0.7	True	all
calcaneal tendon	29	29	1.0	0.7	True	all
caudate nucleus	29	29	1.0	0.7	True	all
cerebellar cortex	29	29	1.0	0.7	True	all
cerebellar hemisphere	29	29	1.0	0.7	True	all
cerebellum	29	29	1.0	0.7	True	all
colon	29	29	1.0	0.7	True	all
colonic epithelium	29	29	1.0	0.7	True	all
corpus callosum	29	29	1.0	0.7	True	all
cortex of kidney	29	29	1.0	0.7	True	all
cortical plate	29	29	1.0	0.7	True	all
descending thoracic aorta	29	29	1.0	0.7	True	all
dorsolateral prefrontal cortex	29	29	1.0	0.7	True	all
duodenum	29	29	1.0	0.7	True	all
ectocervix	29	29	1.0	0.7	True	all
endocervix	29	29	1.0	0.7	True	all
endometrium	29	29	1.0	0.7	True	all
esophagogastric junction muscularis propria	29	29	1.0	0.7	True	all
esophagus	29	29	1.0	0.7	True	all
esophagus mucosa	29	29	1.0	0.7	True	all
frontal cortex	29	29	1.0	0.7	True	all
fundus of stomach	29	29	1.0	0.7	True	all
gall bladder	29	29	1.0	0.7	True	all
ganglionic eminence	29	29	1.0	0.7	True	all
gastrocnemius	29	29	1.0	0.7	True	all
granulocyte	29	29	1.0	0.7	True	all
heart	29	29	1.0	0.7	True	all
heart left ventricle	29	29	1.0	0.7	True	all
hindlimb stylopod muscle	29	29	1.0	0.7	True	all
hypothalamus	29	29	1.0	0.7	True	all
intestine	29	29	1.0	0.7	True	all
islet of Langerhans	29	29	1.0	0.7	True	all
kidney	29	29	1.0	0.7	True	all
left adrenal gland	29	29	1.0	0.7	True	all
left adrenal gland cortex	29	29	1.0	0.7	True	all
left coronary artery	29	29	1.0	0.7	True	all
left lobe of thyroid gland	29	29	1.0	0.7	True	all
left ovary	29	29	1.0	0.7	True	all
left testis	29	29	1.0	0.7	True	all
left uterine tube	29	29	1.0	0.7	True	all
leukocyte	29	29	1.0	0.7	True	all
liver	29	29	1.0	0.7	True	all
lower esophagus	29	29	1.0	0.7	True	all
lower esophagus mucosa	29	29	1.0	0.7	True	all
lower esophagus muscularis layer	29	29	1.0	0.7	True	all
lung	29	29	1.0	0.7	True	all
lymph node	29	29	1.0	0.7	True	all
metanephros cortex	29	29	1.0	0.7	True	all
minor salivary gland	29	29	1.0	0.7	True	all
monocyte	29	29	1.0	0.7	True	all
mucosa of stomach	29	29	1.0	0.7	True	all
mucosa of transverse colon	29	29	1.0	0.7	True	all
