anatomical_entity_name	observed_gene_count	display_gene_count	fill_rate	threshold	kept	panel
Ammon's horn	17	17	1.0	0.7	True	clustered
Brodmann (1909) area 9	17	17	1.0	0.7	True	clustered
C1 segment of cervical spinal cord	17	17	1.0	0.7	True	clustered
adenohypophysis	17	17	1.0	0.7	True	clustered
adipose tissue	17	17	1.0	0.7	True	clustered
adrenal gland	17	17	1.0	0.7	True	clustered
adrenal tissue	17	17	1.0	0.7	True	clustered
adult mammalian kidney	17	17	1.0	0.7	True	clustered
amygdala	17	17	1.0	0.7	True	clustered
anterior cingulate cortex	17	17	1.0	0.7	True	clustered
apex of heart	17	17	1.0	0.7	True	clustered
ascending aorta	17	17	1.0	0.7	True	clustered
blood	17	17	1.0	0.7	True	clustered
body of pancreas	17	17	1.0	0.7	True	clustered
body of stomach	17	17	1.0	0.7	True	clustered
body of uterus	17	17	1.0	0.7	True	clustered
bone marrow	17	17	1.0	0.7	True	clustered
bone marrow cell	17	17	1.0	0.7	True	clustered
brain	17	17	1.0	0.7	True	clustered
calcaneal tendon	17	17	1.0	0.7	True	clustered
caudate nucleus	17	17	1.0	0.7	True	clustered
cerebellar cortex	17	17	1.0	0.7	True	clustered
cerebellar hemisphere	17	17	1.0	0.7	True	clustered
cerebellum	17	17	1.0	0.7	True	clustered
cerebral cortex	17	17	1.0	0.7	True	clustered
colon	17	17	1.0	0.7	True	clustered
colonic epithelium	17	17	1.0	0.7	True	clustered
corpus callosum	17	17	1.0	0.7	True	clustered
cortex of kidney	17	17	1.0	0.7	True	clustered
cortical plate	17	17	1.0	0.7	True	clustered
descending thoracic aorta	17	17	1.0	0.7	True	clustered
dorsolateral prefrontal cortex	17	17	1.0	0.7	True	clustered
duodenum	17	17	1.0	0.7	True	clustered
ectocervix	17	17	1.0	0.7	True	clustered
endocervix	17	17	1.0	0.7	True	clustered
endometrium	17	17	1.0	0.7	True	clustered
esophagogastric junction muscularis propria	17	17	1.0	0.7	True	clustered
esophagus	17	17	1.0	0.7	True	clustered
esophagus mucosa	17	17	1.0	0.7	True	clustered
frontal cortex	17	17	1.0	0.7	True	clustered
fundus of stomach	17	17	1.0	0.7	True	clustered
gall bladder	17	17	1.0	0.7	True	clustered
ganglionic eminence	17	17	1.0	0.7	True	clustered
gastrocnemius	17	17	1.0	0.7	True	clustered
granulocyte	17	17	1.0	0.7	True	clustered
heart	17	17	1.0	0.7	True	clustered
heart left ventricle	17	17	1.0	0.7	True	clustered
hindlimb stylopod muscle	17	17	1.0	0.7	True	clustered
hypothalamus	17	17	1.0	0.7	True	clustered
intestine	17	17	1.0	0.7	True	clustered
