anatomical_entity_name	observed_gene_count	display_gene_count	fill_rate	threshold	kept	panel
Ammon's horn	9	9	1.0	0.7	True	all
adrenal gland	9	9	1.0	0.7	True	all
adult mammalian kidney	9	9	1.0	0.7	True	all
animal zygote	9	9	1.0	0.7	True	all
bone marrow	9	9	1.0	0.7	True	all
brain	9	9	1.0	0.7	True	all
cerebellar cortex	9	9	1.0	0.7	True	all
cerebellum	9	9	1.0	0.7	True	all
cerebral cortex	9	9	1.0	0.7	True	all
colon	9	9	1.0	0.7	True	all
cortex of kidney	9	9	1.0	0.7	True	all
cortical plate	9	9	1.0	0.7	True	all
dentate gyrus of hippocampal formation granule cell	9	9	1.0	0.7	True	all
duodenum	9	9	1.0	0.7	True	all
ectoplacental cone	9	9	1.0	0.7	True	all
embryonic brain	9	9	1.0	0.7	True	all
embryonic facial prominence	9	9	1.0	0.7	True	all
embryonic post-anal tail	9	9	1.0	0.7	True	all
epiblast (generic)	9	9	1.0	0.7	True	all
esophagus	9	9	1.0	0.7	True	all
forebrain	9	9	1.0	0.7	True	all
forelimb bud	9	9	1.0	0.7	True	all
frontal cortex	9	9	1.0	0.7	True	all
ganglionic eminence	9	9	1.0	0.7	True	all
granulocyte	9	9	1.0	0.7	True	all
heart	9	9	1.0	0.7	True	all
hindbrain	9	9	1.0	0.7	True	all
hindlimb bud	9	9	1.0	0.7	True	all
hindlimb stylopod muscle	9	9	1.0	0.7	True	all
hypothalamus	9	9	1.0	0.7	True	all
ileum	9	9	1.0	0.7	True	all
intestine	9	9	1.0	0.7	True	all
islet of Langerhans	9	9	1.0	0.7	True	all
jejunum	9	9	1.0	0.7	True	all
kidney	9	9	1.0	0.7	True	all
lens of camera-type eye	9	9	1.0	0.7	True	all
limb	9	9	1.0	0.7	True	all
lip	9	9	1.0	0.7	True	all
liver	9	9	1.0	0.7	True	all
lung	9	9	1.0	0.7	True	all
midbrain	9	9	1.0	0.7	True	all
multicellular organism	9	9	1.0	0.7	True	all
muscle tissue	9	9	1.0	0.7	True	all
neural tube	9	9	1.0	0.7	True	all
olfactory bulb	9	9	1.0	0.7	True	all
ovary	9	9	1.0	0.7	True	all
pancreas	9	9	1.0	0.7	True	all
placenta	9	9	1.0	0.7	True	all
primary oocyte	9	9	1.0	0.7	True	all
primary visual cortex	9	9	1.0	0.7	True	all
proximal tubule	9	9	1.0	0.7	True	all
quadriceps femoris	9	9	1.0	0.7	True	all
retinal neural layer	9	9	1.0	0.7	True	all
right kidney	9	9	1.0	0.7	True	all
secondary oocyte	9	9	1.0	0.7	True	all
skeletal muscle tissue	9	9	1.0	0.7	True	all
spermatid	9	9	1.0	0.7	True	all
spermatocyte	9	9	1.0	0.7	True	all
spleen	9	9	1.0	0.7	True	all
