anatomical_entity_name	observed_gene_count	display_gene_count	fill_rate	threshold	kept	panel
Ammon's horn	7	7	1.0	0.7	True	variants
adrenal gland	7	7	1.0	0.7	True	variants
adult mammalian kidney	7	7	1.0	0.7	True	variants
animal zygote	7	7	1.0	0.7	True	variants
bone marrow	7	7	1.0	0.7	True	variants
brain	7	7	1.0	0.7	True	variants
cerebellar cortex	7	7	1.0	0.7	True	variants
cerebellum	7	7	1.0	0.7	True	variants
cerebral cortex	7	7	1.0	0.7	True	variants
colon	7	7	1.0	0.7	True	variants
cortex of kidney	7	7	1.0	0.7	True	variants
cortical plate	7	7	1.0	0.7	True	variants
dentate gyrus of hippocampal formation granule cell	7	7	1.0	0.7	True	variants
duodenum	7	7	1.0	0.7	True	variants
ectoplacental cone	7	7	1.0	0.7	True	variants
embryonic brain	7	7	1.0	0.7	True	variants
embryonic facial prominence	7	7	1.0	0.7	True	variants
embryonic post-anal tail	7	7	1.0	0.7	True	variants
epiblast (generic)	7	7	1.0	0.7	True	variants
esophagus	7	7	1.0	0.7	True	variants
forebrain	7	7	1.0	0.7	True	variants
forelimb bud	7	7	1.0	0.7	True	variants
frontal cortex	7	7	1.0	0.7	True	variants
ganglionic eminence	7	7	1.0	0.7	True	variants
granulocyte	7	7	1.0	0.7	True	variants
heart	7	7	1.0	0.7	True	variants
hindbrain	7	7	1.0	0.7	True	variants
hindlimb bud	7	7	1.0	0.7	True	variants
hindlimb stylopod muscle	7	7	1.0	0.7	True	variants
hypothalamus	7	7	1.0	0.7	True	variants
ileum	7	7	1.0	0.7	True	variants
intestine	7	7	1.0	0.7	True	variants
islet of Langerhans	7	7	1.0	0.7	True	variants
jejunum	7	7	1.0	0.7	True	variants
kidney	7	7	1.0	0.7	True	variants
lens of camera-type eye	7	7	1.0	0.7	True	variants
limb	7	7	1.0	0.7	True	variants
lip	7	7	1.0	0.7	True	variants
liver	7	7	1.0	0.7	True	variants
lung	7	7	1.0	0.7	True	variants
midbrain	7	7	1.0	0.7	True	variants
multicellular organism	7	7	1.0	0.7	True	variants
muscle tissue	7	7	1.0	0.7	True	variants
neural tube	7	7	1.0	0.7	True	variants
olfactory bulb	7	7	1.0	0.7	True	variants
ovary	7	7	1.0	0.7	True	variants
pancreas	7	7	1.0	0.7	True	variants
placenta	7	7	1.0	0.7	True	variants
primary oocyte	7	7	1.0	0.7	True	variants
primary visual cortex	7	7	1.0	0.7	True	variants
proximal tubule	7	7	1.0	0.7	True	variants
quadriceps femoris	7	7	1.0	0.7	True	variants
retinal neural layer	7	7	1.0	0.7	True	variants
right kidney	7	7	1.0	0.7	True	variants
secondary oocyte	7	7	1.0	0.7	True	variants
skeletal muscle tissue	7	7	1.0	0.7	True	variants
spermatid	7	7	1.0	0.7	True	variants
spermatocyte	7	7	1.0	0.7	True	variants
spleen	7	7	1.0	0.7	True	variants
stomach	7	7	1.0	0.7	True	variants
striatum	7	7	1.0	0.7	True	variants
superior frontal gyrus	7	7	1.0	0.7	True	variants
testis	7	7	1.0	0.7	True	variants
thymus	7	7	1.0	0.7	True	variants
undifferentiated genital tubercle	7	7	1.0	0.7	True	variants
urinary bladder	7	7	1.0	0.7	True	variants
uterus	7	7	1.0	0.7	True	variants
ventricular zone	7	7	1.0	0.7	True	variants
white adipose tissue	7	7	1.0	0.7	True	variants
yolk sac	7	7	1.0	0.7	True	variants
zone of skin	7	7	1.0	0.7	True	variants
1st arch mandibular component	2	7	0.2857142857142857	0.7	False	variants
1st arch maxillary component	2	7	0.2857142857142857	0.7	False	variants
CA1 field of hippocampus	2	7	0.2857142857142857	0.7	False	variants
abdominal wall	2	7	0.2857142857142857	0.7	False	variants
adipose tissue	2	7	0.2857142857142857	0.7	False	variants
amygdala	2	7	0.2857142857142857	0.7	False	variants
anterior amygdaloid area	2	7	0.2857142857142857	0.7	False	variants
aorta	2	7	0.2857142857142857	0.7	False	variants
aorta tunica adventitia	2	7	0.2857142857142857	0.7	False	variants
aorta tunica media	2	7	0.2857142857142857	0.7	False	variants
aortic valve	2	7	0.2857142857142857	0.7	False	variants
arcuate nucleus of hypothalamus	2	7	0.2857142857142857	0.7	False	variants
ascending aorta	2	7	0.2857142857142857	0.7	False	variants
associated mesenchyme of midgut	2	7	0.2857142857142857	0.7	False	variants
