gene_order	gene_number	canonical_gene_name	hpa_gene_label	bgee_gene_label	comparable_cell_count	mean_abs_log_diff	median_abs_log_diff	max_abs_log_diff	mean_abs_raw_diff	median_abs_raw_diff	max_abs_raw_diff	safe_synonym_cell_count	top_compare_tissue_key	top_hpa_tissue_label	top_bgee_tissue_label	top_match_type	top_is_underlined	top_abs_diff_log	top_abs_diff_raw	top_dominance_label
16	16	H2AC21	H2AC21	H2AC21	31	1.519783425454217	1.5324889664792543	1.8861829695328853	40.03907270865335	36.71	83.54	5	kidney	kidney	kidney	exact	False	1.8861829695328853	83.54	bgee_higher
12	12	H2AC17	H2AC17	H2AC17	31	1.4466665461799286	1.5156807074438714	1.844528948348938	43.27430179318889	43.65	82.69	5	kidney	kidney	kidney	exact	False	1.844528948348938	82.69	bgee_higher
8	8	H2AC13	H2AC13	H2AC13	32	1.4413855565989968	1.514521080361382	1.8825504096066261	39.39075297619048	38.18571428571428	82.83500000000001	5	kidney	kidney	kidney	exact	False	1.8825504096066261	82.83500000000001	bgee_higher
10	10	H2AC15	H2AC15	H2AC15	32	1.4373387681469785	1.4798535837488374	1.6496824889891704	47.76014606956565	46.94825	71.86999999999999	5	stomach	stomach	stomach	exact	False	1.6496824889891704	61.09	bgee_higher
6	6	H2AC11	H2AC11	H2AC11	34	1.4080891112699623	1.5771357872601905	1.8405964812510283	44.81037078233186	48.63522727272727	75.106	7	ovary	ovary	ovary	exact	False	1.8405964812510283	75.106	bgee_higher
4	4	H2AC7	H2AC7	H2AC7	31	1.336440553697721	1.433769833924866	1.7269944867585036	40.049959142112364	39.225	83.7325	5	kidney	kidney	kidney	exact	False	1.7269944867585036	83.7325	bgee_higher
11	11	H2AC16	H2AC16	H2AC16	31	1.3098001553179024	1.4888790692043958	1.8641603540155849	34.68662528510916	33.61	79.355	5	kidney	kidney	kidney	exact	False	1.8641603540155849	79.355	bgee_higher
15	15	H2AC20	H2AC20	H2AC20	31	1.3016247990126064	1.2950385970942806	1.5274782617350553	60.42858770978126	59.305	88.50750000000001	5	skeletal muscle tissue	skeletal muscle	skeletal muscle tissue	safe_synonym	True	1.5274782617350553	55.57	bgee_higher
7	7	H2AC12	H2AC12	H2AC12	31	1.2918155071000927	1.4724905004528677	1.9052155343138024	35.059520609318994	36.465	79.3925	5	kidney	kidney	kidney	exact	False	1.9052155343138024	79.3925	bgee_higher
9	9	H2AC14	H2AC14	H2AC14	31	1.1336294045062754	1.445759836488631	1.9146075677710805	28.284323092677933	32.52	81.15	5	kidney	kidney	kidney	exact	False	1.9146075677710805	81.15	bgee_higher
5	5	H2AC8	H2AC8	H2AC8	34	1.0321025000239747	1.0475324017495418	1.5136910100964522	55.12522511609882	58.287142857142854	75.03666666666668	7	endometrium	endometrium	endometrium	exact	False	1.5136910100964522	56.94400000000001	bgee_higher
2	2	H2AC4	H2AC4	H2AC4	32	1.0166941773994396	1.431252310111093	1.8140032918925528	26.33932353670635	29.495	64.16333333333334	6	kidney	kidney	kidney	exact	False	1.8140032918925528	64.16333333333334	bgee_higher
17	17	H2AC25	H2AC25	H2AW	31	0.8648623605330015	0.8479650517307065	1.4371319660943296	60.64733967287194	63.92	70.34444444444445	5	liver	liver	liver	exact	False	1.4371319660943296	52.722	bgee_higher
3	3	H2AC6	H2AC6	H2AC6	35	0.8116812808714606	0.8200878235051305	1.2108756362557407	71.40782575774513	71.8209090909091	85.40466666666667	7	endometrium	endometrium	endometrium	exact	False	1.2108756362557407	85.40466666666667	bgee_higher
1	1	H2AC1	H2AC1	H2AC1	30	0.23479682371550273	0.0	1.576879602119925	6.687992063492063	0.0	68.88	4	liver	liver	liver	exact	False	1.576879602119925	40.421428571428564	bgee_higher
