mode	gene_order	gene_number	canonical_gene_name	hpa_gene_label	bgee_gene_label	paired_tissue_count	safe_synonym_tissue_count	pearson_raw	spearman_raw	status	total_tissue_count_before_filter
drop_zeros	1	1	H2AC1	H2AC1	H2AC1	3	0	0.9906387159472179	0.5	ok	30
drop_zeros	2	2	H2AC4	H2AC4	H2AC4	14	1	0.09458791105544093	0.026489110917271443	ok	32
drop_zeros	3	3	H2AC6	H2AC6	H2AC6	35	7	0.6099992343129187	0.5554777466572719	ok	35
drop_zeros	4	4	H2AC7	H2AC7	H2AC7	29	4	0.4944092186869125	0.6750619521825914	ok	31
drop_zeros	5	5	H2AC8	H2AC8	H2AC8	32	5	0.6077870075815123	0.7234550883953141	ok	34
drop_zeros	6	6	H2AC11	H2AC11	H2AC11	30	4	0.39563486110964124	0.5267718419437974	ok	34
drop_zeros	7	7	H2AC12	H2AC12	H2AC12	17	2	0.3182944505135627	0.5943101203641223	ok	31
drop_zeros	8	8	H2AC13	H2AC13	H2AC13	21	4	0.26656074374513206	0.4165796724980992	ok	32
drop_zeros	9	9	H2AC14	H2AC14	H2AC14	12	1	-0.17040208145201752	0.07018197256657412	ok	31
drop_zeros	10	10	H2AC15	H2AC15	H2AC15	31	4	0.4436786968503078	0.6364468538222209	ok	32
drop_zeros	11	11	H2AC16	H2AC16	H2AC16	14	1	0.08299284658121395	0.15067666677784544	ok	31
drop_zeros	12	12	H2AC17	H2AC17	H2AC17	23	5	0.23704281458141732	0.5017681659162135	ok	31
drop_zeros	15	15	H2AC20	H2AC20	H2AC20	31	5	0.667708713032694	0.7455341030487218	ok	31
drop_zeros	16	16	H2AC21	H2AC21	H2AC21	19	4	-0.025297239727122063	0.20337311469728842	ok	31
drop_zeros	17	17	H2AC25	H2AC25	H2AW	31	5	0.6941103072394798	0.8732735199133219	ok	31
