tissue_order	tissue_letter	compare_tissue_key	hpa_tissue_label	bgee_tissue_label	match_type	is_underlined	comparable_cell_count	mean_abs_log_diff	median_abs_log_diff	max_abs_log_diff	mean_abs_raw_diff	median_abs_raw_diff	max_abs_raw_diff	top_canonical_gene_name	top_hpa_gene_label	top_bgee_gene_label	top_abs_diff_log	top_abs_diff_raw	top_dominance_label
11	K	kidney	kidney	kidney	exact	False	15	1.571468160600939	1.7305131126692992	1.9146075677710805	72.37738888888889	79.355	88.50750000000001	H2AC14	H2AC14	H2AC14	1.9146075677710805	81.15	bgee_higher
23	W	stomach	stomach	stomach	exact	False	15	1.4426050130617984	1.686721366643168	1.7723050335496033	62.01127777777778	64.84833333333334	79.72	H2AC21	H2AC21	H2AC21	1.7723050335496033	64.0175	bgee_higher
13	M	lung	lung	lung	exact	False	15	1.4358402945274447	1.6201639506915244	1.7368516183590608	60.05663446495025	62.28714285714285	74.19285714285714	H2AC14	H2AC14	H2AC14	1.7368516183590608	58.912857142857135	bgee_higher
12	L	liver	liver	liver	exact	False	15	1.421962846822818	1.5350062599660135	1.6407749631072934	49.36248694083694	48.371249999999996	63.57636363636364	H2AC16	H2AC16	H2AC16	1.6407749631072934	47.0025	bgee_higher
6	F	colon	colon	colon	exact	False	15	1.352172110491781	1.5797667892295946	1.6982777988140194	57.48790517429193	59.19764705882353	75.68333333333334	H2AC21	H2AC21	H2AC21	1.6982777988140194	58.70444444444445	bgee_higher
24	X	substantia nigra	substantia nigra	substantia nigra	exact	False	15	1.3283800559083687	1.52595526152786	1.6027922456002528	43.06252183742184	40.96571428571428	71.908	H2AC16	H2AC16	H2AC16	1.6027922456002528	39.0675	bgee_higher
2	B	adrenal gland	adrenal gland	adrenal gland	exact	False	15	1.3179497470753307	1.5550944485783191	1.6664328831740063	46.36644444444445	44.41	72.1875	H2AC13	H2AC13	H2AC13	1.6664328831740063	49.93	bgee_higher
5	E	cerebral cortex	cerebral cortex	cerebral cortex	exact	False	15	1.2953580342119084	1.4394762385289428	1.667990358615251	37.72232592592592	33.48	71.276	H2AC11	H2AC11	H2AC11	1.667990358615251	50.11333333333334	bgee_higher
30	AD	caudate nucleus	caudate	caudate nucleus	safe_synonym	True	15	1.2937762496369152	1.4708513245261177	1.591481997238255	40.15369150326797	37.964	72.45470588235294	H2AC21	H2AC21	H2AC21	1.591481997238255	38.0375	bgee_higher
31	AE	uterine cervix	cervix	uterine cervix	safe_synonym	True	14	1.2552763642954272	1.4395749625809042	1.6250316873605344	48.22728571428571	47.186	70.46	H2AC12	H2AC12	H2AC12	1.6250316873605344	45.29	bgee_higher
27	AA	urinary bladder	urinary bladder	urinary bladder	exact	False	15	1.254138429495894	1.543633532576258	1.6596310116070006	42.70167222222222	45.408	69.55250000000001	H2AC16	H2AC16	H2AC16	1.6596310116070006	44.67	bgee_higher
1	A	adipose tissue	adipose tissue	adipose tissue	exact	False	15	1.2371789886634241	1.4184394037336627	1.5581458427536143	39.79578725490196	39.405	70.99705882352943	H2AC11	H2AC11	H2AC11	1.5581458427536143	42.183749999999996	bgee_higher
21	U	spinal cord	spinal cord	spinal cord	exact	False	7	1.2329634656148734	1.4065401804339552	1.5221398163934379	49.07757142857143	48.415	67.173	H2AC11	H2AC11	H2AC11	1.5221398163934379	48.415	bgee_higher
20	T	small intestine	small intestine	small intestine	exact	False	15	1.230673606792167	1.4024906523461884	1.543612830691853	43.86666666666667	41.370000000000005	74.875	H2AC11	H2AC11	H2AC11	1.543612830691853	50.945	bgee_higher
10	J	hypothalamus	hypothalamus	hypothalamus	exact	False	15	1.2210746696672148	1.5041794874536984	1.6050894618815803	40.471694444444445	39.28	74.626	H2AC14	H2AC14	H2AC14	1.6050894618815803	39.28	bgee_higher
16	P	pancreas	pancreas	pancreas	exact	False	15	1.208398489618221	1.435366506612661	1.5914187820765149	35.68066666666667	31.475	76.45500000000001	H2AC11	H2AC11	H2AC11	1.5914187820765149	41.835	bgee_higher
25	Y	testis	testis	testis	exact	False	15	1.203660004025991	1.3409170921522615	1.4747321073643147	46.5698664021164	46.0325	76.67	H2AC13	H2AC13	H2AC13	1.4747321073643147	34.60249999999999	bgee_higher
19	S	retina	retina	retina	exact	False	1	1.1937041987099448	1.1937041987099448	1.1937041987099448	70.18	70.18	70.18	H2AC6	H2AC6	H2AC6	1.1937041987099448	70.18	bgee_higher
22	V	spleen	spleen	spleen	exact	False	15	1.1882483907064374	1.4279740001989132	1.5038505217789049	48.858597619047615	47.71727272727273	69.47416666666666	H2AC4	H2AC4	H2AC4	1.5038505217789049	40.175714285714285	bgee_higher
28	AB	vagina	vagina	vagina	exact	False	15	1.1846206532584904	1.469674772551798	1.6805827164277283	46.519481818181816	48.992	67.605	H2AC4	H2AC4	H2AC4	1.6805827164277283	51.62	bgee_higher
29	AC	mammary gland	breast	mammary gland	safe_synonym	True	3	1.1790683027944515	1.027847729856468	1.6002796880664614	53.38499999999999	43.48	73.95499999999998	H2AC11	H2AC11	H2AC11	1.6002796880664614	42.72	bgee_higher
7	G	endometrium	endometrium	endometrium	exact	False	15	1.1743429908708125	1.4659233549181885	1.7213233807912371	38.641911111111106	40.435	85.40466666666667	H2AC11	H2AC11	H2AC11	1.7213233807912371	56.805	bgee_higher
8	H	esophagus	esophagus	esophagus	exact	False	15	1.162978598283812	1.3989934451865964	1.5325338938467592	41.53638095238095	42.084999999999994	61.2125	H2AC15	H2AC15	H2AC15	1.5325338938467592	43.00750000000001	bgee_higher
15	O	ovary	ovary	ovary	exact	False	15	1.1562536803823986	1.3820170425748683	1.8405964812510283	43.53943535353536	43.675	75.106	H2AC11	H2AC11	H2AC11	1.8405964812510283	75.106	bgee_higher
9	I	fallopian tube	fallopian tube	fallopian tube	exact	False	13	1.0965931436222973	1.237732193117367	1.6328252604184748	37.78230769230769	32.04	80.48499999999999	H2AC11	H2AC11	H2AC11	1.6328252604184748	46.129999999999995	bgee_higher
26	Z	thyroid gland	thyroid gland	thyroid gland	exact	False	15	1.0877154103303843	1.4063030519966553	1.5878107053837989	37.5586445114798	35.06777777777778	74.53235294117646	H2AC11	H2AC11	H2AC11	1.5878107053837989	45.25066666666666	bgee_higher
