subset_label	rank_within_subset	gene_order	gene_number	canonical_gene_name	ensembl_gene_id	hpa_gene_label	bgee_gene_label	tissue_order	tissue_letter	compare_tissue_key	hpa_tissue_label	bgee_tissue_label	match_type	is_underlined	nTPM	cell_mean_score	log_hpa	log_bgee	signed_diff_log	abs_diff_log	signed_diff_raw	abs_diff_raw	dominance_label	pair_status
overall	1	9	9	H2AC14	ENSG00000276368	H2AC14	H2AC14	11	K	kidney	kidney	kidney	exact	False	0.0	81.15	0.0	1.9146075677710805	-1.9146075677710805	1.9146075677710805	-81.15	81.15	bgee_higher	nonzero_any
overall	2	7	7	H2AC12	ENSG00000274997	H2AC12	H2AC12	11	K	kidney	kidney	kidney	exact	False	0.0	79.3925	0.0	1.9052155343138024	-1.9052155343138024	1.9052155343138024	-79.3925	79.3925	bgee_higher	nonzero_any
overall	3	16	16	H2AC21	ENSG00000184270	H2AC21	H2AC21	11	K	kidney	kidney	kidney	exact	False	0.1	83.64	0.04139268515822508	1.9275756546911105	-1.8861829695328853	1.8861829695328853	-83.54	83.54	bgee_higher	nonzero_any
overall	4	8	8	H2AC13	ENSG00000196747	H2AC13	H2AC13	11	K	kidney	kidney	kidney	exact	False	0.1	82.935	0.04139268515822508	1.9239430947648513	-1.8825504096066261	1.8825504096066261	-82.83500000000001	82.83500000000001	bgee_higher	nonzero_any
overall	5	11	11	H2AC16	ENSG00000276903	H2AC16	H2AC16	11	K	kidney	kidney	kidney	exact	False	0.1	79.455	0.04139268515822508	1.90555303917381	-1.8641603540155849	1.8641603540155849	-79.355	79.355	bgee_higher	nonzero_any
overall	6	11	11	H2AC16	ENSG00000276903	H2AC16	H2AC16	33	AG	prostate gland	prostate	prostate gland	safe_synonym	True	0.0	71.229	0.0	1.858711602157976	-1.858711602157976	1.858711602157976	-71.229	71.229	bgee_higher	nonzero_any
overall	7	12	12	H2AC17	ENSG00000278677	H2AC17	H2AC17	11	K	kidney	kidney	kidney	exact	False	0.2	82.89	0.07918124604762482	1.9237101943965629	-1.844528948348938	1.844528948348938	-82.69	82.69	bgee_higher	nonzero_any
overall	8	6	6	H2AC11	ENSG00000196787	H2AC11	H2AC11	15	O	ovary	ovary	ovary	exact	False	0.1	75.20599999999999	0.04139268515822508	1.8819891664092534	-1.8405964812510283	1.8405964812510283	-75.106	75.106	bgee_higher	nonzero_any
overall	9	2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	11	K	kidney	kidney	kidney	exact	False	0.0	64.16333333333334	0.0	1.8140032918925528	-1.8140032918925528	1.8140032918925528	-64.16333333333334	64.16333333333334	bgee_higher	nonzero_any
overall	10	2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	15	O	ovary	ovary	ovary	exact	False	0.0	59.99	0.0	1.785258633357701	-1.785258633357701	1.785258633357701	-59.99	59.99	bgee_higher	nonzero_any
