species_count	selected_species_dirs	selected_species_names	gene_name	anatomical_entity	gene_tissue_label	gene_class	canonical_label	gene_number	anatomical_entity_letter	plot_label	selected_values_csv	n_species	mean_score	std_score	min_score	max_score	range_score	error_bar_low	error_bar_high	plot_order
6	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AC14	adult mammalian kidney	H2AC14:adult mammalian kidney	clustered	H2AC14:HGNC:4727	1	A	1:A	46.945000,0.000000,0.000000,40.865000,0.000000,61.140000	6	24.825	27.97926768162455	0.0	61.14	61.14	0.0	52.80426768162455	1
6	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AC14	cerebellum	H2AC14:cerebellum	clustered	H2AC14:HGNC:4727	1	B	1:B	0.000000,60.325000,0.000000,0.000000,0.000000,0.000000	6	10.054166666666667	24.627578122232535	0.0	60.325	60.325	0.0	34.6817447888992	2
6	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AC14	cerebral cortex	H2AC14:cerebral cortex	clustered	H2AC14:HGNC:4727	1	C	1:C	23.270000,44.160000,0.000000,0.000000,25.390000,82.470000	6	29.215	31.03692687751157	0.0	82.47	82.47	0.0	60.251926877511565	3
6	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AC14	colon	H2AC14:colon	clustered	H2AC14:HGNC:4727	1	D	1:D	55.437778,44.030000,0.000000,42.620000,0.000000,96.480000	6	39.7612962962963	36.472123069454234	0.0	96.48	96.48	3.289173226842067	76.23341936575054	4
6	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AC14	frontal cortex	H2AC14:frontal cortex	clustered	H2AC14:HGNC:4727	1	E	1:E	27.150000,42.075000,0.000000,0.000000,25.370000,54.260000	6	24.809166666666666	21.919142870255367	0.0	54.26	54.26	2.890023796411299	46.72830953692203	5
6	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AC14	heart	H2AC14:heart	clustered	H2AC14:HGNC:4727	1	F	1:F	66.356000,0.000000,0.000000,0.000000,44.610000,61.480000	6	28.741	32.30074534743741	0.0	66.356	66.356	0.0	61.04174534743741	6
6	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AC14	liver	H2AC14:liver	clustered	H2AC14:HGNC:4727	1	G	1:G	41.035714,39.022857,35.696667,43.903333,38.660000,53.263333	6	41.93031746031746	6.182832025201065	35.696666666666665	53.26333333333334	17.566666666666677	35.747485435116396	48.11314948551853	7
6	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AC14	lung	H2AC14:lung	clustered	H2AC14:HGNC:4727	1	H	1:H	59.012857,34.656667,0.000000,0.000000,0.000000,65.990000	6	26.609920634920638	30.950782527836225	0.0	65.99000000000001	65.99000000000001	0.0	57.560703162756866	8
6	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AC14	prefrontal cortex	H2AC14:prefrontal cortex	clustered	H2AC14:HGNC:4727	1	I	1:I	32.925000,0.000000,0.000000,35.452500,26.460000,0.000000	6	15.80625	17.561558853786302	0.0	35.4525	35.4525	0.0	33.3678088537863	9
6	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AC14	skeletal muscle tissue	H2AC14:skeletal muscle tissue	clustered	H2AC14:HGNC:4727	1	J	1:J	0.000000,40.596667,0.000000,0.000000,45.680000,78.270000	6	27.424444444444447	32.705790698058124	0.0	78.27000000000001	78.27000000000001	0.0	60.13023514250257	10
