species_count	selected_species_dirs	selected_species_names	gene_name	anatomical_entity	gene_tissue_label	gene_class	canonical_label	gene_number	anatomical_entity_letter	plot_label	selected_values_csv	n_species	mean_score	std_score	min_score	max_score	range_score	error_bar_low	error_bar_high	plot_order
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AJ	adult mammalian kidney	H2AJ:adult mammalian kidney	variant	H2AJ:HGNC:14456	2	A	2:A	93.001667,93.890000,87.706667,93.470000,95.746667,95.240000,97.280000	7	93.76214285714286	3.0508612497259486	87.70666666666666	97.28	9.573333333333338	90.71128160741691	96.81300410686882	6
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AJ	liver	H2AJ:liver	variant	H2AJ:HGNC:14456	2	B	2:B	93.159048,94.906875,92.747143,78.885000,96.141429,96.816667,97.355000	7	92.85873724489797	6.405993117092547	78.885	97.355	18.47	86.45274412780542	99.26473036199052	7
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AJ	prefrontal cortex	H2AJ:prefrontal cortex	variant	H2AJ:HGNC:14456	2	C	2:C	84.366250,79.970000,79.720000,65.650000,76.245000,74.812727,84.500000	7	77.8948538961039	6.523065250559798	65.65	84.5	18.849999999999994	71.3717886455441	84.41791914666369	8
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AJ	spleen	H2AJ:spleen	variant	H2AJ:HGNC:14456	2	D	2:D	95.636667,95.172000,90.493333,93.000000,90.095000,91.670000,85.764286	7	91.69018367346939	3.3790316031040537	85.76428571428572	95.63666666666668	9.872380952380965	88.31115207036534	95.06921527657344	9
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AJ	testis	H2AJ:testis	variant	H2AJ:HGNC:14456	2	E	2:E	91.194615,77.035000,61.297778,57.990000,99.533333,99.815000,72.000000	7	79.83796092796094	17.350914453057374	57.99	99.815	41.824999999999996	62.487046474903565	97.1888753810183	10
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AZ1	adult mammalian kidney	H2AZ1:adult mammalian kidney	variant	H2AZ1:HGNC:4741	3	A	3:A	96.835000,93.482500,98.773333,91.240000,94.130000,95.626667,90.585000	7	94.38178571428571	2.9442653153808167	90.585	98.77333333333333	8.188333333333333	91.4375203989049	97.32605102966653	11
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AZ1	liver	H2AZ1:liver	variant	H2AZ1:HGNC:4741	3	B	3:B	95.572609,90.137500,92.921429,84.645000,92.651429,93.586667,91.655000	7	91.5956617864537	3.490319095076705	84.645	95.57260869565218	10.927608695652182	88.105342691377	95.0859808815304	12
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AZ1	prefrontal cortex	H2AZ1:prefrontal cortex	variant	H2AZ1:HGNC:4741	3	C	3:C	97.592000,95.380000,96.360000,95.380000,98.327500,97.490000,96.260000	7	96.68421428571428	1.1446088071601463	95.38	98.3275	2.947500000000005	95.53960547855414	97.82882309287442	13
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AZ1	spleen	H2AZ1:spleen	variant	H2AZ1:HGNC:4741	3	D	3:D	98.736667,96.928000,97.703333,96.590000,97.915000,96.860000,96.281429	7	97.28777551020407	0.8638517983365271	96.28142857142858	98.73666666666666	2.4552380952380872	96.42392371186754	98.1516273085406	14
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AZ1	testis	H2AZ1:testis	variant	H2AZ1:HGNC:4741	3	E	3:E	98.533077,91.763333,99.209000,98.513333,98.636667,98.640000,97.920000	7	97.60220146520146	2.601890753297454	91.76333333333334	99.209	7.445666666666668	95.000310711904	100.20409221849891	15
