gene_name,tissue,gene_class,gene_species_count,species_n,mean_score,median_score,std_score,min_score,max_score,range,max_species,max_species_name,_max_score_check,min_species,min_species_name,_min_score_check,passes_conservative_species_filter,is_conservative_candidate,is_high_confidence_candidate,candidate_level,low_variability_level,is_low_variability_p05,is_low_variability_p10,class_specific_low_level,class_specific_low_threshold
H2AC1,frontal cortex,clustered,7,6,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True,p05,15.784090909090908
H2AC1,skeletal muscle tissue,clustered,7,6,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True,p05,15.784090909090908
H2AC1,cerebral cortex,clustered,7,5,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True,p05,15.784090909090908
H2AC1,adipose tissue,clustered,7,4,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True,p05,15.784090909090908
H2AC1,hypothalamus,clustered,7,4,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True,p05,15.784090909090908
H2AC1,lymph node,clustered,7,4,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True,p05,15.784090909090908
H2AC1,ovary,clustered,7,4,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True,p05,15.784090909090908
H2AC1,pituitary gland,clustered,7,4,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True,p05,15.784090909090908
H2AC11,metanephros cortex,clustered,6,4,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True,p05,15.784090909090908
H2AC13,muscle tissue,clustered,7,4,42.06066666666666,41.69,2.192598053046255,39.906666666666666,44.956,5.049333333333337,bos_taurus,Bos taurus,44.956,equus_caballus,Equus caballus,39.906666666666666,True,False,False,background,background,False,False,p05,15.784090909090908
H2AC8,cortex of kidney,clustered,6,4,55.99875,56.5875,3.0963106406388423,51.74,59.08,7.339999999999996,human,Homo sapiens,59.08,macaca_mulatta,Macaca mulatta,51.74,True,False,False,background,background,False,False,p05,15.784090909090908
H2AC21,blood,clustered,6,4,52.13229166666667,51.43958333333333,4.294330099904348,48.07,57.580000000000005,9.510000000000005,human,Homo sapiens,57.580000000000005,equus_caballus,Equus caballus,48.07,True,False,False,background,background,False,False,p05,15.784090909090908
H2AC6,skeletal muscle tissue,clustered,7,5,85.53066666666666,83.565,5.486702688217107,81.73333333333333,95.24,13.50666666666666,pan_troglodytes,Pan troglodytes,95.24,human,Homo sapiens,81.73333333333333,True,False,False,background,background,False,False,p05,15.784090909090908
H2AC7,spleen,clustered,5,4,41.272045454545456,41.965,7.867059445008329,32.75,48.408181818181816,15.658181818181816,human,Homo sapiens,48.408181818181816,felis_catus,Felis catus,32.75,True,False,False,background,background,False,False,p05,15.784090909090908
H2AC1,frontal cortex,clustered,7,6,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True,p10,25.56
H2AC1,skeletal muscle tissue,clustered,7,6,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True,p10,25.56
H2AC1,cerebral cortex,clustered,7,5,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True,p10,25.56
H2AC1,adipose tissue,clustered,7,4,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True,p10,25.56
H2AC1,hypothalamus,clustered,7,4,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True,p10,25.56
H2AC1,lymph node,clustered,7,4,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True,p10,25.56
H2AC1,ovary,clustered,7,4,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True,p10,25.56
H2AC1,pituitary gland,clustered,7,4,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True,p10,25.56
H2AC11,metanephros cortex,clustered,6,4,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True,p10,25.56
H2AC13,muscle tissue,clustered,7,4,42.06066666666666,41.69,2.192598053046255,39.906666666666666,44.956,5.049333333333337,bos_taurus,Bos taurus,44.956,equus_caballus,Equus caballus,39.906666666666666,True,False,False,background,background,False,False,p10,25.56
H2AC8,cortex of kidney,clustered,6,4,55.99875,56.5875,3.0963106406388423,51.74,59.08,7.339999999999996,human,Homo sapiens,59.08,macaca_mulatta,Macaca mulatta,51.74,True,False,False,background,background,False,False,p10,25.56
H2AC21,blood,clustered,6,4,52.13229166666667,51.43958333333333,4.294330099904348,48.07,57.580000000000005,9.510000000000005,human,Homo sapiens,57.580000000000005,equus_caballus,Equus caballus,48.07,True,False,False,background,background,False,False,p10,25.56
H2AC6,skeletal muscle tissue,clustered,7,5,85.53066666666666,83.565,5.486702688217107,81.73333333333333,95.24,13.50666666666666,pan_troglodytes,Pan troglodytes,95.24,human,Homo sapiens,81.73333333333333,True,False,False,background,background,False,False,p10,25.56
H2AC7,spleen,clustered,5,4,41.272045454545456,41.965,7.867059445008329,32.75,48.408181818181816,15.658181818181816,human,Homo sapiens,48.408181818181816,felis_catus,Felis catus,32.75,True,False,False,background,background,False,False,p10,25.56
H2AC1,prefrontal cortex,clustered,7,6,2.651666666666667,0.0,6.49523030128006,0.0,15.91,15.91,felis_catus,Felis catus,15.91,bos_taurus,Bos taurus,0.0,True,False,False,background,background,False,False,p10,25.56
