gene_name,tissue,gene_class,gene_species_count,species_n,mean_score,median_score,std_score,min_score,max_score,range,max_species,max_species_name,_max_score_check,min_species,min_species_name,_min_score_check,passes_conservative_species_filter,is_conservative_candidate,is_high_confidence_candidate,candidate_level,low_variability_level,is_low_variability_p05,is_low_variability_p10
H2AC19,thymus,clustered,4,2,49.88,49.88,70.54097249116998,0.0,99.76,99.76,pan_troglodytes,Pan troglodytes,99.76,bos_taurus,Bos taurus,0.0,False,False,False,background,background,False,False
H2AC14,bone marrow,clustered,7,4,57.8725,65.93,42.47241644094827,0.0,99.63,99.63,pan_troglodytes,Pan troglodytes,99.63,canis_lupus_familiaris,Canis lupus familiaris,0.0,True,True,True,high_confidence,background,False,False
H2AC8,bone marrow,clustered,6,4,64.62875,79.5675,44.31482904081507,0.0,99.38,99.38,pan_troglodytes,Pan troglodytes,99.38,bos_taurus,Bos taurus,0.0,True,True,True,high_confidence,background,False,False
H2AC14,ileum,clustered,7,3,53.44266666666667,61.478,49.91247901410361,0.0,98.85,98.85,sus_scrofa,Sus scrofa,98.85,macaca_mulatta,Macaca mulatta,0.0,False,False,False,background,background,False,False
H2AC20,spermatid,clustered,5,2,49.34,49.34,69.77729716748851,0.0,98.68,98.68,macaca_mulatta,Macaca mulatta,98.68,bos_taurus,Bos taurus,0.0,False,False,False,background,background,False,False
H2AC21,ileum,clustered,6,3,54.66233333333333,65.342,50.18217279406436,0.0,98.645,98.645,sus_scrofa,Sus scrofa,98.645,macaca_mulatta,Macaca mulatta,0.0,False,False,False,background,background,False,False
H2AC14,mesenteric lymph node,clustered,7,2,49.13,49.13,69.48031231939017,0.0,98.26,98.26,sus_scrofa,Sus scrofa,98.26,bos_taurus,Bos taurus,0.0,False,False,False,background,background,False,False
H2AZ2,oocyte,variant,8,3,60.82333333333333,84.95,53.048182186888674,0.0,97.52,97.52,bos_taurus,Bos taurus,97.52,human,Homo sapiens,0.0,False,False,False,background,background,False,False
H2AC8,caecum,clustered,6,2,48.505,48.505,68.59642884290699,0.0,97.01,97.01,bos_taurus,Bos taurus,97.01,human,Homo sapiens,0.0,False,False,False,background,background,False,False
H2AC12,oocyte,clustered,6,2,48.485,48.485,68.56814457165952,0.0,96.97,96.97,bos_taurus,Bos taurus,96.97,sus_scrofa,Sus scrofa,0.0,False,False,False,background,background,False,False
H2AJ,hair follicle,variant,8,2,48.41,48.41,68.46207855448152,0.0,96.82,96.82,canis_lupus_familiaris,Canis lupus familiaris,96.82,human,Homo sapiens,0.0,False,False,False,background,background,False,False
H2AC21,duodenum,clustered,6,3,49.2825,51.0975,48.4005298912109,0.0,96.75,96.75,sus_scrofa,Sus scrofa,96.75,human,Homo sapiens,0.0,False,False,False,background,background,False,False
H2AC20,oviduct epithelium,clustered,5,2,48.35,48.35,68.37722574073915,0.0,96.7,96.7,equus_caballus,Equus caballus,96.7,bos_taurus,Bos taurus,0.0,False,False,False,background,background,False,False
H2AC20,spermatocyte,clustered,5,2,48.33,48.33,68.34894146949168,0.0,96.66,96.66,macaca_mulatta,Macaca mulatta,96.66,bos_taurus,Bos taurus,0.0,False,False,False,background,background,False,False
