gene_name,tissue,gene_class,gene_species_count,species_n,mean_score,median_score,std_score,min_score,max_score,range,max_species,max_species_name,_max_score_check,min_species,min_species_name,_min_score_check,passes_conservative_species_filter,is_conservative_candidate,is_high_confidence_candidate,candidate_level,low_variability_level,is_low_variability_p05,is_low_variability_p10
H2AC14,bone marrow,clustered,7,4,57.8725,65.93,42.47241644094827,0.0,99.63,99.63,pan_troglodytes,Pan troglodytes,99.63,canis_lupus_familiaris,Canis lupus familiaris,0.0,True,True,True,high_confidence,background,False,False
H2AC8,bone marrow,clustered,6,4,64.62875,79.5675,44.31482904081507,0.0,99.38,99.38,pan_troglodytes,Pan troglodytes,99.38,bos_taurus,Bos taurus,0.0,True,True,True,high_confidence,background,False,False
H2AC14,colon,clustered,7,6,39.7612962962963,43.325,36.472123069454234,0.0,96.48,96.48,sus_scrofa,Sus scrofa,96.48,canis_lupus_familiaris,Canis lupus familiaris,0.0,True,True,True,high_confidence,background,False,False
H2AC7,brain,clustered,5,4,41.89666666666667,35.748333333333335,40.13201022182224,0.0,96.09,96.09,felis_catus,Felis catus,96.09,canis_lupus_familiaris,Canis lupus familiaris,0.0,True,True,True,high_confidence,background,False,False
H2AC8,cerebellum,clustered,6,5,51.797333333333334,53.325,33.85406170445267,0.0,94.955,94.955,equus_caballus,Equus caballus,94.955,bos_taurus,Bos taurus,0.0,True,True,True,high_confidence,background,False,False
H2AC11,bone marrow,clustered,6,4,56.1025,64.995,39.913326408606935,0.0,94.42,94.42,equus_caballus,Equus caballus,94.42,bos_taurus,Bos taurus,0.0,True,True,True,high_confidence,background,False,False
H2AC14,testis,clustered,7,7,36.79838095238095,31.56,35.66517754701801,0.0,94.05,94.05,sus_scrofa,Sus scrofa,94.05,canis_lupus_familiaris,Canis lupus familiaris,0.0,True,True,True,high_confidence,background,False,False
H2AC20,brain,clustered,5,4,53.33770833333334,59.677916666666675,39.583070475004426,0.0,93.995,93.995,felis_catus,Felis catus,93.995,bos_taurus,Bos taurus,0.0,True,True,True,high_confidence,background,False,False
H2AC21,cerebellum,clustered,6,6,51.271833333333326,43.363,36.16799179062429,0.0,93.465,93.465,equus_caballus,Equus caballus,93.465,bos_taurus,Bos taurus,0.0,True,True,True,high_confidence,background,False,False
H2AC19,adult mammalian kidney,clustered,4,4,53.812954545454545,61.32090909090909,44.093845977632455,0.0,92.61,92.61,pan_troglodytes,Pan troglodytes,92.61,equus_caballus,Equus caballus,0.0,True,True,True,high_confidence,background,False,False
H2AC25,colon,clustered,6,5,50.331,47.24,34.88964359233267,0.0,92.15,92.15,sus_scrofa,Sus scrofa,92.15,pan_troglodytes,Pan troglodytes,0.0,True,True,True,high_confidence,background,False,False
H2AC20,liver,clustered,5,5,56.61341558441559,66.07636363636364,36.669597459088685,0.0,91.80571428571427,91.80571428571427,macaca_mulatta,Macaca mulatta,91.80571428571427,bos_taurus,Bos taurus,0.0,True,True,True,high_confidence,background,False,False
H2AC14,ovary,clustered,7,4,41.55083333333333,37.568333333333335,39.27966162777618,0.0,91.06666666666666,91.06666666666666,sus_scrofa,Sus scrofa,91.06666666666666,canis_lupus_familiaris,Canis lupus familiaris,0.0,True,True,True,high_confidence,background,False,False
H2AC14,adipose tissue,clustered,7,5,32.9496,33.169999999999995,36.6458585763794,0.0,88.63,88.63,sus_scrofa,Sus scrofa,88.63,canis_lupus_familiaris,Canis lupus familiaris,0.0,True,True,True,high_confidence,background,False,False
H2AC21,testis,clustered,6,6,38.705555555555556,41.47833333333334,34.77268037900934,0.0,87.49,87.49,sus_scrofa,Sus scrofa,87.49,human,Homo sapiens,0.0,True,True,True,high_confidence,background,False,False
MACROH2A2,thymus,variant,8,4,54.35875,65.37,38.00696347929767,0.0,86.695,86.695,human,Homo sapiens,86.695,pan_troglodytes,Pan troglodytes,0.0,True,True,True,high_confidence,background,False,False
H2AC20,adult mammalian kidney,clustered,5,5,48.37951515151516,51.11,32.38592609068248,0.0,86.03666666666668,86.03666666666668,macaca_mulatta,Macaca mulatta,86.03666666666668,bos_taurus,Bos taurus,0.0,True,True,True,high_confidence,background,False,False
H2AC17,testis,clustered,6,6,32.25380952380952,31.485,32.11137365772353,0.0,85.96,85.96,sus_scrofa,Sus scrofa,85.96,equus_caballus,Equus caballus,0.0,True,True,True,high_confidence,background,False,False
H2AC6,zone of skin,clustered,7,5,50.494,50.32,34.3587739202976,0.0,84.56857142857143,84.56857142857143,human,Homo sapiens,84.56857142857143,felis_catus,Felis catus,0.0,True,True,True,high_confidence,background,False,False
H2AC13,kidney,clustered,7,4,55.02,67.9025,39.4416241636506,0.0,84.275,84.275,mus_musculus,Mus musculus,84.275,macaca_mulatta,Macaca mulatta,0.0,True,True,True,high_confidence,background,False,False
MACROH2A2,metanephros cortex,variant,8,4,48.51375,55.045,35.099648472836115,0.0,83.965,83.965,human,Homo sapiens,83.965,sus_scrofa,Sus scrofa,0.0,True,True,True,high_confidence,background,False,False
H2AC17,kidney,clustered,6,4,33.150000000000006,24.855,40.60437661139498,0.0,82.89,82.89,human,Homo sapiens,82.89,macaca_mulatta,Macaca mulatta,0.0,True,True,True,high_confidence,background,False,False
MACROH2A2,liver,variant,8,8,44.09391666666667,49.964,29.728774723014507,0.0,82.71000000000001,82.71000000000001,human,Homo sapiens,82.71000000000001,equus_caballus,Equus caballus,0.0,True,True,True,high_confidence,background,False,False
