gene_name,gene_class,tissue,candidate_level,species_n,combo_range,max_species,max_species_name,min_species,min_species_name,species_high,species_high_name,high_score,species_low,species_low_name,low_score,abs_diff
H2AC14,clustered,bone marrow,high_confidence,4,99.63,pan_troglodytes,Pan troglodytes,canis_lupus_familiaris,Canis lupus familiaris,pan_troglodytes,Pan troglodytes,99.63,canis_lupus_familiaris,Canis lupus familiaris,0.0,99.63
H2AC8,clustered,bone marrow,high_confidence,4,99.38,pan_troglodytes,Pan troglodytes,bos_taurus,Bos taurus,pan_troglodytes,Pan troglodytes,99.38,bos_taurus,Bos taurus,0.0,99.38
H2AC14,clustered,colon,high_confidence,6,96.48,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,96.48,canis_lupus_familiaris,Canis lupus familiaris,0.0,96.48
H2AC14,clustered,colon,high_confidence,6,96.48,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,96.48,pan_troglodytes,Pan troglodytes,0.0,96.48
H2AC7,clustered,brain,high_confidence,4,96.09,felis_catus,Felis catus,canis_lupus_familiaris,Canis lupus familiaris,felis_catus,Felis catus,96.09,canis_lupus_familiaris,Canis lupus familiaris,0.0,96.09
H2AC8,clustered,cerebellum,high_confidence,5,94.955,equus_caballus,Equus caballus,bos_taurus,Bos taurus,equus_caballus,Equus caballus,94.955,bos_taurus,Bos taurus,0.0,94.955
H2AC11,clustered,bone marrow,high_confidence,4,94.42,equus_caballus,Equus caballus,bos_taurus,Bos taurus,equus_caballus,Equus caballus,94.42,bos_taurus,Bos taurus,0.0,94.42
H2AC14,clustered,testis,high_confidence,7,94.05,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,94.05,canis_lupus_familiaris,Canis lupus familiaris,0.0,94.05
H2AC14,clustered,testis,high_confidence,7,94.05,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,94.05,pan_troglodytes,Pan troglodytes,0.0,94.05
H2AC20,clustered,brain,high_confidence,4,93.995,felis_catus,Felis catus,bos_taurus,Bos taurus,felis_catus,Felis catus,93.995,bos_taurus,Bos taurus,0.0,93.995
